#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-43-28
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1364415228.538437	CfoAPx2zA1kpl4vkCg	192.168.108.10	1030	96.45.82.4	80	1	GET	charleyfoundation.org	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	-	-
1364415230.28312	CREPux2lwOOnzc9Wjd	192.168.108.10	1036	64.4.52.169	80	1	POST	codecs.microsoft.com	/isapi/ocget.dll	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	44	13	404	Not Found	-	-	-	(empty)	-	-	-	F1nw1ZNLEDxG6hAxl	text/plain	Ft7LEV18mIi3v0KGW3	text/plain
1364415230.347324	Cw4fzj19ghXWV7Mlp7	192.168.108.10	1032	50.17.234.240	80	6	GET	www.charleyfoundation.org	/templates/default/images/nav_about.gif	http://www.charleyfoundation.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2237	200	OK	-	-	-	(empty)	-	-	-	-	-	FzJwWE3RHOMQxaBuXa	image/gif
1364415230.357094	CywIqms7CUH1xKUPc	192.168.108.10	1031	50.17.234.240	80	8	GET	www.charleyfoundation.org	/templates/default/images/nav_whohelp.gif	http://www.charleyfoundation.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2260	200	OK	-	-	-	(empty)	-	-	-	-	-	F40G7C2q3uOY7ambK6	image/gif
1364415230.285302	CGIwZp2SrHEiyHJAc	192.168.108.10	1033	176.31.50.187	81	2	GET	thehorserunsleft.com	/forum/mightifpage.php	http://thehorserunsleft.com:81/forum/late.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7890	200	OK	-	-	-	(empty)	-	-	-	-	-	FzSbCs1LjduXssGeRg	binary
1364415230.403581	CywIqms7CUH1xKUPc	192.168.108.10	1031	50.17.234.240	80	9	GET	www.charleyfoundation.org	/templates/default/images/nav_events.gif	http://www.charleyfoundation.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1601	200	OK	-	-	-	(empty)	-	-	-	-	-	FaZwYf3WxK0f2ut2U3	image/gif
1364415230.405163	Cw4fzj19ghXWV7Mlp7	192.168.108.10	1032	50.17.234.240	80	7	GET	www.charleyfoundation.org	/templates/default/images/nav_news.gif	http://www.charleyfoundation.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1561	200	OK	-	-	-	(empty)	-	-	-	-	-	FUeX6z66iTzZFMV5l	image/gif
1364415230.467347	CywIqms7CUH1xKUPc	192.168.108.10	1031	50.17.234.240	80	10	GET	www.charleyfoundation.org	/templates/default/images/nav_partners.gif	http://www.charleyfoundation.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1713	200	OK	-	-	-	(empty)	-	-	-	-	-	FyMayN1ULkUkTAFSv6	image/gif
1364415230.467651	Cw4fzj19ghXWV7Mlp7	192.168.108.10	1032	50.17.234.240	80	8	GET	www.charleyfoundation.org	/templates/default/images/nav_photos.gif	http://www.charleyfoundation.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1688	200	OK	-	-	-	(empty)	-	-	-	-	-	FKEMSv1F3tX10vQKt8	image/gif
1364415230.499627	Cw4fzj19ghXWV7Mlp7	192.168.108.10	1032	50.17.234.240	80	9	GET	www.charleyfoundation.org	/templates/default/images/nav_contact.gif	http://www.charleyfoundation.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1739	200	OK	-	-	-	(empty)	-	-	-	-	-	FfUbEr1tb1JKclLWhe	image/gif
1364415230.499339	CywIqms7CUH1xKUPc	192.168.108.10	1031	50.17.234.240	80	11	GET	www.charleyfoundation.org	/templates/default/images/nav_help.gif	http://www.charleyfoundation.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1873	200	OK	-	-	-	(empty)	-	-	-	-	-	FnAK1k2Bucdz2CfoFk	image/gif
1364415230.530985	Cw4fzj19ghXWV7Mlp7	192.168.108.10	1032	50.17.234.240	80	10	GET	www.charleyfoundation.org	/templates/default/images/leftside_temp.jpg	http://www.charleyfoundation.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	19594	200	OK	-	-	-	(empty)	-	-	-	-	-	FaRwwa2n9WBLD8F9N6	image/jpeg
1364415230.594174	Cw4fzj19ghXWV7Mlp7	192.168.108.10	1032	50.17.234.240	80	11	GET	www.charleyfoundation.org	/templates/default/images/page_repeat.jpg	http://www.charleyfoundation.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	399	200	OK	-	-	-	(empty)	-	-	-	-	-	FqcEZw3L9i86S8TnXf	image/jpeg
1364415230.623044	Cw4fzj19ghXWV7Mlp7	192.168.108.10	1032	50.17.234.240	80	12	GET	www.charleyfoundation.org	/templates/default/images/page_bkg.jpg	http://www.charleyfoundation.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	15505	200	OK	-	-	-	(empty)	-	-	-	-	-	FbkRb81nJYeOuWe5m3	image/jpeg
1364415230.715363	Cw4fzj19ghXWV7Mlp7	192.168.108.10	1032	50.17.234.240	80	13	GET	www.charleyfoundation.org	/templates/default/images/promo_donate.jpg	http://www.charleyfoundation.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	14060	200	OK	-	-	-	(empty)	-	-	-	-	-	FJup0zuWJ070QDYac	image/jpeg
1364415230.754763	Cw4fzj19ghXWV7Mlp7	192.168.108.10	1032	50.17.234.240	80	14	GET	www.charleyfoundation.org	/templates/default/images/promo_campcharley.jpg	http://www.charleyfoundation.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	14269	200	OK	-	-	-	(empty)	-	-	-	-	-	FlPozf4ibx9c1HZXz4	image/jpeg
1364415230.815037	Cw4fzj19ghXWV7Mlp7	192.168.108.10	1032	50.17.234.240	80	15	GET	www.charleyfoundation.org	/templates/default/images/promo_emupdates.jpg	http://www.charleyfoundation.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6099	200	OK	-	-	-	(empty)	-	-	-	-	-	FG5o4233GoyCkp6uoi	image/jpeg
1364415230.531799	CywIqms7CUH1xKUPc	192.168.108.10	1031	50.17.234.240	80	12	GET	www.charleyfoundation.org	/templates/default/images/hp-left-banner-joe-frazier.png	http://www.charleyfoundation.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	190774	200	OK	-	-	-	(empty)	-	-	-	-	-	FedQzU1ln5HvMjSkpa	image/png
1364415230.850374	Cw4fzj19ghXWV7Mlp7	192.168.108.10	1032	50.17.234.240	80	16	GET	www.charleyfoundation.org	/templates/default/images/home_latestnews.gif	http://www.charleyfoundation.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2824	200	OK	-	-	-	(empty)	-	-	-	-	-	FM2Qkr28eCmaMermA2	image/gif
1364415230.850681	CywIqms7CUH1xKUPc	192.168.108.10	1031	50.17.234.240	80	13	GET	www.charleyfoundation.org	/templates/default/images/home_upcomingevents.gif	http://www.charleyfoundation.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3504	200	OK	-	-	-	(empty)	-	-	-	-	-	F31i2CTnDLhOT9Wm7	image/gif
1364415231.264259	Cw4fzj19ghXWV7Mlp7	192.168.108.10	1032	50.17.234.240	80	17	GET	www.charleyfoundation.org	/templates/default/images/home-fb-logo.jpg	http://www.charleyfoundation.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	915	200	OK	-	-	-	(empty)	-	-	-	-	-	FDdH4b1NAbcTUH35kc	image/jpeg
1364415231.263973	CywIqms7CUH1xKUPc	192.168.108.10	1031	50.17.234.240	80	14	GET	www.charleyfoundation.org	/templates/default/images/home-twitter-logo.jpg	http://www.charleyfoundation.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	877	200	OK	-	-	-	(empty)	-	-	-	-	-	FhAcGzgMsO8JTIYNl	image/jpeg
1364415231.295941	Cw4fzj19ghXWV7Mlp7	192.168.108.10	1032	50.17.234.240	80	18	GET	www.charleyfoundation.org	/templates/default/images/pbbu.gif	http://www.charleyfoundation.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1594	200	OK	-	-	-	(empty)	-	-	-	-	-	F8g6AFj0BPhAMCQTh	image/gif
1364415236.341611	Cw4fzj19ghXWV7Mlp7	192.168.108.10	1032	50.17.234.240	80	19	GET	www.charleyfoundation.org	/templates/default/images/nav_home-on.gif	http://www.charleyfoundation.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2186	200	OK	-	-	-	(empty)	-	-	-	-	-	F2WFVa1tTI2jAKuNA4	image/gif
1364415236.343221	CywIqms7CUH1xKUPc	192.168.108.10	1031	50.17.234.240	80	15	GET	www.charleyfoundation.org	/templates/default/images/nav_programs-on.gif	http://www.charleyfoundation.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2351	200	OK	-	-	-	(empty)	-	-	-	-	-	FJlvFz2GMv49eTYnBj	image/gif
1364415237.588932	Cw4fzj19ghXWV7Mlp7	192.168.108.10	1032	50.17.234.240	80	20	GET	www.charleyfoundation.org	/templates/default/images/nav_events-on.gif	http://www.charleyfoundation.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1694	200	OK	-	-	-	(empty)	-	-	-	-	-	F7L8bKUcYSuoBLmie	image/gif
1364415237.607566	CywIqms7CUH1xKUPc	192.168.108.10	1031	50.17.234.240	80	16	GET	www.charleyfoundation.org	/templates/default/images/nav_news-on.gif	http://www.charleyfoundation.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1618	200	OK	-	-	-	(empty)	-	-	-	-	-	FZocG538ZwwerJOd2b	image/gif
1364415237.618774	Cw4fzj19ghXWV7Mlp7	192.168.108.10	1032	50.17.234.240	80	21	GET	www.charleyfoundation.org	/templates/default/images/nav_help-on.gif	http://www.charleyfoundation.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1955	200	OK	-	-	-	(empty)	-	-	-	-	-	FXqfbm3GhBkp0ZU3L	image/gif
1364415237.637575	CywIqms7CUH1xKUPc	192.168.108.10	1031	50.17.234.240	80	17	GET	www.charleyfoundation.org	/templates/default/images/nav_contact-on.gif	http://www.charleyfoundation.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1802	200	OK	-	-	-	(empty)	-	-	-	-	-	FIN2xe1BK6UeRQNES4	image/gif
1364415237.648493	Cw4fzj19ghXWV7Mlp7	192.168.108.10	1032	50.17.234.240	80	22	GET	www.charleyfoundation.org	/templates/default/images/nav_photos-on.gif	http://www.charleyfoundation.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1739	200	OK	-	-	-	(empty)	-	-	-	-	-	FfrfrB2dNj5wjvR2b6	image/gif
1364415237.665002	CywIqms7CUH1xKUPc	192.168.108.10	1031	50.17.234.240	80	18	GET	www.charleyfoundation.org	/templates/default/images/nav_whohelp-on.gif	http://www.charleyfoundation.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2399	200	OK	-	-	-	(empty)	-	-	-	-	-	FM22243N0hq4x5dZ6b	image/gif
1364415237.675495	Cw4fzj19ghXWV7Mlp7	192.168.108.10	1032	50.17.234.240	80	23	GET	www.charleyfoundation.org	/templates/default/images/nav_partners-on.gif	http://www.charleyfoundation.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1788	200	OK	-	-	-	(empty)	-	-	-	-	-	FTSy0E1PPZ57QrVT5i	image/gif
1364415237.691495	CywIqms7CUH1xKUPc	192.168.108.10	1031	50.17.234.240	80	19	GET	www.charleyfoundation.org	/templates/default/images/nav_about-on.gif	http://www.charleyfoundation.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2317	200	OK	-	-	-	(empty)	-	-	-	-	-	FrPpjS2Yl2j8XfeSvj	image/gif
1364415237.863896	Cw4fzj19ghXWV7Mlp7	192.168.108.10	1032	50.17.234.240	80	24	GET	www.charleyfoundation.org	/slideshow.swf	http://www.charleyfoundation.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	280743	200	OK	-	-	-	(empty)	-	-	-	-	-	FDtoU42FXe2J4Nrich	application/x-shockwave-flash
1364415240.136823	CywIqms7CUH1xKUPc	192.168.108.10	1031	50.17.234.240	80	20	GET	www.charleyfoundation.org	/headerswfconfig.xml	http://www.charleyfoundation.org/slideshow.swf	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	932	200	OK	-	-	-	(empty)	-	-	-	-	-	F5mxkx3qI3Gke5x8Y1	text/plain
1364415240.18674	CyBxMr2T25ASUVXOk	192.168.108.10	1042	23.67.61.131	80	1	GET	fpdownload2.macromedia.com	/get/flashplayer/update/current/xml/version_en_win_ax.xml	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1206	200	OK	-	-	-	(empty)	-	-	-	-	-	F6osqs4eBOQjRi6sod	text/plain
1364415240.081868	Cf1tpxSUsPqJyapy7	192.168.108.10	1041	176.31.50.187	81	1	GET	thehorserunsleft.com	/forum/mightifpage.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	13024	200	OK	-	-	-	(empty)	-	-	-	-	-	FwEUEV1wu5h2CqnJBk	application/jar
1364415240.206208	Cw4fzj19ghXWV7Mlp7	192.168.108.10	1032	50.17.234.240	80	25	GET	www.charleyfoundation.org	/content/banners/banner_ringside_2014.jpg	http://www.charleyfoundation.org/slideshow.swf	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	38887	200	OK	-	-	-	(empty)	-	-	-	-	-	FxnITt1JJSvBjnmjK3	image/jpeg
1364415245.975855	CwKqXkZGDdcJN2RIc	192.168.108.10	1044	176.31.50.187	81	1	GET	thehorserunsleft.com	/forum/live/4634.htm	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	157184	200	OK	-	-	-	(empty)	-	-	-	-	-	F2IW6W1x6jKVfntUza	binary
1364415245.951458	C24g7Q3sc8CRR6gMug	192.168.108.10	1043	176.31.50.187	81	1	GET	thehorserunsleft.com	/forum/water/7723.htm	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	157184	200	OK	-	-	-	(empty)	-	-	-	-	-	Fj09pr4w35taHtbWy	application/x-dosexec
1364415256.20078	CHxA7j3yT5PmtmZ7n4	192.168.108.10	1046	50.22.196.70	80	1	GET	j.maxmind.com	/app/geoip.js	-	-	0	502	200	OK	-	-	-	(empty)	-	-	-	-	-	Fj0c9533RhXXzrCeBi	text/plain
1364415265.761578	CvOsJH1pzFj9OoGzPi	192.168.108.10	1069	50.22.196.70	80	1	GET	j.maxmind.com	/app/geoip.js	-	-	0	502	200	OK	-	-	-	(empty)	-	-	-	-	-	F8dcORDQaGNj2dFjf	text/plain
1364415276.614373	CHYu0u4wESU1qJWqGj	192.168.108.10	1084	83.133.120.16	80	1	GET	xlotxdxtorwfmvuzfuvtspel.com	/2fQcW1XXANHEdj0xLjEmaWQ9MzcwMzM5NDQxMiZhaWQ9MzA0Mjgmc2lkPTYmb3M9NS4xLTMyhveZWT4a	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2	200	OK	-	-	-	(empty)	-	-	-	-	-	F1ccC54G4JSUrbsU2d	text/plain
#close	2014-04-03-10-43-29
