#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-22-23
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1345033601.876111	Cdv4Gi2gJeIOAaFjf2	192.168.97.10	1035	62.149.128.163	80	1	GET	scuolaartedanza.net	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	239	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FJ4XDE4gFqst2nau34	text/html
1345033604.139258	Cq6PEb2CYOzyL0Dts1	192.168.97.10	1036	62.149.140.83	80	4	GET	www.scuolaartedanza.net	/wp-content/uploads/2012/05/lara-e-fra-300x200.jpg	http://www.scuolaartedanza.net/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	12845	200	OK	-	-	-	(empty)	-	-	-	-	-	FcRoMZ1tzNOsL1qnE	image/jpeg
1345033604.206345	CO2CK82QREDrK2KwC3	192.168.97.10	1037	62.149.140.83	80	6	GET	www.scuolaartedanza.net	/wp-content/uploads/2012/05/cate-gino-300x200.jpg	http://www.scuolaartedanza.net/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	12819	200	OK	-	-	-	(empty)	-	-	-	-	-	F5DXSv47kXeU1qaBa9	image/jpeg
1345033604.365054	CO2CK82QREDrK2KwC3	192.168.97.10	1037	62.149.140.83	80	7	GET	www.scuolaartedanza.net	/wp-content/themes/twentyten/images/wordpress.png	http://www.scuolaartedanza.net/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	849	200	OK	-	-	-	(empty)	-	-	-	-	-	FAjN543uA1rv8qot8k	image/png
1345033604.275549	Cq6PEb2CYOzyL0Dts1	192.168.97.10	1036	62.149.140.83	80	5	GET	www.scuolaartedanza.net	/wp-content/uploads/2012/07/mare_1.jpg	http://www.scuolaartedanza.net/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	224615	200	OK	-	-	-	(empty)	-	-	-	-	-	FOKRMArqFk2obQnhf	image/jpeg
1345033605.329028	Cl0yqt11IUq9wk0QI4	192.168.97.10	1042	62.149.140.123	80	1	GET	www.bamflor.com	/pannelli/system.php	http://www.scuolaartedanza.net/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1345033605.604517	CL9jlw1svqu82RJqt9	192.168.97.10	1043	213.186.33.87	80	1	GET	aubergedelachaite.com	/15464185.html	http://www.scuolaartedanza.net/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	12348	200	OK	-	-	-	(empty)	-	-	-	-	-	F2uNDv1gQiBlYzwmve	text/html
1345033606.545943	CL9jlw1svqu82RJqt9	192.168.97.10	1043	213.186.33.87	80	2	GET	aubergedelachaite.com	/98765.p?f	http://aubergedelachaite.com/15464185.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	205	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FSuFMw4XSovVY3SOpe	text/html
1345033607.066392	ChHQHb2PMaEZBnpq9	192.168.97.10	1044	213.186.33.87	80	1	GET	aubergedelachaite.com	/33256.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	12233	200	OK	-	-	-	(empty)	-	-	-	-	-	FWgee3qB6DHNyuxua	application/jar
1345033607.575271	ChHQHb2PMaEZBnpq9	192.168.97.10	1044	213.186.33.87	80	2	GET	aubergedelachaite.com	/33256.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	12233	200	OK	-	-	-	(empty)	-	-	-	-	-	FTfhdO2bFtpXqlQQv2	application/jar
1345033608.183363	ChHQHb2PMaEZBnpq9	192.168.97.10	1044	213.186.33.87	80	3	GET	aubergedelachaite.com	/33256.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	12233	200	OK	-	-	-	(empty)	-	-	-	-	-	FYECAr2jltRucANSm3	application/jar
1345033608.791583	ChHQHb2PMaEZBnpq9	192.168.97.10	1044	213.186.33.87	80	4	GET	aubergedelachaite.com	/33256.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	12233	200	OK	-	-	-	(empty)	-	-	-	-	-	Fpa0PO34tk0nlsAtHd	application/jar
1345033609.137436	ChHQHb2PMaEZBnpq9	192.168.97.10	1044	213.186.33.87	80	5	GET	aubergedelachaite.com	/3.html	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	18432	200	OK	-	-	-	(empty)	-	-	-	-	-	FM4P0cv2iOMurSKI9	application/x-dosexec
1345033616.841718	CyKiYVkrD6G6wM0g7	192.168.97.10	1045	188.40.40.189	80	1	GET	www.dalmo1950.it	/982146.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	47616	200	OK	-	-	-	(empty)	-	-	-	-	-	FivKnM2UvGapx6mx5c	binary
1345033619.351451	CyKiYVkrD6G6wM0g7	192.168.97.10	1045	188.40.40.189	80	2	GET	www.dalmo1950.it	/982146.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	182784	200	OK	-	-	-	(empty)	-	-	-	-	-	FCG4w02mo7R94E3Iw7	binary
1345033620.079886	CyKiYVkrD6G6wM0g7	192.168.97.10	1045	188.40.40.189	80	3	GET	www.dalmo1950.it	/982146.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	394240	200	OK	-	-	-	(empty)	-	-	-	-	-	FAyFH54aAqZJlvEUqi	binary
1345033621.026053	CyKiYVkrD6G6wM0g7	192.168.97.10	1045	188.40.40.189	80	4	GET	www.dalmo1950.it	/982146.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	154112	200	OK	-	-	-	(empty)	-	-	-	-	-	FJ0sQQ3LP8JCvgeGq6	binary
1345033621.45849	CyKiYVkrD6G6wM0g7	192.168.97.10	1045	188.40.40.189	80	5	GET	www.dalmo1950.it	/982146.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	374223	200	OK	-	-	-	(empty)	-	-	-	-	-	FcQ0md4TQYCNmCsHva	binary
1345033622.588243	CyKiYVkrD6G6wM0g7	192.168.97.10	1045	188.40.40.189	80	6	GET	www.dalmo1950.it	/982146.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	666	200	OK	-	-	-	(empty)	-	-	-	-	-	FVvheF2gZHY6njUPed	binary
1345033624.504187	CfRZMnT1qso8LpBU9	192.168.97.10	1047	173.194.37.73	80	1	GET	www.google-analytics.com	/ga.js	http://www.scuolaartedanza.net/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	36596	200	OK	-	-	-	(empty)	-	-	-	-	-	FaceLUeKl7EXvPwxd	text/plain
1345033624.584412	CfRZMnT1qso8LpBU9	192.168.97.10	1047	173.194.37.73	80	2	GET	www.google-analytics.com	/__utm.gif?utmwv=5.3.4&utms=1&utmn=1877748656&utmhn=www.scuolaartedanza.net&utmcs=utf-8&utmsr=800x600&utmvp=784x463&utmsc=24-bit&utmul=en-us&utmje=1&utmfl=10.0 r32&utmdt=ArteDanza diretta da Caterina Colombini ARAD (Pavia) | Scuola ArteDanza&utmhid=766896317&utmr=-&utmp=/&utmac=UA-16452610-4&utmcc=__utma=230541214.199998935.1345047906.1345047906.1345047906.1;+__utmz=230541214.1345047906.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none);&utmu=q~	http://www.scuolaartedanza.net/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	35	200	OK	-	-	-	(empty)	-	-	-	-	-	FcLgYI37k8vFzk2Vb8	image/gif
1345033630.445911	C8A7TPj2vycQkq2n6	192.168.97.10	1049	208.91.207.10	80	1	GET	promos.fling.com	/geo/txt/city.php	-	-	0	28	200	OK	-	-	-	(empty)	-	-	-	-	-	F2gfo6jBxZxYcUIr6	text/plain
1345033630.672116	Cg6LnQ5APlPdHq3N5	192.168.97.10	1050	213.108.252.185	80	1	GET	bigfatcounters.com	/5699017-3C912481A04E584CDF231C519E1DF857/counter.img?theme=1&digits=10&siteId=630	-	Opera/9 (Windows NT 5.1; US; x86)	0	2377	200	OK	-	-	-	(empty)	-	-	-	-	-	Fb8OFppzyapmqQ86b	image/jpeg
1345033630.693545	C4kQcyzTUT3wYGvra	192.168.97.10	1052	213.108.252.185	80	1	GET	bigfatcounters.com	/5699017-3C912481A04E584CDF231C519E1DF857/counter.img?theme=2&digits=10&siteId=751	-	Opera/9 (Windows NT 5.1; US; x86)	0	2266	200	OK	-	-	-	(empty)	-	-	-	-	-	Fysgs8310uhW1Gq8K2	image/jpeg
1345033630.862853	CN3nc41ATazMFaP8D8	192.168.97.10	1054	213.108.252.185	80	1	GET	bigfatcounters.com	/5699017-3C912481A04E584CDF231C519E1DF857/counter.img?theme=3&digits=10&siteId=761	-	Opera/9 (Windows NT 5.1; US; x86)	0	2234	200	OK	-	-	-	(empty)	-	-	-	-	-	FBxudoN3BUdjhWKFl	image/jpeg
1345033630.874567	C00bhd3UzVZgMFsKah	192.168.97.10	1056	213.108.252.185	80	1	GET	bigfatcounters.com	/5699017-3C912481A04E584CDF231C519E1DF857/counter.img?theme=4&digits=10&siteId=631	-	Opera/9 (Windows NT 5.1; US; x86)	0	2119	200	OK	-	-	-	(empty)	-	-	-	-	-	FenYVh4CpF94bC3DYf	image/jpeg
1345033630.905742	Cfv1yJ2z9H7SpBcGii	192.168.97.10	1058	213.108.252.185	80	1	GET	bigfatcounters.com	/5699017-3C912481A04E584CDF231C519E1DF857/counter.img?theme=5&digits=10&siteId=650	-	Opera/9 (Windows NT 5.1; US; x86)	0	1660	200	OK	-	-	-	(empty)	-	-	-	-	-	FrxGwO2zd2JUG2uDic	image/jpeg
1345033631.412596	CneRSy2rG5T9mPD8Oj	192.168.97.10	1062	213.108.252.185	80	1	GET	bigfatcounters.com	/5699017-3C912481A04E584CDF231C519E1DF857/counter.img?theme=6&digits=10&siteId=651	-	Opera/9 (Windows NT 5.1; US; x86)	0	1783	200	OK	-	-	-	(empty)	-	-	-	-	-	FRv2XFEyyQiJUZG9f	image/jpeg
1345033631.541976	CVbonr3vU2JAMPSdVi	192.168.97.10	1065	213.108.252.185	80	1	GET	bigfatcounters.com	/5699017-3C912481A04E584CDF231C519E1DF857/counter.img?theme=7&digits=10&siteId=660	-	Opera/9 (Windows NT 5.1; US; x86)	0	1465	200	OK	-	-	-	(empty)	-	-	-	-	-	FcVUuV1HpO2khCB4v6	image/jpeg
1345033631.564509	CMKf6V2sgSeCBttMAg	192.168.97.10	1068	213.108.252.185	80	1	GET	bigfatcounters.com	/5699017-3C912481A04E584CDF231C519E1DF857/counter.img?theme=8&digits=10&siteId=661	-	Opera/9 (Windows NT 5.1; US; x86)	0	1507	200	OK	-	-	-	(empty)	-	-	-	-	-	FRzYyT3VkayNIhmqt9	image/jpeg
1345033631.022417	CpnuYu2tANWJ7IcqBk	192.168.97.10	1060	112.121.178.189	80	1	GET	112.121.178.189	/api/urls/?ts=bcaad2f0&affid=56300	-	(empty)	0	61	200	OK	-	-	-	(empty)	-	-	-	-	-	FtvkZF21A2VEal40Wc	text/plain
1345033632.290446	CLcjaC4XsPxUKvMzYd	192.168.97.10	1070	194.219.29.235	80	1	GET	jimi.kopoese.com	/f/notepad.exe?ts=bcaad2f0&affid=5630	-	(empty)	0	215040	200	OK	-	-	-	(empty)	-	-	-	-	-	F3SZqV1xxdRqp6ycv1	application/x-dosexec
1345033623.915816	CqgCcTr41OOVZMZG9	192.168.97.10	1046	92.55.116.205	80	1	GET	pyjivga.ru	/manager.exe	-	-	0	841728	200	(empty)	-	-	-	(empty)	-	-	-	-	-	F3VlT64fiFkTfMAura	application/x-dosexec
#close	2014-04-03-10-22-24
