#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-09-54-15
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1314948757.412637	CXcX2S14EijwwbrFN	192.168.2.10	1032	208.109.174.38	80	19	GET	www.cfcare.org	/stylesheets/images/h2_gi_bkg.jpg	http://www.cfcare.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	304	200	OK	-	-	-	(empty)	-	-	-	-	-	FyY53UaQaccogxlq8	image/jpeg
1314948757.46159	CXcX2S14EijwwbrFN	192.168.2.10	1032	208.109.174.38	80	20	GET	www.cfcare.org	/stylesheets/images/learnmore_btn.jpg	http://www.cfcare.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5662	200	OK	-	-	-	(empty)	-	-	-	-	-	F4RknW3fGO77qCw67	image/jpeg
1314948757.512517	CXcX2S14EijwwbrFN	192.168.2.10	1032	208.109.174.38	80	21	GET	www.cfcare.org	/stylesheets/images/giBox_cap.jpg	http://www.cfcare.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1268	200	OK	-	-	-	(empty)	-	-	-	-	-	FuoDAf4MNccITWSVn6	image/jpeg
1314948757.556821	CXcX2S14EijwwbrFN	192.168.2.10	1032	208.109.174.38	80	22	GET	www.cfcare.org	/stylesheets/images/page_bkg.jpg	http://www.cfcare.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	321	200	OK	-	-	-	(empty)	-	-	-	-	-	FTHsRw2Ek46gdO9Mp1	image/jpeg
1314948757.597455	CXcX2S14EijwwbrFN	192.168.2.10	1032	208.109.174.38	80	23	GET	www.cfcare.org	/stylesheets/images/footerHome_bkg.jpg	http://www.cfcare.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	33448	200	OK	-	-	-	(empty)	-	-	-	-	-	FVPYHLbp8oFakIWr3	image/jpeg
1314948757.653912	CXcX2S14EijwwbrFN	192.168.2.10	1032	208.109.174.38	80	24	GET	www.cfcare.org	/stylesheets/images/facebook_bkg.jpg	http://www.cfcare.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1774	200	OK	-	-	-	(empty)	-	-	-	-	-	FM2zBO1kSvRq5VlCRb	image/jpeg
1314948757.700095	CXcX2S14EijwwbrFN	192.168.2.10	1032	208.109.174.38	80	25	GET	www.cfcare.org	/stylesheets/images/twitter_bkg.jpg	http://www.cfcare.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2047	200	OK	-	-	-	(empty)	-	-	-	-	-	FdLkHy1ez2KMddEzA3	image/jpeg
1314948757.342701	CfJkXL2VFCrvb7EY8h	192.168.2.10	1031	208.109.174.38	80	23	GET	www.cfcare.org	/images/homeslides/3.jpg	http://www.cfcare.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	568336	200	OK	-	-	-	(empty)	-	-	-	-	-	F9FIpg218hrRGGAo3i	image/jpeg
1314948757.856903	CfJkXL2VFCrvb7EY8h	192.168.2.10	1031	208.109.174.38	80	24	GET	www.cfcare.org	/shadowbox/skin/classic/loading.gif	http://www.cfcare.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3208	200	OK	-	-	-	(empty)	-	-	-	-	-	FuK7QSamuSm1riErf	image/gif
1314948757.915156	C4ojIV29JSO1DEu4Oh	192.168.2.10	1039	208.109.174.38	80	1	GET	www.cfcare.org	/shadowbox/skin/classic/overlay.png	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2804	200	OK	-	-	-	(empty)	-	-	-	-	-	FJVjwO3d8NMvWKD9V2	image/png
