#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-53-21
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1328638732.471219	CwZ1G24N9PDcmOurKf	192.168.85.10	1080	178.32.190.142	80	1	GET	tlxjbcve.cn	/stat2.php?w=30336&i=000000000000000000000000c82bd0e3&a=26	-	Opera/6 (Windows NT 5.1; US; LangID=409; x86)	0	326	503	Service Unavailable	-	-	-	(empty)	-	-	-	-	-	Fg4bjO1j3usZvadUNj	text/html
1328638732.569073	CZYWmi2QnQ5zPdIGX1	192.168.85.10	1082	178.32.190.142	80	1	GET	tlxjbcve.cn	/stat2.php?w=30336&i=000000000000000000000000c82bd0e3&a=27	-	Opera/6 (Windows NT 5.1; US; LangID=409; x86)	0	326	503	Service Unavailable	-	-	-	(empty)	-	-	-	-	-	Fc4hcj4zsOBWy2Y8a8	text/html
1328638732.6028	CqiZPe1TaMSzE8Qlr3	192.168.85.10	1084	178.32.190.142	80	1	GET	tlxjbcve.cn	/stat2.php?w=30336&i=000000000000000000000000c82bd0e3&a=11	-	Opera/6 (Windows NT 5.1; US; LangID=409; x86)	0	326	503	Service Unavailable	-	-	-	(empty)	-	-	-	-	-	F8ETO14miQCpWeWSy1	text/html
1328638728.796604	CqNyVw2kbaQnAYICmj	192.168.85.10	1054	78.159.105.120	80	1	GET	abcfunny.info	/?478cafb952af7d0160a4d4c59a08f97e	-	-	0	850944	200	OK	-	-	-	(empty)	-	-	-	-	-	FYCQvD1jR8yjtpZhTg	application/x-dosexec
1328638729.726888	CDix8r3i9wQOPmB0vk	192.168.85.10	1055	78.159.105.120	80	1	GET	abcfunny.info	/?478cafb952af7d0160a4d4c59a08f97e	-	-	0	850944	200	OK	-	-	-	(empty)	-	-	-	-	-	F5zk082sTo9dQoxy01	application/x-dosexec
1328638732.938219	CmZxAk4lxFYLUYbKBb	192.168.85.10	1086	78.159.105.120	80	1	GET	abcfunny.info	/?a3102bac7d8f151c960f47d783d81020	-	-	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1328638733.08968	C9dyZ243ndLQkw5AIb	192.168.85.10	1087	78.159.105.120	80	1	GET	abcfunny.info	/?a3102bac7d8f151c960f47d783d81020	-	-	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1328638733.256643	CZTkKQ3KEno2akj2Yf	192.168.85.10	1088	78.159.105.120	80	1	GET	abcfunny.info	/?aa507b8b363d36191654d7c6bac2907c	-	-	0	193536	200	OK	-	-	-	(empty)	-	-	-	-	-	FSfP1B1FuOoWShMSpa	application/x-dosexec
1328638734.014613	CrSIpd1lquBzJRRZY1	192.168.85.10	1090	174.133.57.114	80	1	GET	phatcutie.com	/gabi/s.php?id=95	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2	200	OK	-	-	-	(empty)	-	-	-	-	-	FueCAp4roLnyFbZYEa	text/plain
1328638733.387814	CQmGCa4K3JcuWd7EA3	192.168.85.10	1089	78.159.105.120	80	1	GET	abcfunny.info	/?aa507b8b363d36191654d7c6bac2907c	-	-	0	193536	200	OK	-	-	-	(empty)	-	-	-	-	-	F3NPg93ugU18VtgG9d	application/x-dosexec
1328638734.600308	C4JCmt29JtAt9HLMjk	192.168.85.10	1093	72.167.207.74	80	1	GET	oneathleticmom.com	/images/b.php?id=95	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2	200	OK	-	-	-	(empty)	-	-	-	-	-	FPydZ32DSjVBxnc3U4	text/plain
1328638734.567675	C9jXzp1CIb415iFuj3	192.168.85.10	1091	78.159.105.120	80	1	GET	abcfunny.info	/?c96f38aad5c8a68b491d770e082e4cf7	-	-	0	152064	200	OK	-	-	-	(empty)	-	-	-	-	-	FyhGiFBWBdeV8Rmh7	application/x-dosexec
1328638734.667031	CQIRvh2QaArWAQIgZi	192.168.85.10	1092	78.159.105.120	80	1	GET	abcfunny.info	/?c96f38aad5c8a68b491d770e082e4cf7	-	-	0	152064	200	OK	-	-	-	(empty)	-	-	-	-	-	FlrvbO3WmJqzYapsFl	application/x-dosexec
1328638757.865939	Ctbo272BflqhAzl682	192.168.85.10	1236	208.91.207.10	80	1	GET	promos.fling.com	/geo/txt/city.php	-	-	0	28	200	OK	-	-	-	(empty)	-	-	-	-	-	FDH4cBd3SfoJ1Udui	text/plain
1328638796.121526	Cz9Dgq3ovVOc5Bv4Yh	192.168.85.10	1255	194.54.81.21	80	1	GET	updateonlinedatabase.com	/404.php?id=95	-	Mozilla	0	2	200	OK	-	-	-	(empty)	-	-	-	-	-	FqtXrC25XhvcKxSm9f	text/plain
#close	2014-04-03-10-53-22
