#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-22-16
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1334454553.514817	CTyirB1bpRMG53R4f	192.168.67.10	1030	91.142.249.5	80	1	GET	deharlekein.nl	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	-	-
1334454555.082311	CM2DqFKX2vG0b4kOh	192.168.67.10	1033	91.142.249.37	80	3	GET	www.deharlekein.com	/slideshow.swf	http://www.deharlekein.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	89571	200	OK	-	-	-	(empty)	-	-	-	-	-	FpgPJp1kjaZva17cTe	application/x-shockwave-flash
1334454556.030182	CZ6Evl1cq8Cil4F7Xd	192.168.67.10	1039	23.3.9.75	80	1	GET	fpdownload2.macromedia.com	/get/flashplayer/update/current/xml/version_en_win_ax.xml	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1759	200	OK	-	-	-	(empty)	-	-	-	-	-	Fq5CRh5zAhip39a5i	text/html
1334454555.949673	CqP0904qqHSUVMbrlc	192.168.67.10	1038	188.127.229.182	80	1	GET	kumbtenli.dlinkddns.com	/y0hYEzsaC9ogjXcRrdeDV?j=9.1.0&9=1.6.0_10	http://kumbtenli.dlinkddns.com/i/00004	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2737	200	OK	-	-	-	(empty)	-	-	-	-	-	FFc6Hd4vwkIUyuyLw6	text/plain
1334454556.140157	CWZjqQ1LDvc3nMICx9	192.168.67.10	1040	213.206.87.134	80	1	GET	www.seatme.org	/buttonfiles/js/jquery.colorbox-min.js	http://www.deharlekein.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	9029	200	OK	-	-	-	(empty)	-	-	-	-	-	FYlidrJik1LPdKOMh	text/plain
1334454555.949978	CM2DqFKX2vG0b4kOh	192.168.67.10	1033	91.142.249.37	80	4	GET	www.deharlekein.com	/gui/tit_psst.png	http://www.deharlekein.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1720	200	OK	-	-	-	(empty)	-	-	-	-	-	FmGZzr21hF5iTk8cf1	image/png
1334454556.281914	CM2DqFKX2vG0b4kOh	192.168.67.10	1033	91.142.249.37	80	5	GET	www.deharlekein.com	/slides_index.php	http://www.deharlekein.com/slideshow.swf	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1892	200	OK	-	-	-	(empty)	-	-	-	-	-	FmjDmA1WrGsgV51d8f	text/plain
1334454555.472407	CSSncB3dzYM7y6gu54	192.168.67.10	1031	91.142.249.37	80	5	GET	www.deharlekein.com	/gui/logo-mid.png	http://www.deharlekein.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	39877	200	OK	-	-	-	(empty)	-	-	-	-	-	FGcmFlxGVTOrTR2g9	image/png
1334454556.582907	CM2DqFKX2vG0b4kOh	192.168.67.10	1033	91.142.249.37	80	6	GET	www.deharlekein.com	/gui/pic_bottles.jpg	http://www.deharlekein.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	33703	200	OK	-	-	-	(empty)	-	-	-	-	-	FcUCo32GUsoYZvu5ff	image/jpeg
1334454556.652331	CSSncB3dzYM7y6gu54	192.168.67.10	1031	91.142.249.37	80	6	GET	www.deharlekein.com	/gui/tit_restaurant.png	http://www.deharlekein.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2490	200	OK	-	-	-	(empty)	-	-	-	-	-	F7kDku4rBYJzu22lF1	image/png
1334454556.725781	CM2DqFKX2vG0b4kOh	192.168.67.10	1033	91.142.249.37	80	7	GET	www.deharlekein.com	/gui/tit_reserveren.png	http://www.deharlekein.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1161	200	OK	-	-	-	(empty)	-	-	-	-	-	FQMN0s1GIluSQ12981	image/png
1334454556.429806	CDEwk63973ogm1LCH5	192.168.67.10	1041	188.127.229.182	80	1	GET	kumbtenli.dlinkddns.com	/t10hYEzsaC9ogjXcRrdeDV	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	68096	200	OK	-	-	-	(empty)	-	-	-	-	-	F8oG022xd9iczNPecd	application/x-dosexec
1334454557.909252	CM2DqFKX2vG0b4kOh	192.168.67.10	1033	91.142.249.37	80	8	GET	www.deharlekein.com	/images/groupon.png	http://www.deharlekein.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	24228	200	OK	-	-	-	(empty)	-	-	-	-	-	FwQ8XRbXhnRfeY9B2	image/png
1334454558.014409	CwgiA92l9Az42nLCCd	192.168.67.10	1046	213.206.87.134	80	1	GET	www.seatme.org	/buttonfiles/img/button_small.png	http://www.deharlekein.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7086	200	OK	-	-	-	(empty)	-	-	-	-	-	FzMx8k3tBgI0fzbYb	image/png
1334454558.048854	CM2DqFKX2vG0b4kOh	192.168.67.10	1033	91.142.249.37	80	9	GET	www.deharlekein.com	/gui/fb.png	http://www.deharlekein.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1944	200	OK	-	-	-	(empty)	-	-	-	-	-	FouQWy39sut9GILh12	image/png
1334454558.078074	CjJ5YC1oFiWi7YS787	192.168.67.10	1047	213.206.87.134	80	1	GET	www.seatme.org	/buttonfiles/css/images/loading_background.png	http://www.deharlekein.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	157	200	OK	-	-	-	(empty)	-	-	-	-	-	FIv4it4kk7IPWdtV6k	image/png
1334454558.16625	CM2DqFKX2vG0b4kOh	192.168.67.10	1033	91.142.249.37	80	10	GET	www.deharlekein.com	/gui/tit_foto.png	http://www.deharlekein.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1224	200	OK	-	-	-	(empty)	-	-	-	-	-	FCE0YElR9sLNzuNze	image/png
1334454558.22206	CWgDwJ2EUBLGGQt8Qa	192.168.67.10	1048	213.206.87.134	80	1	GET	www.seatme.org	/images/internet_explorer/borderTopCenter.png	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	111	200	OK	-	-	-	(empty)	-	-	-	-	-	FIDXyn60cMH6opm79	image/png
1334454558.272697	ClB6Wm3bBJUkiN6Zmk	192.168.67.10	1049	213.206.87.134	80	1	GET	www.seatme.org	/buttonfiles/css/images/loading.gif	http://www.deharlekein.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	9427	200	OK	-	-	-	(empty)	-	-	-	-	-	FKKLBfTKHxQarR1k2	image/gif
1334454558.276371	CM2DqFKX2vG0b4kOh	192.168.67.10	1033	91.142.249.37	80	11	GET	www.deharlekein.com	/gui/divider.png	http://www.deharlekein.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2270	200	OK	-	-	-	(empty)	-	-	-	-	-	FW4ZPcpmOKC5OPy2c	image/png
1334454558.436011	C4ZjQMtJ9bjcfCkug	192.168.67.10	1050	213.206.87.134	80	1	GET	www.seatme.org	/buttonfiles/css/images/controls.png	http://www.deharlekein.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1249	200	OK	-	-	-	(empty)	-	-	-	-	-	FrDPPi4n4DJguSPh96	image/png
1334454558.47412	CVB5a7KcX7JtOgNa1	192.168.67.10	1051	213.206.87.134	80	1	GET	www.seatme.org	/images/internet_explorer/borderTopLeft.png	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	216	200	OK	-	-	-	(empty)	-	-	-	-	-	FPQ1WB3C0D9Nixx9Da	image/png
1334454558.633728	C4qAxJ3a9QL8FSg8P2	192.168.67.10	1052	213.206.87.134	80	1	GET	www.seatme.org	/buttonfiles/css/images/overlay.png	http://www.deharlekein.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	182	200	OK	-	-	-	(empty)	-	-	-	-	-	FOwLHv1PO07WfWbCTd	image/png
1334454558.68243	CxEXSd4wjvttidQkp5	192.168.67.10	1053	213.206.87.134	80	1	GET	www.seatme.org	/images/internet_explorer/borderTopRight.png	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	214	200	OK	-	-	-	(empty)	-	-	-	-	-	Fyod863k9zZ3ur28V	image/png
1334454557.908827	CSSncB3dzYM7y6gu54	192.168.67.10	1031	91.142.249.37	80	7	GET	www.deharlekein.com	/gui/foto0.jpg	http://www.deharlekein.com/slideshow.swf	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	104622	200	OK	-	-	-	(empty)	-	-	-	-	-	Fh0fdE413yyVsgGf3a	image/jpeg
1334454558.88207	C7iBqy4SzdKyS5aUG1	192.168.67.10	1054	213.206.87.134	80	1	GET	www.seatme.org	/images/internet_explorer/borderMiddleLeft.png	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	108	200	OK	-	-	-	(empty)	-	-	-	-	-	F27y7NTtapbmREcp1	image/png
1334454559.079785	CGsyVU31Gd2OX5Oa4j	192.168.67.10	1055	213.206.87.134	80	1	GET	www.seatme.org	/images/internet_explorer/borderMiddleRight.png	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	108	200	OK	-	-	-	(empty)	-	-	-	-	-	FgEgiw4nObDILY1c42	image/png
1334454559.275272	CPRuDr57dmIpENpTk	192.168.67.10	1056	213.206.87.134	80	1	GET	www.seatme.org	/images/internet_explorer/borderBottomLeft.png	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	215	200	OK	-	-	-	(empty)	-	-	-	-	-	FwbL7f2XjyAUZxluKh	image/png
1334454559.470796	COv4jYScbCAQq5Wg8	192.168.67.10	1057	213.206.87.134	80	1	GET	www.seatme.org	/images/internet_explorer/borderBottomCenter.png	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	111	200	OK	-	-	-	(empty)	-	-	-	-	-	FxZkwp3IwGXFrU3Dfd	image/png
1334454559.666697	CHTJB2367UpWNwjlC6	192.168.67.10	1058	213.206.87.134	80	1	GET	www.seatme.org	/images/internet_explorer/borderBottomRight.png	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	217	200	OK	-	-	-	(empty)	-	-	-	-	-	FDNZOa3SeJ2ZcyyVS3	image/png
1334454560.220674	CM2DqFKX2vG0b4kOh	192.168.67.10	1033	91.142.249.37	80	12	GET	www.deharlekein.com	/gui/foto1.jpg	http://www.deharlekein.com/slideshow.swf	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	101165	200	OK	-	-	-	(empty)	-	-	-	-	-	FHwaEA37qQLKQ8jFB3	image/jpeg
1334454560.634274	CSSncB3dzYM7y6gu54	192.168.67.10	1031	91.142.249.37	80	8	GET	www.deharlekein.com	/gui/foto2.jpg	http://www.deharlekein.com/slideshow.swf	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	98126	200	OK	-	-	-	(empty)	-	-	-	-	-	FHVet33gCOEH4pZP23	image/jpeg
1334454561.044232	CM2DqFKX2vG0b4kOh	192.168.67.10	1033	91.142.249.37	80	13	GET	www.deharlekein.com	/gui/foto3.jpg	http://www.deharlekein.com/slideshow.swf	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	94211	200	OK	-	-	-	(empty)	-	-	-	-	-	FO8hi93P66kxvmyskj	image/jpeg
1334454561.93422	CIFOkY1mYVIEJagmrh	192.168.67.10	1062	188.127.229.182	80	1	GET	kumbtenli.dlinkddns.com	/q0hYEzsaC9ogjXcRrdeDV	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	219	404	NOT FOUND	-	-	-	(empty)	-	-	-	-	-	FbW3LC2ereYIKgoGVf	text/html
1334454561.497061	CSSncB3dzYM7y6gu54	192.168.67.10	1031	91.142.249.37	80	9	GET	www.deharlekein.com	/gui/foto4.jpg	http://www.deharlekein.com/slideshow.swf	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	89855	200	OK	-	-	-	(empty)	-	-	-	-	-	FyEysyNwi8arBoqjl	image/jpeg
1334454562.338269	CCKEdfyFmK1CvVwMj	192.168.67.10	1063	188.127.229.182	80	1	GET	kumbtenli.dlinkddns.com	/q0hYEzsaC9ogjXcRrdeDV	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	219	404	NOT FOUND	-	-	-	(empty)	-	-	-	-	-	Fj8H6N2FPEjColIOgh	text/html
1334454562.478834	CM2DqFKX2vG0b4kOh	192.168.67.10	1033	91.142.249.37	80	14	GET	www.deharlekein.com	/gui/foto5.jpg	http://www.deharlekein.com/slideshow.swf	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	100367	200	OK	-	-	-	(empty)	-	-	-	-	-	F6xzMB17NDNRAWGjIa	image/jpeg
1334454562.728126	CToaxAJIQJFG5CcL3	192.168.67.10	1064	188.127.229.182	80	1	GET	kumbtenli.dlinkddns.com	/i/a/Test.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	212	404	NOT FOUND	-	-	-	(empty)	-	-	-	-	-	FtfrSZ35fvov1I8WEh	text/html
1334454562.88394	CSSncB3dzYM7y6gu54	192.168.67.10	1031	91.142.249.37	80	10	GET	www.deharlekein.com	/gui/foto6.jpg	http://www.deharlekein.com/slideshow.swf	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	87629	200	OK	-	-	-	(empty)	-	-	-	-	-	F9ETvA1L7sJscGf5k8	image/jpeg
1334454563.106087	C6lMIl4JjAslkcxIy	192.168.67.10	1065	188.127.229.182	80	1	GET	kumbtenli.dlinkddns.com	/i/a/Test.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	212	404	NOT FOUND	-	-	-	(empty)	-	-	-	-	-	FdO9KS43V3ECyUd57	text/html
1334454587.695919	CtbFFL1gubFxhIE8Zb	192.168.67.10	1072	23.3.9.35	80	1	GET	crl.adobe.com	/aum.crl	-	Adobe Update Manager 6	0	2819	200	OK	-	-	-	(empty)	-	-	-	-	-	FvKkfb1xrbKkQIP5bi	binary
1334454587.509142	CkWKEa3OMIQggH94ke	192.168.67.10	1071	23.3.9.32	80	1	GET	swupmf.adobe.com	/manifest/60/win/reader9rdr-en_US.upd	-	Adobe Update Manager 6	0	192693	200	OK	-	-	-	(empty)	-	-	-	-	-	FBx62t3oE3lZR4Zcv7	binary
1334454587.905384	CkWKEa3OMIQggH94ke	192.168.67.10	1071	23.3.9.32	80	2	GET	swupmf.adobe.com	/manifest/60/win/AdobeUpdater.upd	-	Adobe Update Manager 6	0	3524	200	OK	-	-	-	(empty)	-	-	-	-	-	FLw6dYxTUjTAgjBR4	binary
#close	2014-04-03-10-22-16
