#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-11-56
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1337233695.253978	CT4jpMdPWZF9rJGO1	192.168.77.10	1030	62.149.128.163	80	1	GET	restaurocarta.it	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	236	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FWKV074lOzKKBnY3lf	text/html
1337233698.837986	CkE0Au3rs9dkLFukAh	192.168.77.10	1032	62.149.140.235	80	6	GET	www.restaurocarta.it	/wp-content/uploads/2011/02/firenze.jpg	http://www.restaurocarta.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	27653	200	OK	-	-	-	(empty)	-	-	-	-	-	FtkhhD2LPK8J7F4lmi	image/jpeg
1337233699.312401	CTaAKQ392548HnPFra	192.168.77.10	1031	62.149.140.235	80	5	GET	www.restaurocarta.it	/wp-content/uploads/2011/02/santa-croce-ancora2-300x224.jpg	http://www.restaurocarta.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	17102	200	OK	-	-	-	(empty)	-	-	-	-	-	Fz1e2r47H6gaffbsdk	image/jpeg
1337233699.309018	CFgSTL15BVvnczrrC1	192.168.77.10	1042	192.215.101.49	80	1	GET	blogs.getty.edu	/iris/files/2011/06/harald_szeemann.jpg	http://www.restaurocarta.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	68655	200	OK	-	-	-	(empty)	-	-	-	-	-	FNhofr2oWkTIitBPQ	image/jpeg
1337233699.586477	CTaAKQ392548HnPFra	192.168.77.10	1031	62.149.140.235	80	6	GET	www.restaurocarta.it	/wp-content/uploads/2011/02/P1010018-150x150.jpg	http://www.restaurocarta.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	8489	200	OK	-	-	-	(empty)	-	-	-	-	-	FYvz3P3A29gUNEnGi8	image/jpeg
1337233699.312196	CZVRho3JLiq8VYXsKe	192.168.77.10	1044	80.76.70.99	80	1	GET	lightstorage.ilcittadinomb.it	/media/2012/03/6abdfeb00eef3a38c83006d0ffe3664e_medium.jpg	http://www.restaurocarta.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	68382	200	OK	-	-	-	(empty)	-	-	-	-	-	FfANln3C73qvFYsf74	image/jpeg
1337233699.522702	CkE0Au3rs9dkLFukAh	192.168.77.10	1032	62.149.140.235	80	7	GET	www.restaurocarta.it	/wp-content/uploads/2011/02/P40800221-300x225.jpg	http://www.restaurocarta.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	22094	200	OK	-	-	-	(empty)	-	-	-	-	-	FjjCqw3a3R0dMhnYib	image/jpeg
1337233699.740276	CTaAKQ392548HnPFra	192.168.77.10	1031	62.149.140.235	80	7	GET	www.restaurocarta.it	/wp-content/uploads/2011/11/meditares_banneramodei_200-150x150.jpg	http://www.restaurocarta.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5298	200	OK	-	-	-	(empty)	-	-	-	-	-	Fx1fId1GFz9sUzRuZi	image/jpeg
1337233699.522151	C2V9Uj3XdwKlgN8pD2	192.168.77.10	1047	62.149.140.220	80	1	GET	www.beniculturalionline.it	/components/com_wordpress/wp/wp-content/uploads/2011/10/icona_tempera_uovo.jpg	http://www.restaurocarta.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7548	200	OK	-	-	-	(empty)	-	-	-	-	-	F1kkB624Sdc2pDFHBi	image/jpeg
1337233699.880143	CkE0Au3rs9dkLFukAh	192.168.77.10	1032	62.149.140.235	80	8	GET	www.restaurocarta.it	/wp-content/uploads/2011/11/restauro.jpg	http://www.restaurocarta.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	11352	200	OK	-	-	-	(empty)	-	-	-	-	-	FP5YQO2TGz2e7iE0qb	image/jpeg
1337233699.51985	CUfImZ1tgZ3ponAR6h	192.168.77.10	1045	109.168.105.232	80	1	GET	www.torinotoday.it	/~media/immagine_articolo/34688950940426/universita-rettorato.jpg	http://www.restaurocarta.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	112160	200	OK	-	-	-	(empty)	-	-	-	-	-	FVUqxW3b1WzGPcq98	image/jpeg
1337233699.898734	CTaAKQ392548HnPFra	192.168.77.10	1031	62.149.140.235	80	8	GET	www.restaurocarta.it	/wp-content/uploads/2011/07/no_foto.gif	http://www.restaurocarta.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3001	200	OK	-	-	-	(empty)	-	-	-	-	-	FeDN4z2UiMRVt24Ryi	image/gif
1337233700.092229	CkE0Au3rs9dkLFukAh	192.168.77.10	1032	62.149.140.235	80	9	GET	www.restaurocarta.it	/wp-content/uploads/2011/05/klw_Reynolds11-218x300.jpg	http://www.restaurocarta.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	19132	200	OK	-	-	-	(empty)	-	-	-	-	-	FWGYt21WxXaKq26l2e	image/jpeg
1337233699.31195	CsEfDU39STmrzBYyQa	192.168.77.10	1043	62.149.140.46	80	1	GET	www.igiic.org	/UserFiles/Image/2012/Carta-da-lucidomaggioHOMEpage.png	http://www.restaurocarta.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	123707	200	OK	-	-	-	(empty)	-	-	-	-	-	Fj1zZj17QTYO1tVGEg	image/png
1337233700.153697	CTaAKQ392548HnPFra	192.168.77.10	1031	62.149.140.235	80	9	GET	www.restaurocarta.it	/wp-content/plugins/wordpress-hit-counter/styles/Basic/1/0.gif	http://www.restaurocarta.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	193	200	OK	-	-	-	(empty)	-	-	-	-	-	Fe6QpE28fv7VtgQAW	image/gif
1337233700.308371	CkE0Au3rs9dkLFukAh	192.168.77.10	1032	62.149.140.235	80	10	GET	www.restaurocarta.it	/wp-content/plugins/wordpress-hit-counter/styles/Basic/1/4.gif	http://www.restaurocarta.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	176	200	OK	-	-	-	(empty)	-	-	-	-	-	F8pCQQQsBHoLERx0j	image/gif
1337233700.339491	CTaAKQ392548HnPFra	192.168.77.10	1031	62.149.140.235	80	10	GET	www.restaurocarta.it	/wp-content/plugins/wordpress-hit-counter/styles/Basic/1/1.gif	http://www.restaurocarta.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	140	200	OK	-	-	-	(empty)	-	-	-	-	-	FA8GxG1MLEkSUi22p6	image/gif
1337233700.457096	CkE0Au3rs9dkLFukAh	192.168.77.10	1032	62.149.140.235	80	11	GET	www.restaurocarta.it	/wp-content/plugins/wordpress-hit-counter/styles/Basic/1/3.gif	http://www.restaurocarta.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	168	200	OK	-	-	-	(empty)	-	-	-	-	-	FhqWWK1o6v6UF30yq8	image/gif
1337233700.486878	CTaAKQ392548HnPFra	192.168.77.10	1031	62.149.140.235	80	11	GET	www.restaurocarta.it	/wp-includes/js/jquery/ui/jquery.ui.core.min.js?ver=1.8.16	http://www.restaurocarta.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4365	200	OK	-	-	-	(empty)	-	-	-	-	-	FDRviE1BWz9lEgGEb5	text/plain
1337233700.647943	CTaAKQ392548HnPFra	192.168.77.10	1031	62.149.140.235	80	12	GET	www.restaurocarta.it	/wp-content/plugins/buddypress/bp-core/images/60pc_black.png	http://www.restaurocarta.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	109	200	OK	-	-	-	(empty)	-	-	-	-	-	FgGEi54gLiBkFewBjj	image/png
1337233700.819983	CTaAKQ392548HnPFra	192.168.77.10	1031	62.149.140.235	80	13	GET	www.restaurocarta.it	/wp-content/plugins/buddypress/bp-core/images/admin-menu-arrow.gif	http://www.restaurocarta.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	51	200	OK	-	-	-	(empty)	-	-	-	-	-	FKkdx92Az1NJTqBwo8	image/gif
1337233700.963241	CTaAKQ392548HnPFra	192.168.77.10	1031	62.149.140.235	80	14	GET	www.restaurocarta.it	/wp-includes/js/jquery/ui/jquery.ui.widget.min.js?ver=1.8.16	http://www.restaurocarta.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3303	200	OK	-	-	-	(empty)	-	-	-	-	-	FmqOWx1OiWCyOofWWc	text/plain
1337233701.131231	CTaAKQ392548HnPFra	192.168.77.10	1031	62.149.140.235	80	15	GET	www.restaurocarta.it	/wp-includes/js/jquery/ui/jquery.ui.tabs.min.js?ver=1.8.16	http://www.restaurocarta.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	11632	200	OK	-	-	-	(empty)	-	-	-	-	-	F7NQ0D3A44wEObe7Tj	text/html
1337233699.879323	CVqO8NHjBlWIoWN9	192.168.77.10	1046	84.2.222.233	80	1	GET	zihemmi.ru	/count26.php	http://www.restaurocarta.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	(empty)	-	-	-	(empty)	-	-	-	-	-	-	-
1337233702.072842	CVbUmZ3u6K5O6b46Mj	192.168.77.10	1048	178.162.157.188	80	1	GET	178.162.157.188	/92960006.html	http://www.restaurocarta.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	236	200	OK	-	-	-	(empty)	-	-	-	-	-	FqKVlXR7fpvA65Pi	text/html
1337233700.604529	CkE0Au3rs9dkLFukAh	192.168.77.10	1032	62.149.140.235	80	12	GET	www.restaurocarta.it	/wp-content/uploads/2011/02/P4080022.jpg	http://www.restaurocarta.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1365714	200	OK	-	-	-	(empty)	-	-	-	-	-	F2Xrwt3wwQbXHO4rre	image/jpeg
1337233704.681397	CKrUtPiKbsHM2K3b8	192.168.77.10	1038	8.19.34.206	80	3	GET	d.envolve.com	/fromserver2?s=1774441975&i=7|0|10|http://d.envolve.com/|C009B9EB237D074C187D5C92D05D0859|p.ISP/1258462279|p.EI/106857271|p.api.SCS/4154202260|356c6db7f89834fc1d56ca703a753a2b83a041c5;1337233578000;c=logout|[Lp.api.JC;/3813751515|[Ljava.lang.String;/2600011424|Default|http://www.restaurocarta.it/|1|2|3|4|5|6|7|0|8|1|9|10|1|0|0|64890|27|	http://www.restaurocarta.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2202	200	OK	-	-	-	(empty)	-	-	-	-	-	FcjoYr32dvXAULmhi	text/plain
1337233705.324375	CKrUtPiKbsHM2K3b8	192.168.77.10	1038	8.19.34.206	80	4	GET	d.envolve.com	/046248BAEBFD33FF7385008ABE0A8BC0.cache.png	http://www.restaurocarta.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	804	200	OK	-	-	-	(empty)	-	-	-	-	-	FCQvyQFPBacQd5jr	image/png
1337233705.401531	CQ2pgq1iE2g41MyRs5	192.168.77.10	1049	8.19.34.206	80	1	GET	d.envolve.com	/046248BAEBFD33FF7385008ABE0A8BC0.cache.png	http://www.restaurocarta.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	804	200	OK	-	-	-	(empty)	-	-	-	-	-	FVaWxo1LOBxiOOLGE9	image/png
1337233705.504765	C6kTkI2B7Cut69oN6a	192.168.77.10	1051	8.19.34.206	80	1	GET	edge5rx2.envolve.com	/genping?iid=6l003TRS8f2yZq	http://www.restaurocarta.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	770	200	OK	-	-	-	(empty)	-	-	-	-	-	FvRXqY3ZdRP6RFH0c	text/html
1337233705.442465	Clcosy48u03XqYML87	192.168.77.10	1050	8.19.34.206	80	1	GET	d.envolve.com	/086DFF189B01226D1CD3751395ABD77C.cache.png	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	9113	200	OK	-	-	-	(empty)	-	-	-	-	-	FhsRze3Do2XQzxV1Jb	image/png
1337233705.889062	CQ2pgq1iE2g41MyRs5	192.168.77.10	1049	8.19.34.206	80	2	GET	d.envolve.com	/clear.cache.gif	http://www.restaurocarta.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	43	200	OK	-	-	-	(empty)	-	-	-	-	-	FPSzvt1sMXtoVBjLa5	image/gif
1337233705.9966	C6kTkI2B7Cut69oN6a	192.168.77.10	1051	8.19.34.206	80	2	GET	edge5rx2.envolve.com	/fromserver2?s=1774441976&a=6l003TRS8f2yZq	http://www.restaurocarta.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	496	200	OK	-	-	-	(empty)	-	-	-	-	-	Fashu43GNRdSGPZq7b	text/plain
1337233706.282654	CD6NRg3FQiFC7NNya2	192.168.77.10	1052	178.162.157.188	80	1	GET	178.162.157.188	/24842.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	54923	200	OK	-	-	-	(empty)	-	-	-	-	-	FYyVxO8O6naUukMnb	application/zip
1337233707.14898	CD6NRg3FQiFC7NNya2	192.168.77.10	1052	178.162.157.188	80	2	GET	178.162.157.188	/24842.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	54923	200	OK	-	-	-	(empty)	-	-	-	-	-	FFExrITFOCe4y5df	application/zip
1337233707.557683	CD6NRg3FQiFC7NNya2	192.168.77.10	1052	178.162.157.188	80	3	GET	178.162.157.188	/24842.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	54923	200	OK	-	-	-	(empty)	-	-	-	-	-	FSYnJ21LH1tya2V805	application/zip
1337233708.071757	CD6NRg3FQiFC7NNya2	192.168.77.10	1052	178.162.157.188	80	4	GET	178.162.157.188	/1.html	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	53760	200	OK	-	-	-	(empty)	-	-	-	-	-	FCBC652bG0MT1OX0I6	application/x-dosexec
1337233706.272311	C6kTkI2B7Cut69oN6a	192.168.77.10	1051	8.19.34.206	80	3	GET	edge5rx2.envolve.com	/fromserver2?s=1774441977&a=6l003TRS8f2yZq	http://www.restaurocarta.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	58	200	OK	-	-	-	(empty)	-	-	-	-	-	FiUJNq3eDKmS362J43	text/plain
1337233717.076873	C2JEf44bWkYuwamRMe	192.168.77.10	1053	178.162.157.186	80	1	GET	178.162.157.186	/502994.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	16896	200	OK	-	-	-	(empty)	-	-	-	-	-	FUWIXe2LINBCFrSsse	binary
1337233717.454745	C2JEf44bWkYuwamRMe	192.168.77.10	1053	178.162.157.186	80	2	GET	178.162.157.186	/502994.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	156672	200	OK	-	-	-	(empty)	-	-	-	-	-	FWdijR36wYW0GtfRV3	binary
1337233718.182532	C2JEf44bWkYuwamRMe	192.168.77.10	1053	178.162.157.186	80	3	GET	178.162.157.186	/502994.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	379392	200	OK	-	-	-	(empty)	-	-	-	-	-	Fnr9Lt4OC06YxQeBig	binary
1337233718.974529	C2JEf44bWkYuwamRMe	192.168.77.10	1053	178.162.157.186	80	4	GET	178.162.157.186	/502994.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	108544	200	OK	-	-	-	(empty)	-	-	-	-	-	Fbxf1w102iVPQ2dZM7	binary
1337233719.320105	C2JEf44bWkYuwamRMe	192.168.77.10	1053	178.162.157.186	80	5	GET	178.162.157.186	/502994.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	70112	200	OK	-	-	-	(empty)	-	-	-	-	-	FQya9j11KmoJEbnMCk	binary
1337233719.624336	C2JEf44bWkYuwamRMe	192.168.77.10	1053	178.162.157.186	80	6	GET	178.162.157.186	/502994.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	388674	200	OK	-	-	-	(empty)	-	-	-	-	-	FLviQy3WGEbvLh6h0l	binary
1337233720.452817	C2JEf44bWkYuwamRMe	192.168.77.10	1053	178.162.157.186	80	7	GET	178.162.157.186	/502994.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	666	200	OK	-	-	-	(empty)	-	-	-	-	-	F045jTq7EBWQWBiMk	binary
1337233731.941071	Cdlzlm1yvNwWAYNCL6	192.168.77.10	1057	208.91.207.10	80	1	GET	promos.fling.com	/geo/txt/city.php	-	-	0	28	200	OK	-	-	-	(empty)	-	-	-	-	-	FpQaJU30ioQenexoi7	text/plain
1337233732.011622	CSpenw2IPYm2TxbHW2	192.168.77.10	1058	209.208.79.128	80	1	GET	livecounter.co	/count.php?id=2910471849&c=1&d=7&s=0	-	Opera/9 (Windows NT 5.1; US; x86)	0	289	200	OK	-	-	-	(empty)	-	-	-	-	-	FxExB2VFRB5jan4Fg	image/gif
1337233732.080039	C9aKY61tOt6R9Shvh	192.168.77.10	1061	209.208.79.128	80	1	GET	livecounter.co	/count.php?id=2910471849&c=2&d=7&s=121	-	Opera/9 (Windows NT 5.1; US; x86)	0	401	200	OK	-	-	-	(empty)	-	-	-	-	-	FakLlqUWSVqyydjwa	image/gif
1337233732.080252	CgtZs539SKGex9ueMi	192.168.77.10	1063	209.208.79.128	80	1	GET	livecounter.co	/count.php?id=2910471849&c=3&d=7&s=130	-	Opera/9 (Windows NT 5.1; US; x86)	0	402	200	OK	-	-	-	(empty)	-	-	-	-	-	FZq7lLMX3cp9S9eGl	image/gif
1337233732.328954	C4c2I42s68s5c2W7rc	192.168.77.10	1065	209.208.79.128	80	1	GET	livecounter.co	/count.php?id=2910471849&c=4&d=7&s=131	-	Opera/9 (Windows NT 5.1; US; x86)	0	1506	200	OK	-	-	-	(empty)	-	-	-	-	-	FVva2c1UOdOG4TT6mh	image/gif
1337233731.426421	CZsJIH24FwWmgHr2nj	192.168.77.10	1055	220.164.140.246	80	1	GET	220.164.140.246	/api/urls/?ts=143ca1cf&affid=56300	220.164.140.246	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; GTB0.0; .NET CLR 1.1.4322)	0	0	404	NOT FOUND	-	-	-	(empty)	-	-	-	-	-	-	-
1337233732.348369	Cukae510oiU9z43fh6	192.168.77.10	1067	209.208.79.128	80	1	GET	livecounter.co	/count.php?id=2910471849&c=5&d=7&s=1	-	Opera/9 (Windows NT 5.1; US; x86)	0	1037	200	OK	-	-	-	(empty)	-	-	-	-	-	F3gPm34e61Y98AQMec	image/gif
1337233732.497364	CaZqv94T52iMjswLZi	192.168.77.10	1069	209.208.79.128	80	1	GET	livecounter.co	/count.php?id=2910471849&c=6&d=7&s=20	-	Opera/9 (Windows NT 5.1; US; x86)	0	465	200	OK	-	-	-	(empty)	-	-	-	-	-	Fh9q772Y9eq9n6Btz8	image/gif
1337233732.3169	CjeRhc4O3Fe8UmeFYc	192.168.77.10	1060	220.164.140.246	80	1	GET	220.164.140.246	/api/stats/install/?ts=143ca1cf&affid=56300&ver=3040003&group=sf	220.164.140.246	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; GTB0.0; .NET CLR 1.1.4322)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1337233713.627397	C6kTkI2B7Cut69oN6a	192.168.77.10	1051	8.19.34.206	80	4	GET	edge5rx2.envolve.com	/fromserver2?s=1774441978&a=6l003TRS8f2yZq	http://www.restaurocarta.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	-	-	-	-	-	(empty)	-	-	-	-	-	-	-
1337233735.528327	CbM9Ja2Xx7rLOKAdp	192.168.77.10	1073	209.208.79.128	80	1	GET	livecounter.co	/count.php?id=2910471849&c=7&d=7&s=21	-	Opera/9 (Windows NT 5.1; US; x86)	0	777	200	OK	-	-	-	(empty)	-	-	-	-	-	FvnPuI3THywaaI6ac6	image/gif
1337233735.52855	Cv7c5d3BefVwHNfzhg	192.168.77.10	1075	209.208.79.128	80	1	GET	livecounter.co	/count.php?id=2910471849&c=8&d=7&s=30	-	Opera/9 (Windows NT 5.1; US; x86)	0	1441	200	OK	-	-	-	(empty)	-	-	-	-	-	F2Blxi4biwdfSCJ0uc	image/gif
1337233735.545146	CzOVgpdQAoOxUy7C8	192.168.77.10	1077	209.208.79.128	80	1	GET	livecounter.co	/count.php?id=2910471849&c=9&d=7&s=31	-	Opera/9 (Windows NT 5.1; US; x86)	0	469	200	OK	-	-	-	(empty)	-	-	-	-	-	FDRa6f3ioWMcuOuRqf	image/gif
1337233723.175222	CKufKF4YOPgGJUSGh7	192.168.77.10	1054	115.119.33.159	80	1	GET	borutat.ru	/newm001.exe	-	-	0	0	-	-	-	-	-	(empty)	-	-	-	-	-	-	-
#close	2014-04-03-11-11-57
