#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-57-03
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1395458223.162681	CcU1U83VEzZhJy3SHd	192.168.3.10	1036	27.121.64.76	80	1	GET	imcstores.com	/	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	204	302	Found	-	-	-	(empty)	-	-	-	-	-	Fl87j039clH52N7at3	text/html
1395458225.713546	CRQMTM38NGeAvxPvbd	192.168.3.10	1040	195.66.79.27	80	2	GET	www.filessly.com	/images/layout1/ani.gif	http://www.filessly.com/fetch/Update/MS05MjEwMDAwLTEzOTU0NTgxMDctZmY2OWQ2NjM0MjJkMDExYjUwYjJhNDIzNzlmYTZlYzY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	19763	200	OK	-	-	-	(empty)	-	-	-	-	-	FwG79S1VOEMjOgYeB6	image/gif
1395458226.086164	CKUbVg3DAS3g6KwgKg	192.168.3.10	1043	176.121.11.24	80	1	GET	freemediastats.com	/getcounter/921000001/counter.gif	http://www.filessly.com/fetch/Update/MS05MjEwMDAwLTEzOTU0NTgxMDctZmY2OWQ2NjM0MjJkMDExYjUwYjJhNDIzNzlmYTZlYzY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	43	200	OK	-	-	-	(empty)	-	-	-	-	-	Ffz73s3gTR27dhffs7	image/gif
1395458226.038789	CAWv4G3vxzMZ7Qu1Il	192.168.3.10	1044	195.66.79.27	80	1	GET	www.filessly.com	/images/layout1/button_2.png	http://www.filessly.com/fetch/Update/MS05MjEwMDAwLTEzOTU0NTgxMDctZmY2OWQ2NjM0MjJkMDExYjUwYjJhNDIzNzlmYTZlYzY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	27363	200	OK	-	-	-	(empty)	-	-	-	-	-	FIAgoc34zeKueoPkMf	image/png
1395458226.087598	CrG3vw49J1ystj68zb	192.168.3.10	1045	176.121.11.24	80	1	GET	stat.freemediastats.com	/piwik.js	http://www.filessly.com/fetch/Update/MS05MjEwMDAwLTEzOTU0NTgxMDctZmY2OWQ2NjM0MjJkMDExYjUwYjJhNDIzNzlmYTZlYzY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	22866	200	OK	-	-	-	(empty)	-	-	-	-	-	F4cFhc4KTPFs8V00i4	text/plain
1395458225.84333	CE565G2CRWIU9GZmzj	192.168.3.10	1041	195.66.79.27	80	2	GET	www.filessly.com	/images/layout1/all_bg_2.3.jpg	http://www.filessly.com/fetch/Update/MS05MjEwMDAwLTEzOTU0NTgxMDctZmY2OWQ2NjM0MjJkMDExYjUwYjJhNDIzNzlmYTZlYzY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	153955	200	OK	-	-	-	(empty)	-	-	-	-	-	FoYa9q2CLL0vsxG0m4	image/jpeg
1395458226.66361	CrG3vw49J1ystj68zb	192.168.3.10	1045	176.121.11.24	80	2	GET	stat.freemediastats.com	/piwik.php?action_name=Update Downloader&idsite=1&rec=1&r=594672&h=2&m=15&s=2&url=http://www.filessly.com/fetch/Update/MS05MjEwMDAwLTEzOTU0NTgxMDctZmY2OWQ2NjM0MjJkMDExYjUwYjJhNDIzNzlmYTZlYzY&_id=779ad61c4b2c6651&_idts=1395472502&_idvc=1&_idn=1&_refts=0&_viewts=1395472502&res=800x600&cvar={"1":["user_sub_id","9210000"]}	http://www.filessly.com/fetch/Update/MS05MjEwMDAwLTEzOTU0NTgxMDctZmY2OWQ2NjM0MjJkMDExYjUwYjJhNDIzNzlmYTZlYzY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	43	200	OK	-	-	-	(empty)	-	-	-	-	-	FwqApRb40v2GCGEOj	image/gif
1395458226.720895	CZzTXi36vTrBc5KCVg	192.168.3.10	1039	195.66.79.27	80	3	GET	www.filessly.com	/getoxy/Update_Downloader_921000001.exe?st=3dpfKl5ybRtmfKbCGLPffQ&e=1395544507&fileid=ff69d663422d011b50b2a42379fa6ec6	http://www.filessly.com/fetch/Update/MS05MjEwMDAwLTEzOTU0NTgxMDctZmY2OWQ2NjM0MjJkMDExYjUwYjJhNDIzNzlmYTZlYzY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	63912	200	OK	-	-	-	(empty)	-	-	-	-	-	F3CD0e1sdFmzaCXQPg	application/x-dosexec
1395458227.211971	CnFTlm4QD8qlgKZvqg	192.168.3.10	1038	195.66.79.27	80	6	GET	www.filessly.com	/favicon.ico	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1406	200	OK	-	-	-	(empty)	-	-	-	-	-	Fdb3Ak16o2OadGWL8	image/x-icon
1395458236.28951	CRQMTM38NGeAvxPvbd	192.168.3.10	1040	195.66.79.27	80	3	GET	www.filessly.com	/getoxy/Update_Downloader_921000001.exe?st=3dpfKl5ybRtmfKbCGLPffQ&e=1395544507&fileid=ff69d663422d011b50b2a42379fa6ec6	http://www.filessly.com/fetch/Update/MS05MjEwMDAwLTEzOTU0NTgxMDctZmY2OWQ2NjM0MjJkMDExYjUwYjJhNDIzNzlmYTZlYzY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	20077	206	Partial Content	-	-	-	(empty)	-	-	-	-	-	FlDPlL1FgCb1qdGhxb	binary
#close	2014-04-03-10-57-03
