#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-08-02
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1327271225.761068	CtdNLV3z6gpReB8yW2	192.168.10.10	1030	207.58.150.187	80	1	GET	leftlanenews.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	293	302	Found	-	-	-	(empty)	-	-	-	-	-	FJs6OrhO9njFnADwb	text/html
1327271227.317709	CIRxKQ2fU6krVSt6pg	192.168.10.10	1039	92.241.191.182	80	1	GET	higolea.com	/changeip/eos2.php	http://higolea.com/preis.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	20602	200	OK	-	-	-	(empty)	-	-	-	-	-	FOZzF83ArlAaCc4ZFf	text/plain
1327271227.700968	Ccg7ru1I6AdVOZjide	192.168.10.10	1038	74.125.229.217	80	3	GET	partner.googleadservices.com	/gampad/google_service.js	http://www.leftlanenews.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	304	Not Modified	-	-	-	(empty)	-	-	-	-	-	-	-
1327271227.757187	Ccg7ru1I6AdVOZjide	192.168.10.10	1038	74.125.229.217	80	4	GET	partner.googleadservices.com	/gampad/google_service.js	http://www.leftlanenews.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	304	Not Modified	-	-	-	(empty)	-	-	-	-	-	-	-
1327271227.700692	CimJCu3E4KXnPSU2Gh	192.168.10.10	1034	92.241.191.182	80	3	GET	higolea.com	/images/header_bckg.gif	http://higolea.com/preis.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	474	200	OK	-	-	-	(empty)	-	-	-	-	-	FzwCB94AkP1W0neInj	image/gif
1327271227.705998	CIRxKQ2fU6krVSt6pg	192.168.10.10	1039	92.241.191.182	80	2	GET	higolea.com	/images/menu_enactive.gif	http://higolea.com/preis.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1127	200	OK	-	-	-	(empty)	-	-	-	-	-	FbBsy9Gpb984y3m4d	image/gif
1327271228.115066	CZCfN21XIoZJ4H5vfk	192.168.10.10	1042	72.21.81.253	80	1	GET	cache1.leftlanenews.com	/lln/si51/16px_icons.png	http://www.leftlanenews.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	12717	200	OK	-	-	-	(empty)	-	-	-	-	-	FD9qxF2v7v9Ck8dCBk	image/png
1327271228.11562	Cz1LRU36LhRlugSGIk	192.168.10.10	1043	72.21.81.253	80	1	GET	cache.leftlanenews.com	/lln/si5/grey.gif	http://www.leftlanenews.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	43	200	OK	-	-	-	(empty)	-	-	-	-	-	FxTXwL1sKXsQaZFJ71	image/gif
1327271228.173025	CZCfN21XIoZJ4H5vfk	192.168.10.10	1042	72.21.81.253	80	2	GET	cache1.leftlanenews.com	/lln/si51/LeftLane_logo.png	http://www.leftlanenews.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6794	200	OK	-	-	-	(empty)	-	-	-	-	-	FfZc5vQwQKxpncSy5	image/png
1327271228.173419	Cz1LRU36LhRlugSGIk	192.168.10.10	1043	72.21.81.253	80	2	GET	cache.leftlanenews.com	/lln/si5/top_social_icons.png	http://www.leftlanenews.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2701	200	OK	-	-	-	(empty)	-	-	-	-	-	FN2m2H3MWN20nSl4Ab	image/png
1327271228.177285	C07XsN3rwQcfWMMxc7	192.168.10.10	1044	72.21.81.253	80	1	GET	cache1.leftlanenews.com	/lln/si51/misc_images.png	http://www.leftlanenews.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	22632	200	OK	-	-	-	(empty)	-	-	-	-	-	FOidQm1jEW1m6Jw2li	image/png
1327271228.115995	CIRxKQ2fU6krVSt6pg	192.168.10.10	1039	92.241.191.182	80	3	GET	higolea.com	/images/footer_bckg.gif	http://higolea.com/preis.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	478	200	OK	-	-	-	(empty)	-	-	-	-	-	FL8jKnqYiGJNmPXpe	image/gif
1327271228.114685	Cd88Gm2AM5mKo9f0y2	192.168.10.10	1040	92.241.191.175	80	1	GET	brrkjlazizr.ddns.name	/index.php?showtopic=623388	http://higolea.com/preis.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	162	200	OK	-	-	-	(empty)	-	-	-	-	-	Faop9g30lbsJqnULc	text/html
1327271228.115345	CimJCu3E4KXnPSU2Gh	192.168.10.10	1034	92.241.191.182	80	4	GET	higolea.com	/images/head_bckg.jpg	http://higolea.com/preis.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	23890	200	OK	-	-	-	(empty)	-	-	-	-	-	Fh8l7Veeyfm0bc9F1	image/jpeg
1327271228.975209	Caonwb2rsUg0xSOKib	192.168.10.10	1045	184.25.172.74	80	1	GET	a.collective-media.net	/adj/lln.home.dfp/;section=home;prod=homepage;type=;body=;style=;mak=;mod=;yr=;dcove=d;sz=756X30;Dcopt=ist;tile=1;u=section_home|prod_homepage|type_|body_|style_|mak_|mod_|yr_|sz_756X30|Dcopt_ist;ord=1327271108?	http://www.leftlanenews.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	586	200	OK	-	-	-	(empty)	-	-	-	-	-	F5rFaB2uILqCT2W385	text/plain
1327271229.110537	CwWdit3EmcqiNUk79d	192.168.10.10	1047	174.36.18.192	80	1	GET	cdn.leftlanenews.com	/photos/content/bmw/thumbnails5.0/2012-bmw-1-series-m-coupe-63_145.jpg	http://www.leftlanenews.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	11264	200	OK	-	-	-	(empty)	-	-	-	-	-	FcheKN25kwKERq7TNl	image/jpeg
1327271229.110976	CJNiJ33FXSJXr2Ah75	192.168.10.10	1046	174.36.18.192	80	1	GET	cdn.leftlanenews.com	/photos/content/acura/thumbnails5.0/2012-acura-tl-9_145.jpg	http://www.leftlanenews.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	11225	200	OK	-	-	-	(empty)	-	-	-	-	-	FprgqLn6jBh14x414	image/jpeg
1327271229.199054	CwWdit3EmcqiNUk79d	192.168.10.10	1047	174.36.18.192	80	2	GET	cdn.leftlanenews.com	/photos/content/honda/thumbnails5.0/2011-honda-cr-z-22_145.jpg	http://www.leftlanenews.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	10034	200	OK	-	-	-	(empty)	-	-	-	-	-	FLMTnz2HyBx6cCzup1	image/jpeg
1327271229.20064	CJNiJ33FXSJXr2Ah75	192.168.10.10	1046	174.36.18.192	80	2	GET	cdn.leftlanenews.com	/photos/content/noble/thumbnails5.0/2011-noble-m600-1_145.jpg	http://www.leftlanenews.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6751	200	OK	-	-	-	(empty)	-	-	-	-	-	F3PUbmcrvQciyvTP8	image/jpeg
1327271229.260101	CJNiJ33FXSJXr2Ah75	192.168.10.10	1046	174.36.18.192	80	3	GET	cdn.leftlanenews.com	/photos/content/lincoln/thumbnails5.0/lincoln-mkt-1_145.jpg	http://www.leftlanenews.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6836	200	OK	-	-	-	(empty)	-	-	-	-	-	Fz3iyv1v0fo1a8lnRg	image/jpeg
1327271229.260506	Caonwb2rsUg0xSOKib	192.168.10.10	1045	184.25.172.74	80	2	GET	a.collective-media.net	/cmadj/lln.home.dfp/;section=home;prod=homepage;type=;body=;style=;mak=;mod=;yr=;dcove=d;sz=756X30;Dcopt=ist;tile=1;u=section_home|prod_homepage|type_|body_|style_|mak_|mod_|yr_|sz_756X30|Dcopt_ist;net=lln;ord=1327271108;ord1=257227;cmpgurl=http%3A//www.leftlanenews.com/?	http://www.leftlanenews.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1327271229.254202	CwWdit3EmcqiNUk79d	192.168.10.10	1047	174.36.18.192	80	3	GET	cdn.leftlanenews.com	/photos/content/cadillac/thumbnails5.0/2010-cadillac-cts-2_145.jpg	http://www.leftlanenews.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	9692	200	OK	-	-	-	(empty)	-	-	-	-	-	FdwewW1XKZKyLRc7fh	image/jpeg
1327271229.42617	CMhtnv130s8o5UHOaa	192.168.10.10	1052	69.31.132.81	80	1	GET	ak1.abmr.net	/is/a.collective-media.net?U=/cmadj/lln.home.dfp/;section=home;prod=homepage;type=;body=;style=;mak=;mod=;yr=;dcove=d;sz=756X30;Dcopt=ist;tile=1;u=section_home|prod_homepage|type_|body_|style_|mak_|mod_|yr_|sz_756X30|Dcopt_ist;net=lln;ord=1327271108;ord1=257227;cmpgurl=http%253A/www.leftlanenews.com/&V=3-mvGrOgepolA1dvaOy272s3J7dCeyeSpQ6UXIBDO4WdhHovUGW8LxyEclnCvAnbea&I=70F165D7D2FD624&D=collective-media.net&01AD=1&01UE=1&	http://www.leftlanenews.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1327271229.429665	Caonwb2rsUg0xSOKib	192.168.10.10	1045	184.25.172.74	80	3	GET	a.collective-media.net	/cmadj/lln.home.dfp/;section=home;prod=homepage;type=;body=;style=;mak=;mod=;yr=;dcove=d;sz=756X30;Dcopt=ist;tile=1;u=section_home|prod_homepage|type_|body_|style_|mak_|mod_|yr_|sz_756X30|Dcopt_ist;net=lln;ord=1327271108;ord1=257227;cmpgurl=http%3A/www.leftlanenews.com/?01AD=3wTh1VbCvVmydMEv3_3fpF07yI5XvnS6Le3jsbFuidUHegGoiJCV1NA&01RI=70F165D7D2FD624&01NA=na	http://www.leftlanenews.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2667	200	OK	-	-	-	(empty)	-	-	-	-	-	FlpHxe36Zqk9Rr3Fj2	text/plain
1327271229.597261	C0LuHh4DkhUkyafsKh	192.168.10.10	1054	64.208.138.218	80	1	GET	ib.adnxs.com	/mapuid?member=311&user=1252b47be405ee6&seg_code=noseg&ord=1327271112	http://www.leftlanenews.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	43	200	OK	-	-	-	(empty)	-	-	-	-	-	FuzsPk4CHw0A9Lq9wd	image/gif
1327271230.325831	Cd836p4y9vP7m3sVn	192.168.10.10	1055	92.241.191.175	80	1	GET	brrkjlazizr.ddns.name	/csas.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	6825	200	OK	-	-	-	(empty)	-	-	-	-	-	F7BVgk26hTJsEZAfm5	application/jar
1327271231.57256	CVlW941dLBPbSq2UE2	192.168.10.10	1056	92.241.191.175	80	1	GET	brrkjlazizr.ddns.name	/com.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	294	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FU9hc1oB2SFKldz6i	text/html
1327271231.73424	CVlW941dLBPbSq2UE2	192.168.10.10	1056	92.241.191.175	80	2	GET	brrkjlazizr.ddns.name	/edu.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	294	404	Not Found	-	-	-	(empty)	-	-	-	-	-	F4sTzR2e9XV9uWpiqj	text/html
1327271231.894255	CVlW941dLBPbSq2UE2	192.168.10.10	1056	92.241.191.175	80	3	GET	brrkjlazizr.ddns.name	/net.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	294	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FB5i8u2nf1dlIwrIlg	text/html
1327271232.053464	CVlW941dLBPbSq2UE2	192.168.10.10	1056	92.241.191.175	80	4	GET	brrkjlazizr.ddns.name	/org.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	294	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FGd4lP3rSbjjPrlXnc	text/html
1327271232.459598	CkOPbBUSkLNWhp3ag	192.168.10.10	1057	92.241.191.175	80	1	GET	92.241.191.175	/load.php?showforum=rhino	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	128170	200	OK	-	-	-	(empty)	-	-	-	-	-	Fng9F64KhT5HFFnBN4	application/x-dosexec
#close	2014-04-03-11-08-03
