#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-09-58-19
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1343042186.662026	CLYj9R2xGzvQlgUa71	192.168.15.10	1044	89.108.68.94	80	9	GET	iljewscky.h19.ru	/farmspace/load.php?file=7	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	776	200	OK	-	-	-	(empty)	-	-	-	-	-	FMy5lELPOIvVNxbPa	text/html
1343042186.853907	CLYj9R2xGzvQlgUa71	192.168.15.10	1044	89.108.68.94	80	10	GET	iljewscky.h19.ru	/farmspace/load.php?file=8	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	776	200	OK	-	-	-	(empty)	-	-	-	-	-	FtPiNx1o9wLuQXFsJi	text/html
1343042187.045467	CLYj9R2xGzvQlgUa71	192.168.15.10	1044	89.108.68.94	80	11	GET	iljewscky.h19.ru	/farmspace/load.php?file=9	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	776	200	OK	-	-	-	(empty)	-	-	-	-	-	FFSuWq3CVIrQnk3lh1	text/html
1343042187.394998	CErf9OPK2mbAhzCO6	192.168.15.10	1112	89.108.68.94	80	1	GET	iljewscky.h19.ru	/farmspace/load.php?file=grabbers	-	Our_Agent	0	398346	200	OK	-	-	-	(empty)	-	-	-	-	-	F1VtAL2EcZHY71T9L3	binary
1343042191.569366	CLYj9R2xGzvQlgUa71	192.168.15.10	1044	89.108.68.94	80	12	POST	iljewscky.h19.ru	/farmspace/grabbers.php	-	Internet Explorer	21	776	200	OK	-	-	-	(empty)	-	-	-	FWHBhbG6Wfpcnrsnj	text/plain	FDXE8rTCefwun1bG8	text/html
1343042191.760563	CErf9OPK2mbAhzCO6	192.168.15.10	1112	89.108.68.94	80	2	GET	iljewscky.h19.ru	/farmspace/load.php?file=sniffers	-	Our_Agent	0	943	200	OK	-	-	-	(empty)	-	-	-	-	-	FM2BdE1zyZuYRaaq2e	text/html
1343042200.136302	C2CmsIWX3787LfCjj	192.168.15.10	1031	89.248.172.19	80	11	GET	boostdeeming.org	/w.php?f=47bca&e=4	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	48640	200	OK	-	-	-	(empty)	-	-	-	-	-	Ff2z2Q1GU2aOQ3Aphf	application/x-dosexec
1343042201.879223	C2CmsIWX3787LfCjj	192.168.15.10	1031	89.248.172.19	80	12	GET	boostdeeming.org	/w.php?f=5a20e&e=4	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4608	200	OK	-	-	-	(empty)	-	-	-	-	-	FVFTTu46KvWEaKoHU6	application/x-dosexec
1343042202.128357	C2CmsIWX3787LfCjj	192.168.15.10	1031	89.248.172.19	80	13	GET	boostdeeming.org	/w.php?f=cf234&e=4	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	34304	200	OK	-	-	-	(empty)	-	-	-	-	-	FZohJ34H2SB4WaE2Af	application/x-dosexec
1343042206.378631	CDV3aWnycfMjlQyF1	192.168.15.10	1599	89.108.68.94	80	1	GET	iljewscky.h19.ru	/farmspace/load.php?file=0	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	127058	200	OK	-	-	-	(empty)	-	-	-	-	-	FCQ7x93b73DHgjSFp9	application/x-dosexec
1343042208.110958	CDV3aWnycfMjlQyF1	192.168.15.10	1599	89.108.68.94	80	2	GET	iljewscky.h19.ru	/farmspace/load.php?file=0&luck=1	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	776	200	OK	-	-	-	(empty)	-	-	-	-	-	FFhZNT3P0tk1BzDtL9	text/html
1343042208.302729	CDV3aWnycfMjlQyF1	192.168.15.10	1599	89.108.68.94	80	3	GET	iljewscky.h19.ru	/farmspace/load.php?file=1	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	776	200	OK	-	-	-	(empty)	-	-	-	-	-	F2T8ib4lDJuDSaXsR3	text/html
1343042208.535023	CDV3aWnycfMjlQyF1	192.168.15.10	1599	89.108.68.94	80	4	GET	iljewscky.h19.ru	/farmspace/load.php?file=2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	776	200	OK	-	-	-	(empty)	-	-	-	-	-	FnD0o02xOevBd34xQ2	text/html
1343042208.747379	CDV3aWnycfMjlQyF1	192.168.15.10	1599	89.108.68.94	80	5	GET	iljewscky.h19.ru	/farmspace/load.php?file=3	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	776	200	OK	-	-	-	(empty)	-	-	-	-	-	FOIM9T2NxrS5l1c3of	text/html
1343042208.943177	CDV3aWnycfMjlQyF1	192.168.15.10	1599	89.108.68.94	80	6	GET	iljewscky.h19.ru	/farmspace/load.php?file=4	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	776	200	OK	-	-	-	(empty)	-	-	-	-	-	FOZKRG3KrOMBLTg5Fi	text/html
1343042209.137091	CDV3aWnycfMjlQyF1	192.168.15.10	1599	89.108.68.94	80	7	GET	iljewscky.h19.ru	/farmspace/load.php?file=5	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	776	200	OK	-	-	-	(empty)	-	-	-	-	-	FMMNnC4H7f6NH9CK82	text/html
1343042209.327259	CDV3aWnycfMjlQyF1	192.168.15.10	1599	89.108.68.94	80	8	GET	iljewscky.h19.ru	/farmspace/load.php?file=6	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	776	200	OK	-	-	-	(empty)	-	-	-	-	-	FnOpOn3boe77dRVX1c	text/html
1343042209.519341	CDV3aWnycfMjlQyF1	192.168.15.10	1599	89.108.68.94	80	9	GET	iljewscky.h19.ru	/farmspace/load.php?file=7	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	776	200	OK	-	-	-	(empty)	-	-	-	-	-	Fr66oaFOFGs844fE5	text/html
1343042209.708508	CDV3aWnycfMjlQyF1	192.168.15.10	1599	89.108.68.94	80	10	GET	iljewscky.h19.ru	/farmspace/load.php?file=8	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	776	200	OK	-	-	-	(empty)	-	-	-	-	-	FxlVxk3siNSvLrcANi	text/html
1343042209.897912	CDV3aWnycfMjlQyF1	192.168.15.10	1599	89.108.68.94	80	11	GET	iljewscky.h19.ru	/farmspace/load.php?file=9	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	776	200	OK	-	-	-	(empty)	-	-	-	-	-	FvUB4H1UhyxJ7xMwLe	text/html
#close	2014-04-03-09-58-21
