#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-15-41
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1318657014.898419	CUpLxX1ZXuywydDpJ1	192.168.34.10	1030	69.89.31.215	80	1	GET	absbodybuilding.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	-	-
1318657019.267854	C1HojU1J5bzn4qirae	192.168.34.10	1032	69.89.31.215	80	12	GET	www.absbodybuilding.com	/wp-content/themes/headlines_enhanced/custom.css	http://www.absbodybuilding.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	247	200	OK	-	-	-	(empty)	-	-	-	-	-	FmCJG4PCR5qsCsNR3	text/plain
1318657019.429816	C2ExoX20frJpcAeBk9	192.168.34.10	1039	74.125.157.95	80	1	GET	fonts.googleapis.com	/css?family=Yanone+Kaffeesatz:r,b	http://www.absbodybuilding.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	444	200	OK	-	-	-	(empty)	-	-	-	-	-	FvaoxfJ3UCysHzG17	text/plain
1318657019.566239	CI8uw74b7J37CuZ5ud	192.168.34.10	1040	74.125.47.132	80	1	GET	themes.googleusercontent.com	/static/fonts/yanonekaffeesatz/v1/YDAoLskQQ5MOAgvHUQCcLbcQawGFB1zaa2VYh64hVv8.eot	http://www.absbodybuilding.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	87124	200	OK	-	-	-	(empty)	-	-	-	-	-	F2KwkH2nZyBoszW7Qa	application/vnd.ms-fontobject
1318657019.565687	C1HojU1J5bzn4qirae	192.168.34.10	1032	69.89.31.215	80	13	GET	www.absbodybuilding.com	/wp-content/themes/headlines_enhanced/images/ico-search.png	http://www.absbodybuilding.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	813	200	OK	-	-	-	(empty)	-	-	-	-	-	F3VBvMDSgZyQoifYa	image/png
1318657019.537933	CuM4nO2kaUotLz3UHj	192.168.34.10	1031	69.89.31.215	80	12	GET	www.absbodybuilding.com	/wp-content/uploads/2011/03/bodybuilding-tips-468x60.jpg	http://www.absbodybuilding.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	29635	200	OK	-	-	-	(empty)	-	-	-	-	-	FoXsjF2KwtR7HvIzcl	image/jpeg
1318657019.77588	CuM4nO2kaUotLz3UHj	192.168.34.10	1031	69.89.31.215	80	13	GET	www.absbodybuilding.com	/wp-content/themes/headlines_enhanced/styles/blueline/bg-top.jpg	http://www.absbodybuilding.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	458	200	OK	-	-	-	(empty)	-	-	-	-	-	FKdLPg1fnfTOG3rzy7	image/jpeg
1318657019.763652	C1HojU1J5bzn4qirae	192.168.34.10	1032	69.89.31.215	80	14	GET	www.absbodybuilding.com	/wp-content/plugins/slideshow/js/nivo-slider.js?ver=5789	http://www.absbodybuilding.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7099	200	OK	-	-	-	(empty)	-	-	-	-	-	FWURFy1g1otvMuHFh	text/plain
1318657020.007284	CuM4nO2kaUotLz3UHj	192.168.34.10	1031	69.89.31.215	80	14	GET	www.absbodybuilding.com	/wp-content/plugins/slideshow/layouts/slider/default/style.css?ver=5789	http://www.absbodybuilding.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1109	200	OK	-	-	-	(empty)	-	-	-	-	-	FcKkbM1b46QzdNZBg1	text/plain
1318657020.387499	CuM4nO2kaUotLz3UHj	192.168.34.10	1031	69.89.31.215	80	15	GET	www.absbodybuilding.com	/wp-content/uploads/2011/04/mindmusclelead.jpg	http://www.absbodybuilding.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	24909	200	OK	-	-	-	(empty)	-	-	-	-	-	FH36lA1d0cHRfKP8fi	image/jpeg
1318657020.568371	CuM4nO2kaUotLz3UHj	192.168.34.10	1031	69.89.31.215	80	16	GET	www.absbodybuilding.com	/wp-content/uploads/2011/04/quicksixtips.png	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	232758	200	OK	-	-	-	(empty)	-	-	-	-	-	FA3Nsb1sS1sxuJdfH6	image/png
1318657019.205139	Clrd0t1pMoFFLyRnN3	192.168.34.10	1038	91.228.132.56	80	1	GET	s02.net.tc	/2jzgte.php	http://www.absbodybuilding.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	95661	200	OK	-	-	-	(empty)	-	-	-	-	-	FZBqms4tmwT7o9lw3b	text/html
1318657020.372631	C1HojU1J5bzn4qirae	192.168.34.10	1032	69.89.31.215	80	15	GET	www.absbodybuilding.com	/wp-content/uploads/2011/03/bodybuilding-featured-image-11.jpg	http://www.absbodybuilding.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	131073	200	OK	-	-	-	(empty)	-	-	-	-	-	FzyRlT1sf5dxc7yIH8	image/jpeg
1318657021.045726	CuM4nO2kaUotLz3UHj	192.168.34.10	1031	69.89.31.215	80	17	GET	www.absbodybuilding.com	/wp-content/uploads/2011/04/quicksixtips.png	http://www.absbodybuilding.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	232758	200	OK	-	-	-	(empty)	-	-	-	-	-	Fx526JRepyvdfj7vk	image/png
1318657021.619301	CuM4nO2kaUotLz3UHj	192.168.34.10	1031	69.89.31.215	80	18	GET	www.absbodybuilding.com	/wp-content/uploads/2011/04/abspic2.jpg	http://www.absbodybuilding.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	38558	200	OK	-	-	-	(empty)	-	-	-	-	-	Fqr5O227cSj0zcUKR3	image/jpeg
1318657021.72323	CuM4nO2kaUotLz3UHj	192.168.34.10	1031	69.89.31.215	80	19	GET	www.absbodybuilding.com	/wp-content/uploads/2011/04/4.jpg	http://www.absbodybuilding.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	21131	200	OK	-	-	-	(empty)	-	-	-	-	-	FYB75i4XiNBMGly02k	image/jpeg
1318657021.90908	CuM4nO2kaUotLz3UHj	192.168.34.10	1031	69.89.31.215	80	20	GET	www.absbodybuilding.com	/wp-content/uploads/2011/04/3-600x300.jpg	http://www.absbodybuilding.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	42673	200	OK	-	-	-	(empty)	-	-	-	-	-	F0pqtG3gD42vl6iO9d	image/jpeg
1318657022.016797	CuM4nO2kaUotLz3UHj	192.168.34.10	1031	69.89.31.215	80	21	GET	www.absbodybuilding.com	/wp-content/themes/headlines_enhanced/thumb.php?src=wp-content/uploads/2011/03/bodybuilding-training-5.jpg&w=150&h=150&zc=1&q=90	http://www.absbodybuilding.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5679	200	OK	-	-	-	(empty)	-	-	-	-	-	Fy0tn62I33n4klmQVd	image/jpeg
1318657021.618974	C1HojU1J5bzn4qirae	192.168.34.10	1032	69.89.31.215	80	16	GET	www.absbodybuilding.com	/wp-content/uploads/2011/03/bodybuilding-featured-image-21.jpg	http://www.absbodybuilding.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	97749	200	OK	-	-	-	(empty)	-	-	-	-	-	FS1Y5kE34WJLD3L02	image/jpeg
1318657022.193135	C1HojU1J5bzn4qirae	192.168.34.10	1032	69.89.31.215	80	17	GET	www.absbodybuilding.com	/wp-content/themes/headlines_enhanced/thumb.php?src=wp-content/uploads/2011/02/encyclopedia-of-bodybuilding-150x150.png&w=150&h=150&zc=1&q=90	http://www.absbodybuilding.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	44655	200	OK	-	-	-	(empty)	-	-	-	-	-	FRmH3H2xy0dZNbC11d	image/png
1318657022.52195	C1HojU1J5bzn4qirae	192.168.34.10	1032	69.89.31.215	80	18	GET	www.absbodybuilding.com	/wp-content/themes/headlines_enhanced/thumb.php?src=wp-content/uploads/2011/02/bodybuilding-program-150x150.jpg&w=150&h=150&zc=1&q=90	http://www.absbodybuilding.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6924	200	OK	-	-	-	(empty)	-	-	-	-	-	F4ttj42UAhcvcOToy2	image/jpeg
1318657022.14377	CuM4nO2kaUotLz3UHj	192.168.34.10	1031	69.89.31.215	80	22	GET	www.absbodybuilding.com	/wp-content/themes/headlines_enhanced/thumb.php?src=wp-content/uploads/2011/02/bodybuilding-tips-150x150.jpg&w=150&h=150&zc=1&q=90	http://www.absbodybuilding.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	8907	200	OK	-	-	-	(empty)	-	-	-	-	-	Fq2YCa30WvUuODU8W3	image/jpeg
1318657024.843737	CuM4nO2kaUotLz3UHj	192.168.34.10	1031	69.89.31.215	80	23	GET	www.absbodybuilding.com	/wp-content/themes/headlines_enhanced/thumb.php?src=wp-content/uploads/2011/06/turbulencetraining-150x150.jpg&w=150&h=150&zc=1&q=90	http://www.absbodybuilding.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7789	200	OK	-	-	-	(empty)	-	-	-	-	-	FRryzzEGgBDeMJctk	image/jpeg
1318657026.394731	CuM4nO2kaUotLz3UHj	192.168.34.10	1031	69.89.31.215	80	24	GET	www.absbodybuilding.com	/wp-content/themes/headlines_enhanced/thumb.php?src=wp-content/uploads/2011/06/master-cleanse-150x150.jpg&w=150&h=150&zc=1&q=90	http://www.absbodybuilding.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	9073	200	OK	-	-	-	(empty)	-	-	-	-	-	Fc8ZbFhHplUIGsqh8	image/jpeg
1318657023.59458	C1HojU1J5bzn4qirae	192.168.34.10	1032	69.89.31.215	80	19	GET	www.absbodybuilding.com	/wp-content/themes/headlines_enhanced/thumb.php?src=wp-content/uploads/2011/02/Bodybuilding-Supplements-150x150.jpg&w=150&h=150&zc=1&q=90	http://www.absbodybuilding.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7663	200	OK	-	-	-	(empty)	-	-	-	-	-	Fb7Mj22rtug7EglTza	image/jpeg
1318657027.485786	CuM4nO2kaUotLz3UHj	192.168.34.10	1031	69.89.31.215	80	25	GET	www.absbodybuilding.com	/wp-content/themes/headlines_enhanced/thumb.php?src=wp-content/uploads/2011/06/extreme-fat-loss-150x150.jpg&w=150&h=150&zc=1&q=90	http://www.absbodybuilding.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	10745	200	OK	-	-	-	(empty)	-	-	-	-	-	FB9BTK1nQ89leBjnwc	image/jpeg
1318657028.111013	CuM4nO2kaUotLz3UHj	192.168.34.10	1031	69.89.31.215	80	26	GET	www.absbodybuilding.com	/wp-content/themes/headlines_enhanced/thumb.php?src=wp-content/uploads/2011/06/anaboliccooking-150x150.jpg&w=150&h=150&zc=1&q=90	http://www.absbodybuilding.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	12573	200	OK	-	-	-	(empty)	-	-	-	-	-	FJhTFY2htd6XtWhwq5	image/jpeg
1318657028.861594	CuM4nO2kaUotLz3UHj	192.168.34.10	1031	69.89.31.215	80	27	GET	www.absbodybuilding.com	/wp-content/themes/headlines_enhanced/thumb.php?src=wp-content/uploads/2011/06/truthaboutabs-150x150.jpg&w=150&h=150&zc=1&q=90	http://www.absbodybuilding.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	10866	200	OK	-	-	-	(empty)	-	-	-	-	-	FziZmR3AtlJb40iv48	image/jpeg
1318657029.658545	CuM4nO2kaUotLz3UHj	192.168.34.10	1031	69.89.31.215	80	28	GET	www.absbodybuilding.com	/wp-content/themes/headlines_enhanced/thumb.php?src=wp-content/uploads/2011/06/xino.php_-150x150.jpg&w=150&h=150&zc=1&q=90	http://www.absbodybuilding.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	12725	200	OK	-	-	-	(empty)	-	-	-	-	-	FoM0Bu4G16SoXT5lKj	image/jpeg
1318657029.845709	CuM4nO2kaUotLz3UHj	192.168.34.10	1031	69.89.31.215	80	29	GET	www.absbodybuilding.com	/wp-content/uploads/2011/03/visual-impact-300x250-2.jpg	http://www.absbodybuilding.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	13890	200	OK	-	-	-	(empty)	-	-	-	-	-	FF7NAd24YgOlpG0NUh	image/jpeg
1318657030.132049	CuM4nO2kaUotLz3UHj	192.168.34.10	1031	69.89.31.215	80	30	GET	www.absbodybuilding.com	/wp-content/uploads/2011/03/tacfit-commando-125x125.jpg	http://www.absbodybuilding.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5670	200	OK	-	-	-	(empty)	-	-	-	-	-	FMQw7K1sN6AfGCQ6ge	image/jpeg
1318657030.315761	CuM4nO2kaUotLz3UHj	192.168.34.10	1031	69.89.31.215	80	31	GET	www.absbodybuilding.com	/wp-content/uploads/2011/03/visual-impact-125x125.jpg	http://www.absbodybuilding.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5364	200	OK	-	-	-	(empty)	-	-	-	-	-	FThIl24w0LnErq4tnh	image/jpeg
1318657027.707069	C1HojU1J5bzn4qirae	192.168.34.10	1032	69.89.31.215	80	20	GET	www.absbodybuilding.com	/wp-content/themes/headlines_enhanced/thumb.php?src=wp-content/uploads/2011/06/fat-loss-diet-150x150.jpg&w=150&h=150&zc=1&q=90	http://www.absbodybuilding.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7949	200	OK	-	-	-	(empty)	-	-	-	-	-	FGgBU24KRaRCjg1T33	image/jpeg
1318657030.483981	ClYCP84QUmLjlQWYzd	192.168.34.10	1042	69.89.31.215	80	1	GET	www.absbodybuilding.com	/wp-content/uploads/2011/03/visual-impact-300x250-1.jpg	http://www.absbodybuilding.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	14578	200	OK	-	-	-	(empty)	-	-	-	-	-	Fk2Ho74lPYZcTU8Td1	image/jpeg
1318657030.72626	ClYCP84QUmLjlQWYzd	192.168.34.10	1042	69.89.31.215	80	2	GET	www.absbodybuilding.com	/wp-content/plugins/wp-cumulus/swfobject.js	http://www.absbodybuilding.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6088	200	OK	-	-	-	(empty)	-	-	-	-	-	FZl9KS2Z4MBb8pnyX2	text/plain
1318657030.777206	CS78emJt2xLRUlb7j	192.168.34.10	1043	69.89.31.215	80	1	GET	www.absbodybuilding.com	/wp-content/plugins/ReviewAZON/images/information.gif	http://www.absbodybuilding.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	624	200	OK	-	-	-	(empty)	-	-	-	-	-	FSJakEZV7KTQikQha	image/gif
1318657030.833295	ClYCP84QUmLjlQWYzd	192.168.34.10	1042	69.89.31.215	80	3	GET	www.absbodybuilding.com	/wp-content/themes/headlines_enhanced/images/ico-bullet.png	http://www.absbodybuilding.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	160	200	OK	-	-	-	(empty)	-	-	-	-	-	F4Zdd32Az43tl15GKk	image/png
1318657042.207973	C5ERVijeVSqYBpNz9	192.168.34.10	1041	91.228.132.56	80	1	GET	s02.net.tc	/content/field.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	5556	200	OK	-	-	-	(empty)	-	-	-	-	-	FC5rq2f5LkEaJQvsk	application/zip
1318657042.994139	CkjJlw1m7rXO8tkk24	192.168.34.10	1047	69.89.31.215	80	1	GET	www.absbodybuilding.com	/wp-content/plugins/wp-cumulus/tagcloud.swf?r=4613134	http://www.absbodybuilding.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	34610	200	OK	-	-	-	(empty)	-	-	-	-	-	FeKsRvR7R9plvLurk	application/x-shockwave-flash
1318657042.994493	Cno4LY2TRPuvT4yIPb	192.168.34.10	1048	69.89.31.215	80	1	GET	www.absbodybuilding.com	/wp-content/plugins/contact-form-7/jquery.form.js?ver=2.52	http://www.absbodybuilding.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	24152	200	OK	-	-	-	(empty)	-	-	-	-	-	FmHAaC0PLF9yJZKOb	text/plain
1318657043.039074	Clrd0t1pMoFFLyRnN3	192.168.34.10	1038	91.228.132.56	80	2	GET	s02.net.tc	/w.php?f=26&e=4	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	466944	200	OK	-	-	-	(empty)	-	-	-	-	-	FIvsWRfsvuKq0hm7f	application/x-dosexec
