#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-15-49
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1357682629.880593	CmImKo3VeFjx2PUUCk	192.168.105.10	1030	72.29.74.235	80	1	GET	urbangrafic.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	42047	200	OK	-	-	-	(empty)	-	-	-	-	-	F7FYA81bmEfDYl8GY2	text/html
1357682631.041547	CAHHS2q3lniCHAFr7	192.168.105.10	1033	72.21.91.87	80	6	GET	s-ff0102-5064b0975b15f26c4e00a181-0.yottaa.net	/5064b0975b15f26c4e00a181/www.goldencomm.com/v~14/images/icon-company-main.png	http://urbangrafic.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	24757	200	OK	-	-	-	(empty)	-	-	-	-	-	Fo6Y5CxXRFWR0dPD3	image/png
1357682630.970144	CYAIlE2yNpBfdIK1u8	192.168.105.10	1034	72.21.91.87	80	4	GET	s-ff0102-5064b0975b15f26c4e00a181-0.yottaa.net	/5064b0975b15f26c4e00a181/www.goldencomm.com/v~14/images/banners2011/home-banner-networking-solutions.jpg	http://urbangrafic.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	60201	200	OK	-	-	-	(empty)	-	-	-	-	-	FC8ZhIk8Pl52Nvm5	image/jpeg
1357682631.042125	CN4ABD25mrwmm5PbQg	192.168.105.10	1037	173.194.74.138	80	1	GET	www.google-analytics.com	/ga.js	http://urbangrafic.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	37362	200	OK	-	-	-	(empty)	-	-	-	-	-	FhB9y711CVIlI6HRhd	text/plain
1357682631.093361	CAHHS2q3lniCHAFr7	192.168.105.10	1033	72.21.91.87	80	7	GET	s-ff0102-5064b0975b15f26c4e00a181-0.yottaa.net	/5064b0975b15f26c4e00a181/www.goldencomm.com/v~14/images/icon-addwords-main.png	http://urbangrafic.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	20940	200	OK	-	-	-	(empty)	-	-	-	-	-	Fp6UEQmbQrecTshGb	image/png
1357682631.118811	CAHHS2q3lniCHAFr7	192.168.105.10	1033	72.21.91.87	80	8	GET	s-ff0102-5064b0975b15f26c4e00a181-0.yottaa.net	/5064b0975b15f26c4e00a181/www.goldencomm.com/v~14/images/icon-twitter.png	http://urbangrafic.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7593	200	OK	-	-	-	(empty)	-	-	-	-	-	FOYCYymJAcu8UtNg	image/png
1357682631.146993	CAHHS2q3lniCHAFr7	192.168.105.10	1033	72.21.91.87	80	9	GET	s-ff0102-5064b0975b15f26c4e00a181-0.yottaa.net	/5064b0975b15f26c4e00a181/www.goldencomm.com/v~14/images/bg-footer-striped.png	http://urbangrafic.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	375	200	OK	-	-	-	(empty)	-	-	-	-	-	FRXTMZ1ZHBoe3PTgJb	image/png
1357682630.954428	CgKaj01cyHpfVc4no7	192.168.105.10	1036	107.23.45.146	80	1	GET	www.goldencomm.com	/liveperson/repoffline.gif?d=1357682513722	http://urbangrafic.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	81	200	OK	-	-	-	(empty)	-	-	-	-	-	FkWyLF1DqIy0RYFizg	image/gif
1357682631.099671	CYAIlE2yNpBfdIK1u8	192.168.105.10	1034	72.21.91.87	80	5	GET	s-ff0102-5064b0975b15f26c4e00a181-0.yottaa.net	/5064b0975b15f26c4e00a181/www.goldencomm.com/v~14/images/got-scrap-alliance-partner.jpg	http://urbangrafic.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	50560	200	OK	-	-	-	(empty)	-	-	-	-	-	FAPkOl3a9DFrZIFifd	image/jpeg
1357682631.17967	CAHHS2q3lniCHAFr7	192.168.105.10	1033	72.21.91.87	80	10	GET	s-ff0102-5064b0975b15f26c4e00a181-0.yottaa.net	/5064b0975b15f26c4e00a181/www.goldencomm.com/v~14/images/bg-white.png	http://urbangrafic.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	188	200	OK	-	-	-	(empty)	-	-	-	-	-	Fuzf561nP5lh2f8SM5	image/png
1357682631.199763	CYAIlE2yNpBfdIK1u8	192.168.105.10	1034	72.21.91.87	80	6	GET	s-ff0102-5064b0975b15f26c4e00a181-0.yottaa.net	/5064b0975b15f26c4e00a181/www.goldencomm.com/v~14/images/bg-globalnav.png	http://urbangrafic.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	249	200	OK	-	-	-	(empty)	-	-	-	-	-	Fuj0I04uUcZABh0tih	image/png
1357682631.228379	CYAIlE2yNpBfdIK1u8	192.168.105.10	1034	72.21.91.87	80	7	GET	s-ff0102-5064b0975b15f26c4e00a181-0.yottaa.net	/5064b0975b15f26c4e00a181/www.goldencomm.com/v~14/images/icon-launchpad.png	http://urbangrafic.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1215	200	OK	-	-	-	(empty)	-	-	-	-	-	FrhJe040L4GMW0S22	image/png
1357682631.261438	CYAIlE2yNpBfdIK1u8	192.168.105.10	1034	72.21.91.87	80	8	GET	s-ff0102-5064b0975b15f26c4e00a181-0.yottaa.net	/5064b0975b15f26c4e00a181/www.goldencomm.com/v~14/images/bg-header-orange.png	http://urbangrafic.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	250	200	OK	-	-	-	(empty)	-	-	-	-	-	Fets4FwpZWSpNGCG2	image/png
1357682631.201173	CAHHS2q3lniCHAFr7	192.168.105.10	1033	72.21.91.87	80	11	GET	s-ff0102-5064b0975b15f26c4e00a181-0.yottaa.net	/5064b0975b15f26c4e00a181/www.goldencomm.com/v~14/images/bg-mainflash-big.jpg	http://urbangrafic.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	24047	200	OK	-	-	-	(empty)	-	-	-	-	-	F9QTIS2TMtosh1P9Wc	image/jpeg
1357682632.935022	CAHHS2q3lniCHAFr7	192.168.105.10	1033	72.21.91.87	80	12	GET	s-ff0102-5064b0975b15f26c4e00a181-0.yottaa.net	/5064b0975b15f26c4e00a181/www.goldencomm.com/v~14/images/bg-mainflash-skipRight.jpg	http://urbangrafic.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	11099	200	OK	-	-	-	(empty)	-	-	-	-	-	FYk1NC3QqKPcuX9zmd	image/jpeg
1357682632.934727	CYAIlE2yNpBfdIK1u8	192.168.105.10	1034	72.21.91.87	80	9	GET	s-ff0102-5064b0975b15f26c4e00a181-0.yottaa.net	/5064b0975b15f26c4e00a181/www.goldencomm.com/v~14/images/bg-mainflash-skipLeft.jpg	http://urbangrafic.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	11104	200	OK	-	-	-	(empty)	-	-	-	-	-	F5V2Ts4WmScG0ZeqQ1	image/jpeg
1357682633.04943	CekV9131c3QaP1rgGk	192.168.105.10	1035	208.89.13.133	80	2	GET	server.iad.liveperson.net	/hc/57980352/?cmd=repstate&site=57980352&useSize=true&d=1357696913328	http://urbangrafic.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1357682633.094666	CekV9131c3QaP1rgGk	192.168.105.10	1035	208.89.13.133	80	3	GET	server.iad.liveperson.net	/hcp/repState/repoffline.gif	http://urbangrafic.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	92	200	OK	-	-	-	(empty)	-	-	-	-	-	Fkm2rKh4fdEkpOMPj	image/gif
1357682633.381842	CB5mjo3lpVmA0fxIlk	192.168.105.10	1044	5.135.67.198	40621	1	GET	natural9.de	/images/f9b19ff7a2197fc3a569e443ea916eba/1357682540/939942263de035e14faca80d18519e87.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	11933	200	OK	-	-	-	(empty)	-	-	-	-	-	FJ9Q0F3j74xW5MPYY7	application/jar
1357682633.730519	CB5mjo3lpVmA0fxIlk	192.168.105.10	1044	5.135.67.198	40621	2	GET	natural9.de	/images/f9b19ff7a2197fc3a569e443ea916eba/1357682540/939942263de035e14faca80d18519e87.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	11933	200	OK	-	-	-	(empty)	-	-	-	-	-	FzlSoLCKg52f7bTie	application/jar
1357682634.094377	CB5mjo3lpVmA0fxIlk	192.168.105.10	1044	5.135.67.198	40621	3	GET	natural9.de	/images/f9b19ff7a2197fc3a569e443ea916eba/1357682540/939942263de035e14faca80d18519e87.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	11933	200	OK	-	-	-	(empty)	-	-	-	-	-	F5Ieo8A5KFgmsmXbf	application/jar
1357682639.225102	CB5mjo3lpVmA0fxIlk	192.168.105.10	1044	5.135.67.198	40621	4	GET	natural9.de	/images/f9b19ff7a2197fc3a569e443ea916eba/1357682540/939942263de035e14faca80d18519e87.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	11933	200	OK	-	-	-	(empty)	-	-	-	-	-	FdQ0XE1WHlipeHDG8f	application/jar
1357682639.609221	CB5mjo3lpVmA0fxIlk	192.168.105.10	1044	5.135.67.198	40621	5	GET	natural9.de	/f/1357682540/939942263de035e14faca80d18519e87/f9b19ff7a2197fc3a569e443ea916eba/2	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	258048	200	OK	-	-	-	(empty)	-	-	-	-	-	FieI811lRM2EBfW6A8	application/x-dosexec
1357682640.538555	CB5mjo3lpVmA0fxIlk	192.168.105.10	1044	5.135.67.198	40621	6	GET	natural9.de	/f/1357682540/939942263de035e14faca80d18519e87/f9b19ff7a2197fc3a569e443ea916eba/2/2	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	137728	200	OK	-	-	-	(empty)	-	-	-	-	-	FWEd7Z1R1UBexiZh5e	application/x-dosexec
#close	2014-04-03-11-15-50
