#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-07-22
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1395082792.079709	COpniY1SFbFDGxHAm6	192.168.37.10	1036	69.162.121.130	80	1	GET	langveler.com	/	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	204	302	Found	-	-	-	(empty)	-	-	-	-	-	F4ikT53rVeDGtZxI44	text/html
1395082795.573755	Cnzh2R3xRL2CMBHdd6	192.168.37.10	1043	64.71.142.27	80	1	GET	www.filessly.com	/images/layout1/button_2.png	http://www.filessly.com/fetch/Update/MS05MjEwMDAwLTEzOTUwODI2NzYtZmY2OWQ2NjM0MjJkMDExYjUwYjJhNDIzNzlmYTZlYzY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	27363	200	OK	-	-	-	(empty)	-	-	-	-	-	FSohPb2ljljpzoH8P6	image/png
1395082795.568339	CkGY6v2WmW9EfFffz1	192.168.37.10	1039	64.71.142.27	80	3	GET	www.filessly.com	/images/layout1/all_bg_2.3.jpg	http://www.filessly.com/fetch/Update/MS05MjEwMDAwLTEzOTUwODI2NzYtZmY2OWQ2NjM0MjJkMDExYjUwYjJhNDIzNzlmYTZlYzY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	153955	200	OK	-	-	-	(empty)	-	-	-	-	-	FcFjpr3mdyCqoAyXwd	image/jpeg
1395082795.900903	CpBeob2NYFAKzOgir7	192.168.37.10	1044	46.4.65.78	80	1	GET	stat.freemediastats.com	/piwik.js	http://www.filessly.com/fetch/Update/MS05MjEwMDAwLTEzOTUwODI2NzYtZmY2OWQ2NjM0MjJkMDExYjUwYjJhNDIzNzlmYTZlYzY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	22586	200	OK	-	-	-	(empty)	-	-	-	-	-	FHmsiB2n51tWyrdrc2	text/plain
1395082797.386399	CpBeob2NYFAKzOgir7	192.168.37.10	1044	46.4.65.78	80	2	GET	stat.freemediastats.com	/piwik.php?action_name=Update Downloader&idsite=1&rec=1&r=437937&h=17&m=57&s=34&url=http://www.filessly.com/fetch/Update/MS05MjEwMDAwLTEzOTUwODI2NzYtZmY2OWQ2NjM0MjJkMDExYjUwYjJhNDIzNzlmYTZlYzY&_id=b51baab25db32d1e&_idts=1395097054&_idvc=1&_idn=1&_refts=0&_viewts=1395097054&res=800x600&cvar={"1":["user_sub_id","9210000"]}	http://www.filessly.com/fetch/Update/MS05MjEwMDAwLTEzOTUwODI2NzYtZmY2OWQ2NjM0MjJkMDExYjUwYjJhNDIzNzlmYTZlYzY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	43	200	OK	-	-	-	(empty)	-	-	-	-	-	FJOBuw1Na5m2TF0Bof	image/gif
1395082797.445358	CgpEgP34AEzG6XSnNf	192.168.37.10	1038	64.71.142.27	80	5	GET	www.filessly.com	/getoxy/Update_Downloader_921000001.exe?st=gwxglUKM6TFhzy9V-RRLmA&e=1395169077&fileid=ff69d663422d011b50b2a42379fa6ec6	http://www.filessly.com/fetch/Update/MS05MjEwMDAwLTEzOTUwODI2NzYtZmY2OWQ2NjM0MjJkMDExYjUwYjJhNDIzNzlmYTZlYzY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	24253	200	OK	-	-	-	(empty)	-	-	-	-	-	FV9Spffivfn2QU4e6	application/x-dosexec
1395082795.567894	CJ6QLRfO1CuajdaAf	192.168.37.10	1041	64.71.142.27	80	2	GET	www.filessly.com	/images/layout1/line.jpg	http://www.filessly.com/fetch/Update/MS05MjEwMDAwLTEzOTUwODI2NzYtZmY2OWQ2NjM0MjJkMDExYjUwYjJhNDIzNzlmYTZlYzY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1517	200	OK	-	-	-	(empty)	-	-	-	-	-	FSNQ63OtuSnBMrUog	image/jpeg
1395082798.985258	Ctb27W1dXIATsuOORk	192.168.37.10	1045	46.4.65.78	80	1	GET	freemediastats.com	/getcounter/921000001/counter.gif	http://www.filessly.com/fetch/Update/MS05MjEwMDAwLTEzOTUwODI2NzYtZmY2OWQ2NjM0MjJkMDExYjUwYjJhNDIzNzlmYTZlYzY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	43	200	OK	-	-	-	(empty)	-	-	-	-	-	FhDQFYdkohD34rfn9	image/gif
1395082799.414887	CcvHfPX3Yw3TMHoo1	192.168.37.10	1040	64.71.142.27	80	3	GET	www.filessly.com	/favicon.ico	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1406	200	OK	-	-	-	(empty)	-	-	-	-	-	F1TmZL29p1FUqi2qUh	image/x-icon
1395082807.053043	Cnzh2R3xRL2CMBHdd6	192.168.37.10	1043	64.71.142.27	80	2	GET	www.filessly.com	/getoxy/Update_Downloader_921000001.exe?st=gwxglUKM6TFhzy9V-RRLmA&e=1395169077&fileid=ff69d663422d011b50b2a42379fa6ec6	http://www.filessly.com/fetch/Update/MS05MjEwMDAwLTEzOTUwODI2NzYtZmY2OWQ2NjM0MjJkMDExYjUwYjJhNDIzNzlmYTZlYzY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	24218	206	Partial Content	-	-	-	(empty)	-	-	-	-	-	FxxG0k4DzKTOr0tnVe	binary
#close	2014-04-03-11-07-22
