#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-07-01
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1321988854.804754	Cu91uf0cIg0dsqws1	192.168.27.10	1030	66.96.160.139	80	1	GET	greenling.ca	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	226	302	Found	-	-	-	(empty)	-	-	-	-	-	FRFvuA1fOd8B6Nsbu4	text/html
1321988892.527855	C5m17P2bvHLE4Cvyba	192.168.27.10	1048	219.90.118.78	80	1	GET	3680138830	/dfbgeskdfa/Gmail.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	4349	200	OK	-	-	-	(empty)	-	-	-	-	-	FvrxSlDK5GleM4fgh	application/x-java-applet
1321988892.549104	CQYDrf3J9N1dVOJTGh	192.168.27.10	1044	219.90.118.78	80	1	GET	3680138830	/dfbgeskdfa/Gmail.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	4349	200	OK	-	-	-	(empty)	-	-	-	-	-	FZayaIUDpZgcOVm5g	application/x-java-applet
1321988892.384853	CHpjeR36Nxms78W3Ve	192.168.27.10	1046	219.90.118.78	80	1	GET	3680138830	/dfbgeskdfa/Gmail.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	4349	200	OK	-	-	-	(empty)	-	-	-	-	-	Fxv5cW2hB7kulBbtef	application/x-java-applet
1321988891.819417	CzwOTV3kxb2Norjmze	192.168.27.10	1036	95.163.89.196	80	4	GET	zyzul.info	/w.php?f=149&e=6	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	416768	200	OK	-	-	-	(empty)	-	-	-	-	-	FRhF3c3k8kYkJYLT3j	application/x-dosexec
1321988898.639386	CrLm8x1lXgKEJBIWP3	192.168.27.10	1059	95.163.89.197	80	1	OPTIONS	95.163.89.197	/	-	Microsoft-WebDAV-MiniRedir/5.1.2600	0	166	405	Not Allowed	-	-	-	(empty)	-	-	-	-	-	FcfI67XHbJxHEKmr7	text/html
1321988889.417257	CjbEd43IRBOTnRrOCi	192.168.27.10	1051	188.72.198.195	80	1	GET	188.72.198.195	/1.exe?affid=20800	http://188.72.198.195	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; GTB0.0; .NET CLR 1.1.4322)	0	232448	200	OK	-	-	-	(empty)	-	-	-	-	-	FCCpFqAkjP00tPYpf	application/x-dosexec
1321988897.095169	Cb6VszxJs3xfyYfj	192.168.27.10	1054	95.163.89.196	80	1	GET	zyzul.info	/w.php?f=149&e=0	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	416768	200	OK	-	-	-	(empty)	-	-	-	-	-	FPbaFF39AvbxgA1sr5	application/x-dosexec
1321988897.044489	CqaSNh2h7VtP0pv4pc	192.168.27.10	1056	95.163.89.196	80	1	GET	zyzul.info	/w.php?f=149&e=0	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	416768	200	OK	-	-	-	(empty)	-	-	-	-	-	FZfYah2LwcgNRVdJuf	application/x-dosexec
1321988897.029431	C6xBTA354ryH21Kg4g	192.168.27.10	1057	95.163.89.196	80	1	GET	zyzul.info	/w.php?f=149&e=0	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	416768	200	OK	-	-	-	(empty)	-	-	-	-	-	FbJYV345T515Z96Lke	application/x-dosexec
1321988897.015308	CyGKwXorvHr8meIr6	192.168.27.10	1053	95.163.89.196	80	1	GET	zyzul.info	/w.php?f=149&e=0	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	106602	200	OK	-	-	-	(empty)	-	-	-	-	-	FImziI1pLWGp2qFtXj	application/x-dosexec
1321988897.045883	CRdeAB1Ze0dfKBsev3	192.168.27.10	1055	95.163.89.196	80	1	GET	zyzul.info	/w.php?f=149&e=0	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	103858	200	OK	-	-	-	(empty)	-	-	-	-	-	FgY3La16yoZDsleJY1	application/x-dosexec
1321988897.545494	CxMNmn43XTKDUbOYF	192.168.27.10	1058	95.163.89.196	80	1	GET	zyzul.info	/w.php?f=149&e=0	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	90140	200	OK	-	-	-	(empty)	-	-	-	-	-	FhIbKo1i4MXnVNpj6a	application/x-dosexec
1321988901.560435	CkHacw3JFLrhxQCuqg	192.168.27.10	1060	74.125.47.106	80	1	GET	www.google.ru	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	21706	200	OK	-	-	-	(empty)	-	-	-	-	-	FhtQUK1eTrmkRbhsW5	text/html
1321988903.068094	CkHacw3JFLrhxQCuqg	192.168.27.10	1060	74.125.47.106	80	2	GET	www.google.ru	/images/close_sm.gif	http://www.google.ru/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	76	200	OK	-	-	-	(empty)	-	-	-	-	-	FfEYnlNyVkXbjR1f4	image/gif
1321988903.074995	Cbixnj4ApNQ08J5qhl	192.168.27.10	1061	74.125.47.106	80	1	GET	www.google.ru	/images/icons/product/chrome-48.png	http://www.google.ru/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1834	200	OK	-	-	-	(empty)	-	-	-	-	-	FxJQsBcdQ57Gs4Z75	image/png
1321988903.502313	CkHacw3JFLrhxQCuqg	192.168.27.10	1060	74.125.47.106	80	3	GET	www.google.ru	/textinputassistant/tia.png	http://www.google.ru/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	387	200	OK	-	-	-	(empty)	-	-	-	-	-	FpGsykyswbLuwVzIb	image/png
1321988903.552395	Cbixnj4ApNQ08J5qhl	192.168.27.10	1061	74.125.47.106	80	2	GET	www.google.ru	/images/modules/buttons/g-button-chocobo-basic-1.gif	http://www.google.ru/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	8987	200	OK	-	-	-	(empty)	-	-	-	-	-	FupgSBVUVXqrLtNe5	image/gif
1321988903.567576	CkHacw3JFLrhxQCuqg	192.168.27.10	1060	74.125.47.106	80	4	GET	www.google.ru	/images/modules/buttons/g-button-chocobo-basic-2.gif	http://www.google.ru/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	313	200	OK	-	-	-	(empty)	-	-	-	-	-	FTj0mKo3hMraXFYte	image/gif
1321988903.629445	Cbixnj4ApNQ08J5qhl	192.168.27.10	1061	74.125.47.106	80	3	GET	www.google.ru	/images/srpr/nav_logo80.png	http://www.google.ru/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	35636	200	OK	-	-	-	(empty)	-	-	-	-	-	FpgabK2ZaipVTsGDok	image/png
1321988903.971519	CkHacw3JFLrhxQCuqg	192.168.27.10	1060	74.125.47.106	80	5	GET	www.google.ru	/images/mgyhp_sm.png	http://www.google.ru/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	331	200	OK	-	-	-	(empty)	-	-	-	-	-	FG4fdp4QolvYWv0dl	image/png
1321988903.97185	Cbixnj4ApNQ08J5qhl	192.168.27.10	1061	74.125.47.106	80	4	GET	www.google.ru	/intl/en_com/images/srpr/logo1w.png	http://www.google.ru/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7330	200	OK	-	-	-	(empty)	-	-	-	-	-	FcJdyr2IZ9OVqpIlfg	image/png
1321988904.108937	CkHacw3JFLrhxQCuqg	192.168.27.10	1060	74.125.47.106	80	6	GET	www.google.ru	/extern_js/f/CgJydRICcnUrMEU4ACwrMFo4ACwrMA44ACwrMBc4ACwrMDw4ACwrMFE4ACwrMAo4AJoCAmhlLCswmAE4ACwrMBY4ACwrMBk4AJoCAnNoLCswJTgALCswTTgALCswTjgALCswVDgALCswaTgALCswkAE4ACwrMJIBOAAsKzDCATgALCswGDgALCswJjgALIACUJACWA/q1DBO1RvFOU.js	http://www.google.ru/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	129111	200	OK	-	-	-	(empty)	-	-	-	-	-	F967XP3ZTflsUV2NZ6	text/plain
1321988904.270879	Cbixnj4ApNQ08J5qhl	192.168.27.10	1061	74.125.47.106	80	5	GET	www.google.ru	/csi?v=3&s=webhp&action=&e=28936,31171,32940,33104,33492,33551,33658,33989,34353,34406,34438,34446,34461,34466,34469,34639,34722&ei=sPLLToe6IpSItwf_u8w3&imc=4&imn=4&imp=1&rt=xjsls.969,prt.984,ol.1031,iml.984,xjses.1109,xjsee.1156,xjs.1203	http://www.google.ru/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	204	No Content	-	-	-	(empty)	-	-	-	-	-	-	-
1321988908.503295	ChJF903UQYE38OL0Wi	192.168.27.10	1062	212.124.109.242	80	1	GET	212.124.109.242	/api/stats/install/?affid=20800&ver=1015	http://212.124.109.242	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; GTB0.0; .NET CLR 1.1.4322)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1321988892.620103	CEoKIz4BWwuwBJ8jGj	192.168.27.10	1047	219.90.118.78	80	1	GET	3680138830	/dfbgeskdfa/Gmail.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	0	-	-	-	-	-	(empty)	-	-	-	-	-	-	-
#close	2014-04-03-11-07-02
