#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-42-36
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1341049514.003508	CKzKLo16AYLeemEFOi	192.168.80.10	1041	110.45.152.74	80	1	GET	www.pandora.tv	/gnb/gnb.ptv?jsoncallback=jQuery162011818387907300393_1341063794343&query=&cate_position=&position=main&_=1341063794984	http://everyon.pandora.tv/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	9212	200	OK	-	-	-	(empty)	-	-	-	-	-	FmUBkt3adaVTj5M0v1	text/html
1341049514.423819	CzT8jD2dcektaDFDC9	192.168.80.10	1032	209.137.130.253	80	12	GET	imgcdn.pandora.tv	/ptv_img/newptv/btn_search_go.png	http://everyon.pandora.tv/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1531	200	OK	-	-	-	(empty)	-	-	-	-	-	FUkCxU5RMadzuAh6b	image/png
1341049514.424501	CBJ01zh6feQLDlsDh	192.168.80.10	1033	209.137.130.253	80	14	GET	imgcdn.pandora.tv	/static/remain/1340181938.png	http://everyon.pandora.tv/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	9548	200	OK	-	-	-	(empty)	-	-	-	-	-	FyQJUv4CeJOiJ6WKI3	image/png
1341049514.481882	CzT8jD2dcektaDFDC9	192.168.80.10	1032	209.137.130.253	80	13	GET	imgcdn.pandora.tv	/static/remain/1333347091.png	http://everyon.pandora.tv/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4164	200	OK	-	-	-	(empty)	-	-	-	-	-	F8h8it4ZjEIZg70qn7	image/png
1341049514.482159	CBJ01zh6feQLDlsDh	192.168.80.10	1033	209.137.130.253	80	15	GET	imgcdn.pandora.tv	/static/remain/1337825407.png	http://everyon.pandora.tv/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1332	200	OK	-	-	-	(empty)	-	-	-	-	-	FfxaMJ2s3nvvLj6kuj	image/png
1341049514.547154	CzT8jD2dcektaDFDC9	192.168.80.10	1032	209.137.130.253	80	14	GET	imgcdn.pandora.tv	/ptv_img/newptv/gnb_bg.jpg	http://everyon.pandora.tv/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1245	200	OK	-	-	-	(empty)	-	-	-	-	-	FW9qnINexAJwJAFwd	image/jpeg
1341049514.549931	CBJ01zh6feQLDlsDh	192.168.80.10	1033	209.137.130.253	80	16	GET	imgcdn.pandora.tv	/ptv_img/newptv/pop_category_mid.png	http://everyon.pandora.tv/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1065	200	OK	-	-	-	(empty)	-	-	-	-	-	FzTw4g1C5p0aTMKLof	image/png
1341049514.451099	CKzKLo16AYLeemEFOi	192.168.80.10	1041	110.45.152.74	80	2	GET	www.pandora.tv	/gnb/issue.ptv?jsoncallback=jQuery162011818387907300393_1341063794344&position=main&_=1341063795828	http://everyon.pandora.tv/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2852	200	OK	-	-	-	(empty)	-	-	-	-	-	FurPfo3G7jDzobAs1l	text/plain
1341049514.609039	CzT8jD2dcektaDFDC9	192.168.80.10	1032	209.137.130.253	80	15	GET	imgcdn.pandora.tv	/ptv_img/newptv/gnb_ctgr.png	http://everyon.pandora.tv/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1474	200	OK	-	-	-	(empty)	-	-	-	-	-	FLuAoY1VZRWBBivvf	image/png
1341049514.61191	CBJ01zh6feQLDlsDh	192.168.80.10	1033	209.137.130.253	80	17	GET	imgcdn.pandora.tv	/static/newptv/sprite_default.png	http://everyon.pandora.tv/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	36752	200	OK	-	-	-	(empty)	-	-	-	-	-	FTG8hv27upsJnjUHJe	image/png
1341049514.727771	CBJ01zh6feQLDlsDh	192.168.80.10	1033	209.137.130.253	80	18	GET	imgcdn.pandora.tv	/ptv_img/newptv/newhome/gnb_cateNew.gif	http://everyon.pandora.tv/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1289	200	OK	-	-	-	(empty)	-	-	-	-	-	FzJ2kw3ApKJ27J2e6g	image/gif
1341049514.728103	CzT8jD2dcektaDFDC9	192.168.80.10	1032	209.137.130.253	80	16	GET	imgcdn.pandora.tv	/ptv_img/newptv/img_logo.png	http://everyon.pandora.tv/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	8908	200	OK	-	-	-	(empty)	-	-	-	-	-	FuHHi43zDvUi61Ips2	image/png
1341049514.52384	CTCtK9tikLLszYxel	192.168.80.10	1042	118.219.232.196	80	1	GET	gosipia.kr	/file/usr.html	http://everyon.pandora.tv/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	194134	200	OK	-	-	-	(empty)	-	-	-	-	-	FOxNyh1rK3BsVj1H0d	text/html
1341049518.636289	CJqgnO2HzwJPk3ISm6	192.168.80.10	1043	118.219.232.196	80	1	GET	gosipia.kr	/file/usr.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	6288	200	OK	-	-	-	(empty)	-	-	-	-	-	FEdQTr3V8GNBWpsmK9	application/zip
1341049528.318592	CzZTzx3y3JMNj76vn5	192.168.80.10	1044	118.219.232.196	80	1	GET	gosipia.kr	/jinjupia/dune.gif	-	Mozilla/4.0 (Compatible; MSIE 6.0;)	0	145092	200	OK	-	-	-	(empty)	-	-	-	-	-	FXZJauOdxhZZHyqz1	application/x-dosexec
1341049534.897227	C5PLht1EWw14QRtUjb	192.168.80.10	1045	74.125.137.95	80	1	GET	ajax.googleapis.com	/ajax/libs/jqueryui/1.8/jquery-ui.min.js	http://everyon.pandora.tv/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	202604	200	OK	-	-	-	(empty)	-	-	-	-	-	FO6PM920No6E2P1bkd	text/plain
1341049535.232327	CiZXS63vp2yPIREuo7	192.168.80.10	1048	66.220.146.94	80	1	GET	www.facebook.com	/plugins/likebox.php?href=http://www.facebook.com/everyontv&width=300&colorscheme=light&show_faces=true&border_color&stream=true&header=false&height=558	http://everyon.pandora.tv/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	15259	200	OK	-	-	-	(empty)	-	-	-	-	-	FBNg441YtyCju837Ae	text/html
1341049535.12084	CyzGonQFHoIRrOW5h	192.168.80.10	1047	209.137.130.253	80	1	GET	imgcdn.pandora.tv	/ptv_img/everyon_img/bn_icon_act.png	http://everyon.pandora.tv/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1224	200	OK	-	-	-	(empty)	-	-	-	-	-	FUwvLozm1LHiwZYi6	image/png
1341049535.495831	CyzGonQFHoIRrOW5h	192.168.80.10	1047	209.137.130.253	80	2	GET	imgcdn.pandora.tv	/ptv_img/everyon_img/every_bg_middel.jpg	http://everyon.pandora.tv/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	429	200	OK	-	-	-	(empty)	-	-	-	-	-	FKzfgH3tWTRlhPNQsh	image/jpeg
1341049535.481418	CsJOGr2NFBZa7agnQc	192.168.80.10	1049	64.72.65.215	80	1	GET	static.ak.fbcdn.net	/rsrc.php/v2/ys/r/NN4acSH_3KL.js	http://www.facebook.com/plugins/likebox.php?href=http%3A%2F%2Fwww.facebook.com%2Feveryontv&width=300&colorscheme=light&show_faces=true&border_color&stream=true&header=false&height=558	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	57719	200	OK	-	-	-	(empty)	-	-	-	-	-	FEQ9Zi1lVgBWrFwUG1	text/plain
