#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-09-59-16
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1361907281.05531	CNvzfd3DJBOzPVbe2j	192.168.44.10	1033	23.33.187.82	80	11	GET	cdn.pastemagazine.com	/www/articles/2013/02/20/Pissed-Jeans-580x580.jpg?1361356104	http://www.pastemagazine.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	55783	200	OK	-	-	-	(empty)	-	-	-	-	-	FUX2N84Rflioclxg5b	image/jpeg
1361907281.242092	CNvzfd3DJBOzPVbe2j	192.168.44.10	1033	23.33.187.82	80	12	GET	cdn.pastemagazine.com	/www/articles/2013/02/19/OLE-1009-Iceage-You\xe2\x80\x99re-Nothing-537x537.jpg?1361265483	http://www.pastemagazine.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	64823	200	OK	-	-	-	(empty)	-	-	-	-	-	Fm8uob2jtNWzFj4W86	image/jpeg
1361907281.218056	C7u7A1pxkn8eCAlPk	192.168.44.10	1034	23.33.187.82	80	11	GET	cdn.pastemagazine.com	/www/articles/2013/02/19/parenthetical-girls-privilege-aa.jpg?1361269590	http://www.pastemagazine.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	76693	200	OK	-	-	-	(empty)	-	-	-	-	-	F2d2Bh12c0f2OUl6Fg	image/jpeg
1361907281.336562	CDvH5j3UPGLgjsO3Xg	192.168.44.10	1058	74.205.43.120	80	1	GET	www.pastemagazine.com	/images/2012-sprites-v2.png	http://www.pastemagazine.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	59099	200	OK	-	-	-	(empty)	-	-	-	-	-	FcSea2ABzyY71L1Fc	image/png
1361907281.394192	CNvzfd3DJBOzPVbe2j	192.168.44.10	1033	23.33.187.82	80	13	GET	cdn.pastemagazine.com	/www/articles/koch-squared.jpeg?1361668265	http://www.pastemagazine.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	55393	200	OK	-	-	-	(empty)	-	-	-	-	-	FM3i592xLTaAjLV2b2	image/jpeg
1361907281.463911	CsKl8t4GhTje8Wl7k	192.168.44.10	1059	66.135.43.21	80	1	GET	ads.pastemagazine.com	/adserver/www/delivery/ajs.php?zoneid=7&cb=88802110564&charset=utf-8&loc=http://www.pastemagazine.com/	http://www.pastemagazine.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1558	200	OK	-	-	-	(empty)	-	-	-	-	-	Fnet5O3ZANlrDTt5A3	text/plain
1361907281.463144	CNvzfd3DJBOzPVbe2j	192.168.44.10	1033	23.33.187.82	80	14	GET	cdn.pastemagazine.com	/www/articles/Escape-From-Planet-Earth-squared.jpeg?1361543040	http://www.pastemagazine.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	51358	200	OK	-	-	-	(empty)	-	-	-	-	-	FZLlkE4X4TebJCFYq5	image/jpeg
1361907281.417427	C7u7A1pxkn8eCAlPk	192.168.44.10	1034	23.33.187.82	80	12	GET	cdn.pastemagazine.com	/www/articles/A-place-at-the-table-squared.jpeg?1361666647	http://www.pastemagazine.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	52854	200	OK	-	-	-	(empty)	-	-	-	-	-	Fi3VRj16hJ6sL9LkXb	image/jpeg
1361907281.148035	CIScRYOSAkOLhQQ76	192.168.44.10	1056	194.44.49.40	80	1	GET	upd.microapuntes.com.ar	/up/agencept.php?vialjack=219215	http://magic.doomsday.cl/traffic?check=1&banner=7	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	30469	200	OK	-	-	-	(empty)	-	-	-	-	-	Fm1s8a2fkiH6rGqV4b	text/plain
1361907281.758547	CbxUdN2f4mPLwxqPd9	192.168.44.10	1061	74.125.140.149	80	1	GET	ad.doubleclick.net	/adj/pastemagazine.mmn/ros;pos=top;genre=indi;dc_ref=http://www.pastemagazine.com/;dcopt=ist;;tile=1;sz=300x600,300x250;ord=6736475457?	http://www.pastemagazine.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1061	200	OK	-	-	-	(empty)	-	-	-	-	-	F7nl2B1DcQHoGbq6m2	text/html
1361907281.780184	CDlVUZPpqmWpHpzR5	192.168.44.10	1060	66.135.43.21	80	1	GET	ads.pastemagazine.com	/adserver/www/delivery/lg.php?bannerid=4184&campaignid=3046&zoneid=109&loc=1&referer=http://www.pastemagazine.com/&cb=3789e41da2	http://www.pastemagazine.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	43	200	OK	-	-	-	(empty)	-	-	-	-	-	Fy2nZc2QV77FbDzgA4	image/gif
