#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-08-31
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1389815579.693765	CKOA6yOtaV5YO6nbl	192.168.12.10	1036	98.124.248.77	80	1	GET	cracked.com	/	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	231	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	Fa1wgH2FDj4nbiEif8	text/html
1389815580.670537	CHkqjg1IfI3FzcE8Ne	192.168.12.10	1044	72.21.91.19	80	2	GET	www.cracked.com	/ui/shared/lesscss/font/cooper_black/cooper_black-webfont.eot?	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	35562	200	OK	-	-	-	(empty)	-	-	-	-	-	FwhT3p37DzsvwajlUk	application/vnd.ms-fontobject
1389815580.671565	CkrYH8NKY0YV6bo4	192.168.12.10	1037	72.21.91.19	80	3	GET	www.cracked.com	/ui/shared/lesscss/font/trajanpro/trajanpro-regular.eot?	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	123308	200	OK	-	-	-	(empty)	-	-	-	-	-	F9Hdu11gV4LTTjDCFe	application/vnd.ms-fontobject
1389815580.779229	C0ceZz2a7ZHTSXAhxe	192.168.12.10	1050	74.125.224.250	80	1	GET	www.googletagservices.com	/tag/js/gpt.js	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	40437	200	OK	-	-	-	(empty)	-	-	-	-	-	F2m9BdWvLLz7Nc6ce	text/plain
1389815580.767847	CoMvpl1DQp3KE89Dxa	192.168.12.10	1049	54.200.128.207	80	1	GET	dm.demdex.net	/event?d_nsid=0&d_ld=_ts=1389829848421&c_valid=false&c_name=&c_keywords=&c_envr=&c_ugc=0&c_twig=0&c_rating=pg&d_rtbd=json&d_jsonv=1&d_dst=1&d_cts=1&d_cb=demdexRequestCallback_dm_0_1389829848421	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1389815580.808244	CoMvpl1DQp3KE89Dxa	192.168.12.10	1049	54.200.128.207	80	2	GET	dm.demdex.net	/firstevent?d_nsid=0&d_ld=_ts=1389829848421&c_valid=false&c_name=&c_keywords=&c_envr=&c_ugc=0&c_twig=0&c_rating=pg&d_rtbd=json&d_jsonv=1&d_dst=1&d_cts=1&d_cb=demdexRequestCallback_dm_0_1389829848421	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1441	200	OK	-	-	-	(empty)	-	-	-	-	-	FtzAvk39c7u0x4cyk	text/plain
1389815580.889786	CrSwVm2jEILXkES1mf	192.168.12.10	1043	74.125.20.95	80	2	GET	fonts.googleapis.com	/css?family=Arvo:400,700,400italic,700italic	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	423	200	OK	-	-	-	(empty)	-	-	-	-	-	FKKFfK3qcJiMr30CX2	text/plain
1389815580.896924	CwA6nK1UrFL5buQbl9	192.168.12.10	1051	74.125.224.35	80	1	GET	www.google-analytics.com	/ga.js	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	39992	200	OK	-	-	-	(empty)	-	-	-	-	-	FPUsmQ2HkGblMbF7	text/plain
1389815580.910441	CeXMpq2790AaWS3gMf	192.168.12.10	1053	74.125.224.250	80	1	GET	googleads.g.doubleclick.net	/pagead/blank.html	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	66	200	OK	-	-	-	(empty)	-	-	-	-	-	FwsfGY1iQVa62vBeC7	text/html
1389815580.899443	Cm9QTP23W3Z34sSFO9	192.168.12.10	1052	74.125.224.173	80	1	GET	partner.googleadservices.com	/gpt/pubads_impl_32.js	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	59428	200	OK	-	-	-	(empty)	-	-	-	-	-	F2CWrs19ELw4BqjJOe	text/plain
1389815580.940909	CeaAFpXoCbg6z2Kb3	192.168.12.10	1039	198.144.98.88	80	2	GET	i.crackedcdn.com	/ui/shared/images/2013/global/layout/nav_bg.jpg	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	3989	200	OK	-	-	-	(empty)	-	-	-	-	-	FzZETk42ujDOHHxwal	image/jpeg
1389815580.941568	C4dXAR3W3LBYOIVFl8	192.168.12.10	1040	198.144.98.88	80	3	GET	i.crackedcdn.com	/phpimages/article/3/9/3/201393.jpg?v=1	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	7403	200	OK	-	-	-	(empty)	-	-	-	-	-	FyhXCZ3nPwLSonNBtg	image/jpeg
1389815580.941277	CKaiGB3pEjjiAVrbij	192.168.12.10	1038	198.144.98.88	80	2	GET	i.crackedcdn.com	/ui/shared/images/2013/global/layout/nav_glow.png	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	35945	200	OK	-	-	-	(empty)	-	-	-	-	-	FnoH304x6arLKKKfOd	image/png
1389815580.98963	CKaiGB3pEjjiAVrbij	192.168.12.10	1038	198.144.98.88	80	3	GET	i.crackedcdn.com	/phpimages/article/1/7/5/235175_v1.jpg	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	12655	200	OK	-	-	-	(empty)	-	-	-	-	-	FhNzJi3pZDJJuZE63g	image/jpeg
1389815580.983141	CeaAFpXoCbg6z2Kb3	192.168.12.10	1039	198.144.98.88	80	3	GET	i.crackedcdn.com	/phpimages/article/1/3/1/235131_v1.jpg	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	27209	200	OK	-	-	-	(empty)	-	-	-	-	-	FRAUbQ3CCQjThqOOWc	image/jpeg
1389815581.0134	C4dXAR3W3LBYOIVFl8	192.168.12.10	1040	198.144.98.88	80	4	GET	i.crackedcdn.com	/phpimages/image/1/5/5/235155.jpg?v=2	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	24184	200	OK	-	-	-	(empty)	-	-	-	-	-	FQIdPvaoKVso8pbR9	image/jpeg
1389815581.028305	CM6skG2ASi0Crxp4Td	192.168.12.10	1055	198.144.98.88	80	1	GET	i.crackedcdn.com	/phpimages/article/6/2/9/231629_v1.jpg	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	9946	200	OK	-	-	-	(empty)	-	-	-	-	-	Ff8Kb249GEGaBfyVnf	image/jpeg
1389815581.028626	CkacMB178pTotImoIj	192.168.12.10	1056	198.144.98.88	80	1	GET	i.crackedcdn.com	/ui/shared/images/2013/global/layout/button_shadow_lrg.png	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	297	200	OK	-	-	-	(empty)	-	-	-	-	-	FY16ldnj17BAcCbed	image/png
1389815581.027115	C8iAOc1kxDbiJMOeC8	192.168.12.10	1054	74.125.224.171	80	1	GET	themes.googleusercontent.com	/static/fonts/arvo/v6/DOHAK8DimZJeSQQDpH-4yw.eot	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	23389	200	OK	-	-	-	(empty)	-	-	-	-	-	FnwSaj4vX7RyoNxFY8	application/vnd.ms-fontobject
1389815581.16324	CeaAFpXoCbg6z2Kb3	192.168.12.10	1039	198.144.98.88	80	4	GET	i.crackedcdn.com	/phpimages/photoshop/1/9/5/235195.jpg?v=1	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	7505	200	OK	-	-	-	(empty)	-	-	-	-	-	FQcyT91E4Y1iHrhkAf	image/jpeg
1389815581.16362	CjTsamvNu8OoTyzL2	192.168.12.10	1057	198.144.98.88	80	1	GET	i.crackedcdn.com	/phpimages/article/4/2/9/234429_v1.jpg	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	9937	200	OK	-	-	-	(empty)	-	-	-	-	-	FnuaFM1EiUPWOeVL53	image/jpeg
1389815581.184795	C4dXAR3W3LBYOIVFl8	192.168.12.10	1040	198.144.98.88	80	5	GET	i.crackedcdn.com	/phpimages/podcast/2/2/9/234229_v1.jpg	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	7110	200	OK	-	-	-	(empty)	-	-	-	-	-	FHQilH1f5FgbUXbWNl	image/jpeg
1389815581.185118	CM6skG2ASi0Crxp4Td	192.168.12.10	1055	198.144.98.88	80	2	GET	i.crackedcdn.com	/phpimages/article/5/6/3/182563_v2.jpg	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	14388	200	OK	-	-	-	(empty)	-	-	-	-	-	FngMx74liyH4gvJWPk	image/jpeg
1389815581.187003	CeaAFpXoCbg6z2Kb3	192.168.12.10	1039	198.144.98.88	80	5	GET	i.crackedcdn.com	/ui/shared/images/2013/global/layout/Cracked_logo.png	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	11583	200	OK	-	-	-	(empty)	-	-	-	-	-	FP3X4P9z7uud9tXW5	image/png
1389815581.184113	CKaiGB3pEjjiAVrbij	192.168.12.10	1038	198.144.98.88	80	4	GET	i.crackedcdn.com	/phpimages/article/4/4/9/234449_v1.jpg	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	7867	200	OK	-	-	-	(empty)	-	-	-	-	-	FTRA6oIGUMWnPDJY4	image/jpeg
1389815581.185447	CkacMB178pTotImoIj	192.168.12.10	1056	198.144.98.88	80	2	GET	i.crackedcdn.com	/phpimages/article/1/2/1/234121.jpg?v=1	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	21479	200	OK	-	-	-	(empty)	-	-	-	-	-	FbL0Lv41GMVzSyT5f5	image/jpeg
1389815581.224024	CjTsamvNu8OoTyzL2	192.168.12.10	1057	198.144.98.88	80	2	GET	i.crackedcdn.com	/ui/mashed/33c8e9430b6c73cf605be10401fa5b7c.png	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	285756	200	OK	-	-	-	(empty)	-	-	-	-	-	F9YL4L2BdqxWsZRHl4	image/png
1389815581.228325	C4dXAR3W3LBYOIVFl8	192.168.12.10	1040	198.144.98.88	80	6	GET	i.crackedcdn.com	/phpimages/marketing/9/0/7/223907_v10.jpg	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	165016	200	OK	-	-	-	(empty)	-	-	-	-	-	FSG9snUKkkXOalZdg	image/jpeg
1389815581.403964	CfZt5V3CCjmqv4GPUk	192.168.12.10	1058	95.211.6.48	80	1	GET	klamb.in	/adstats.js	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1194	200	OK	-	-	-	(empty)	-	-	-	-	-	FmoLxDdnKDgIqWI9	text/plain
1389815582.002193	CM6skG2ASi0Crxp4Td	192.168.12.10	1055	198.144.98.88	80	3	GET	i.crackedcdn.com	/ui/mashed/c8c3ae34cdd33590b6d9b857ac8bc5aa.png	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	11350	200	OK	-	-	-	(empty)	-	-	-	-	-	Ft3pZN3EiYEwA9Znuk	image/png
1389815582.108698	CeaAFpXoCbg6z2Kb3	192.168.12.10	1039	198.144.98.88	80	6	GET	i.crackedcdn.com	/ui/shared/images/2013/global/layout/rightrail_shadow_1px.png	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	124	200	OK	-	-	-	(empty)	-	-	-	-	-	FQHln14i34mEC3pz8f	image/png
1389815582.112476	CKaiGB3pEjjiAVrbij	192.168.12.10	1038	198.144.98.88	80	5	GET	i.crackedcdn.com	/ui/shared/images/2013/global/layout/module_shadow.png	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	388	200	OK	-	-	-	(empty)	-	-	-	-	-	FHGS7X38p7orGrROsd	image/png
1389815582.591009	CwA6nK1UrFL5buQbl9	192.168.12.10	1051	74.125.224.35	80	2	GET	www.google-analytics.com	/__utm.gif?utmwv=5.4.6&utms=1&utmn=1757113508&utmhn=www.cracked.com&utmcs=utf-8&utmsr=800x600&utmvp=780x443&utmsc=24-bit&utmul=en-us&utmje=1&utmfl=10.0 r32&utmdt=Cracked.com - America's Only Humor Site | Cracked.com&utmhid=1339477575&utmr=-&utmp=/&utmht=1389829850343&utmac=UA-143148-1&utmcc=__utma=93047503.1132721327.1389829850.1389829850.1389829850.1;+__utmz=93047503.1389829850.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none);&utmu=q~	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	35	200	OK	-	-	-	(empty)	-	-	-	-	-	FkckGU3fuQdoaGgrO4	image/gif
1389815582.636334	C4dXAR3W3LBYOIVFl8	192.168.12.10	1040	198.144.98.88	80	7	GET	i.crackedcdn.com	/phpimages/article/4/8/3/233483_v1.jpg	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	24025	200	OK	-	-	-	(empty)	-	-	-	-	-	FnbDBK15DJGxDpy5t2	image/jpeg
1389815582.638709	CM6skG2ASi0Crxp4Td	192.168.12.10	1055	198.144.98.88	80	4	GET	i.crackedcdn.com	/phpimages/article/2/1/3/233213_v1.jpg	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	25441	200	OK	-	-	-	(empty)	-	-	-	-	-	Fg5t9HJjtfVcjLq8k	image/jpeg
1389815582.632985	CkacMB178pTotImoIj	192.168.12.10	1056	198.144.98.88	80	3	GET	i.crackedcdn.com	/phpimages/article/0/6/5/234065.jpg?v=1	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	18585	200	OK	-	-	-	(empty)	-	-	-	-	-	FmxWmU39Sk2RCJj365	image/jpeg
1389815582.639977	CeaAFpXoCbg6z2Kb3	192.168.12.10	1039	198.144.98.88	80	7	GET	i.crackedcdn.com	/phpimages/article/0/0/9/233009_v1.jpg	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	23448	200	OK	-	-	-	(empty)	-	-	-	-	-	FXENJt1ca1CTZLX4ba	image/jpeg
1389815582.635244	CjTsamvNu8OoTyzL2	192.168.12.10	1057	198.144.98.88	80	3	GET	i.crackedcdn.com	/phpimages/article/7/2/7/233727_v1.jpg	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	13984	200	OK	-	-	-	(empty)	-	-	-	-	-	FwqOQt1Y1u0WXTW83j	image/jpeg
1389815582.780813	Cb3Rf6SjwKyvMiLE4	192.168.12.10	1059	95.211.6.48	80	1	GET	klamb.in	/a3	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	130	200	OK	-	-	-	(empty)	-	-	-	-	-	FtIF8B3rTYQTo9nnok	text/html
1389815582.914094	CpkT7w3l2PG1cWzru3	192.168.12.10	1060	74.125.224.173	80	1	GET	pubads.g.doubleclick.net	/gampad/ads?gdfp_req=1&correlator=3284087587281452&output=json_html&callback=window.parent.googletag.impl.pubads.setAdContentsBySlotForAsync&impl=fifs&json_a=1&iu_parts=6117,dmd.cracked,homepage&enc_prev_ius=/0/1/2,/0/1/2,/0/1/2,/0/1/2,/0/1/2,/0/1/2&prev_iu_szs=286x33,728x90|990x90,300x250,648x116,300x250|300x600,1x1&ists=1&prev_scp=loc=atf||loc=btf||loc=atf|&cust_params=envr=&ugc=0&twig=0&rating=pg&dc_ref=http%253A%252F%252Fwww.cracked.com%252F&dx=99252&uuid=80367074964452986490318259533055367655&cookie_enabled=1&lmt=1389814533&dt=1389829850500&cc=100&ea=0&biw=780&bih=443&oid=3&oe=utf-8&gut=v2&ifi=1&u_tz=-300&u_java=true&u_h=600&u_w=800&u_ah=600&u_aw=800&u_cd=24&flash=10.0.32.18&url=http://www.cracked.com/&adks=2782696202,691040104,709411456,3667677859,3956274038,1998920758&vrg=32&vrp=32&ga_vid=1132721327.1389829850&ga_sid=1389829850&ga_hid=1875251482&ga_fc=true	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	10943	200	OK	-	-	-	(empty)	-	-	-	-	-	FP5lws0kdhIYW8Myg	text/plain
1389815583.728117	C3i2ew19QXQT14FRea	192.168.12.10	1042	74.125.224.250	80	2	GET	pagead2.googlesyndication.com	/pagead/osd.js	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	40360	200	OK	-	-	-	(empty)	-	-	-	-	-	Fz7LYJ2SD5le6AEun8	text/plain
1389815583.767217	CJG0G4430e26KhQGmk	192.168.12.10	1061	74.125.224.250	80	1	GET	pagead2.googlesyndication.com	/pagead/imgad?id=CICAgMDO_6SPmQEQARgBMghAXboXJGMIbQ	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	655	200	OK	-	-	-	(empty)	-	-	-	-	-	FFV6Ff3J8gDLLDXza8	image/jpeg
1389815583.790915	CTrjKu6tjiSyPeDn5	192.168.12.10	1062	74.125.224.187	80	1	GET	s0.2mdn.net	/dot.gif	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	43	200	OK	-	-	-	(empty)	-	-	-	-	-	Fj8ER43xtZcRPDccxh	image/gif
1389815583.852377	CTrjKu6tjiSyPeDn5	192.168.12.10	1062	74.125.224.187	80	2	GET	s0.2mdn.net	/viewad/2800571/300X250_TBS-MenAtWork_TONIGHT.jpg	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	29744	200	OK	-	-	-	(empty)	-	-	-	-	-	F7TY4aSQmowyZQ6vd	image/jpeg
1389815583.904121	CdtbGE1Kziod08mi59	192.168.12.10	1045	72.21.91.19	80	2	GET	www.cracked.com	/	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	71773	200	OK	-	-	-	(empty)	-	-	-	-	-	FVsVik3uiLdRBD5pzd	text/html
1389815583.899128	C4dXAR3W3LBYOIVFl8	192.168.12.10	1040	198.144.98.88	80	8	GET	i.crackedcdn.com	/phpimages/article/8/4/3/232843_v1.jpg	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	2753	200	OK	-	-	-	(empty)	-	-	-	-	-	FhnK1o4HsDGnoJ8T6k	image/jpeg
1389815583.898284	CKaiGB3pEjjiAVrbij	192.168.12.10	1038	198.144.98.88	80	6	GET	i.crackedcdn.com	/phpimages/article/6/1/5/230615.jpg?v=1	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	28123	200	OK	-	-	-	(empty)	-	-	-	-	-	F9lIJf2ivQvZYOcq8	image/jpeg
1389815583.821412	C3i2ew19QXQT14FRea	192.168.12.10	1042	74.125.224.250	80	3	GET	pagead2.googlesyndication.com	/pagead/imgad?id=CICAgMCuhMyMrAEQARgBMgi3y3GV_CqDPw	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	139921	200	OK	-	-	-	(empty)	-	-	-	-	-	FQ5KFgT2sugX796Ge	application/x-shockwave-flash
1389815583.85728	CPXoIF3yuO0fDEU7zl	192.168.12.10	1063	74.125.224.156	80	1	GET	ad.doubleclick.net	/ad/N6305.128396.INDIECLICK/B7956334.17;sz=1x1;pc=[TPAS_ID];ord=504104121?	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
