#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-02-37
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1338513637.099073	C532PY16iRE1UEGyCb	192.168.107.10	1030	65.254.248.182	80	1	GET	thinkadv.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	215	302	Found	-	-	-	(empty)	-	-	-	-	-	F5Ap6R3tM0uAjZLnu9	text/html
1338513646.105648	CkM7y04pWNhu6cx7r4	192.168.107.10	1039	67.209.224.55	80	4	GET	www1.firstkscaner.in	/cl/7/table_divider.gif	http://www1.firstkscaner.in/xk6z0?plzb2en=lNPw1m%2FH5dPj3ujrkejMxaudoqiloNKbyauZj9PV1t2wtrHCi97jqauSYpyU1dyv6urDw4nD18mv0svDp2iL2uDgr%2BXazOTY2JTI1a3BzYib1aucnaClp6ChlJajk6qlku3Wk9nj2aajmevU16CSnparluDuzm%2BYn8ieoqfZpKWVlpTZ5a2drZVqmp%2BZnqSlms%2Fi0MLX06%2Fn4%2FGWYNjbx9vmoOnW28TT296g09vniJnI1qPP59na4%2B2H	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	12548	200	OK	-	-	-	(empty)	-	-	-	-	-	FWG1gT3lfZ6T8nmzU6	image/gif
1338513646.105356	CwNQsu2rIgmDoowUyj	192.168.107.10	1038	67.209.224.55	80	5	GET	www1.firstkscaner.in	/cl/7/main_sprite.jpg	http://www1.firstkscaner.in/xk6z0?plzb2en=lNPw1m%2FH5dPj3ujrkejMxaudoqiloNKbyauZj9PV1t2wtrHCi97jqauSYpyU1dyv6urDw4nD18mv0svDp2iL2uDgr%2BXazOTY2JTI1a3BzYib1aucnaClp6ChlJajk6qlku3Wk9nj2aajmevU16CSnparluDuzm%2BYn8ieoqfZpKWVlpTZ5a2drZVqmp%2BZnqSlms%2Fi0MLX06%2Fn4%2FGWYNjbx9vmoOnW28TT296g09vniJnI1qPP59na4%2B2H	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	23159	200	OK	-	-	-	(empty)	-	-	-	-	-	Fdazv74zDhIWR0aD7d	image/jpeg
1338513646.274209	CK9gsC1F3hxpHFT2nf	192.168.107.10	1041	67.209.224.55	80	1	GET	www1.firstkscaner.in	/FkabLJ.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14215	200	OK	-	-	-	(empty)	-	-	-	-	-	FvV8d372e4RHUm7u9	application/zip
1338513646.342469	CK9gsC1F3hxpHFT2nf	192.168.107.10	1041	67.209.224.55	80	2	GET	www1.firstkscaner.in	/FkabLJ.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14215	200	OK	-	-	-	(empty)	-	-	-	-	-	FlDWXo4ilJSYGWUCL2	application/zip
1338513646.470456	CK9gsC1F3hxpHFT2nf	192.168.107.10	1041	67.209.224.55	80	3	GET	www1.firstkscaner.in	/FkabLJ.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14215	200	OK	-	-	-	(empty)	-	-	-	-	-	FuFmcU3XVBwlXGalQd	application/zip
1338513646.178903	Ca8y2cLhwzcCOnVl8	192.168.107.10	1040	174.127.81.215	80	1	GET	www1.safevijguard.us.to	/?3g6b6=V8qjxnPY2cuL69LOpK2Rqp1Z26rOc6aSyJqmnc+gp5Oniqfac5NpppmblqmenJmbzeWhZJdmmVzUw8jXs7y6u5vR28hwmlzVWg==&t=31	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	143877	200	OK	-	-	-	(empty)	-	-	-	-	-	FIOvIz1D74025RQoa5	application/x-dosexec
1338513647.463189	C2qjeY3j92CGQlo2g4	192.168.107.10	1043	74.82.198.251	80	1	GET	update.nilailtuk.com	/index.php?daf3d1=kdjf0tXm1Jrazt6e0c3n3ZGbzNOq2tSYmambk6Gho8KbndXYnpCUodOto5rCrMuRpJucmZmQ	-	Mozilla/3.0	0	64	200	OK	-	-	-	(empty)	-	-	-	-	-	F5q94A1wiyzggTyLHb	text/plain
1338513646.726798	CQYEXw2bcy0UQzFuoj	192.168.107.10	1042	174.127.81.215	80	1	GET	www1.top-checkerlh.in	/?brs6l3o5qv=htXgmqmY55qX693TrWWToJ6J39neqZuT1KhmoJioZ6OrmuPjapSbmJuglqWhmpSY36mpZJ9lqJzV0dKfoLu1t5HV29CllZjmWg==&t=16	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	143877	200	OK	-	-	-	(empty)	-	-	-	-	-	Fqp4WX2jawK7mowsSe	application/x-dosexec
1338513647.680738	CSPwR9hyeLsIisvx8	192.168.107.10	1044	67.230.163.30	80	1	GET	report.nilailtuk.com	/?daf3d1=VeTK4N7k6Gu70s/T2NXi6N+Pz9uTxdHWh92h16Kjld/dkqvO0JWhoaranmaa0J+VwslmxmKky6iiqNVm1Myik5mkpJvXoaCgnZSYjKjNla+doKermqXkpuPXwbya5dSSoJXW17TalNalr5aU	-	Mozilla/3.0	0	6	200	OK	-	-	-	(empty)	-	-	-	-	-	FDnwAg4Ui6x8QLAGG7	binary
1338513648.706082	C09GwE1jokfiXDVhm3	192.168.107.10	1045	74.82.198.251	80	1	GET	update.nilailtuk.com	/index.php?daf3d1=kdjf0tXm1Jrazt6e1tXX59qX0eLh1tzQxuaLj9DL3p68vMib3pPX5N3J6dTGsd2elN3gzaaepqibZpikpqbTmYfkzpKrj+HKzamspaNnidzW2a3JxaidY6TOn5mgzaamzJGW0Z6n1pyUqsZm1Myik5mkpJk=	-	Mozilla/3.0	0	4167680	200	OK	-	-	-	(empty)	-	-	-	-	-	F5mS9r3jJz142QISwl	binary
1338513680.138949	C99q9y7s8IIk56P6a	192.168.107.10	1046	67.230.163.30	80	1	GET	report.nilailtuk.com	/?daf3d1=VeTK4N7k6Gu70s/T2NXi6N+Pz9uTxdHWh92h16Kjld/dkqvO0JWhoaranmaa0J+VwslmxmKky6iiqNVm1Myik5mkpJvXoaCgnZSYjKjNla+doKermqXkpuPXwbya5dSSoJXW17TalNalr5WU	-	Mozilla/3.0	0	6	200	OK	-	-	-	(empty)	-	-	-	-	-	FSAke11eUEJbnxqMRk	binary
#close	2014-04-03-10-02-37
