#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-47-14
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1321987735.049816	CIdS0NcNYlTDfVObh	192.168.20.10	1030	66.96.160.134	80	1	GET	chopade.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	220	302	Found	-	-	-	(empty)	-	-	-	-	-	FY7mPg2Wg5qMpWCh7	text/html
1321987764.062483	CHmgC53X7WFNmT3bD6	192.168.20.10	1052	212.124.109.242	80	1	GET	212.124.109.242	/api/urls/?affid=20800	http://212.124.109.242	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; GTB0.0; .NET CLR 1.1.4322)	0	39	200	OK	-	-	-	(empty)	-	-	-	-	-	FRpsy13PYJhxXZI5Ii	text/plain
1321987762.506123	CjSEWu4FL6RjvQr1X1	192.168.20.10	1046	95.163.89.196	80	1	GET	zyzul.info	/w.php?f=149&e=1	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	416768	200	OK	-	-	-	(empty)	-	-	-	-	-	Fcpp9k3RlFif4hjKy1	application/x-dosexec
1321987771.466388	CbyMLb3kbezAnH4Bv6	192.168.20.10	1054	24.143.193.33	80	1	GET	fpdownload2.macromedia.com	/get/flashplayer/update/current/xml/version_en_win_ax.xml	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1568	200	OK	-	-	-	(empty)	-	-	-	-	-	FpRgoz1FXtPYC8XYNe	text/html
1321987771.81043	COnxv44Q4JwQ0yyf75	192.168.20.10	1050	188.40.61.79	80	4	GET	zqhg.org.in	/index6.php?b=0&src=72&gpr=11&tkr=11221847414153111&tkri=4ad9246240f00620fcd9d3495ebfe780&tkrb=aed2be08a1f1e803fcfd14cb24e6051e&e=3	http://zqhg.org.in/index5.php?src=72&gpr=11&tkr=11221847414153111&tkri=4ad9246240f00620fcd9d3495ebfe780&tkrb=aed2be08a1f1e803fcfd14cb24e6051e	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3195	200	OK	-	-	-	(empty)	-	-	-	-	-	FhwxGL2CPDlSTRqTii	text/plain
1321987771.441486	CYxkNh21pieqRGN1Ak	192.168.20.10	1051	95.163.89.196	80	2	GET	zyzul.info	/content/score.swf	http://zyzul.info/content/field.swf	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6754	200	OK	-	-	-	(empty)	-	-	-	-	-	FqgaN5229vxKJqJfnh	application/x-shockwave-flash
1321987771.949386	COnxv44Q4JwQ0yyf75	192.168.20.10	1050	188.40.61.79	80	5	GET	zqhg.org.in	/index4.php?src=72&gpr=11&tkr=11221847414153111&tkri=4ad9246240f00620fcd9d3495ebfe780&e=10&	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	104960	200	OK	-	-	-	(empty)	-	-	-	-	-	FGgNh32TCDPnCx6JIe	application/x-dosexec
1321987772.782917	CY6OMo2evMfjNTNQo1	192.168.20.10	1044	219.90.118.78	80	1	GET	3680138830	/dfbgeskdfa/Gmail.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	4349	200	OK	-	-	-	(empty)	-	-	-	-	-	FKcgHa1Q1BwWtCHcY8	application/x-java-applet
1321987771.518362	CdyPQu1JU1UTcjfltf	192.168.20.10	1047	219.90.118.78	80	1	GET	3680138830	/dfbgeskdfa/Gmail.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	4349	200	OK	-	-	-	(empty)	-	-	-	-	-	FIFhpp4ysrUiVR9eFd	application/x-java-applet
1321987774.330915	Cbhh01pCtrKlbRBFj	192.168.20.10	1058	188.40.61.79	80	1	GET	rubop.co.in	http://rubop.co.in/data/591	-	Mozilla/4.0 (compatible; 2600.xpsp_sp2_rtm.040803-2158; uid=12f70000ac070000046f6b50; MSIE 6.0.2900.2180;)	0	193222	200	OK	-	-	-	(empty)	-	-	-	-	-	FxfBsm2XH4fO0sg9N	binary
1321987777.345669	CJ5BnY2MHduLFob7e4	192.168.20.10	1059	95.163.89.197	80	1	OPTIONS	95.163.89.197	/	-	Microsoft-WebDAV-MiniRedir/5.1.2600	0	166	405	Not Allowed	-	-	-	(empty)	-	-	-	-	-	Fgua9T2kOOzYubqs95	text/html
1321987770.221036	CnlaFbQEOtgof102k	192.168.20.10	1053	188.72.198.195	80	1	GET	188.72.198.195	/1.exe?affid=20800	http://188.72.198.195	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; GTB0.0; .NET CLR 1.1.4322)	0	231936	200	OK	-	-	-	(empty)	-	-	-	-	-	F4JjnG1qHcvdU3ED5e	application/x-dosexec
1321987762.903575	C3S0cs4YlZ64jArzf8	192.168.20.10	1048	219.90.118.78	80	1	GET	3680138830	/dfbgeskdfa/Gmail.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	4349	200	OK	-	-	-	(empty)	-	-	-	-	-	FCMcEA4foBms1GGW24	application/x-java-applet
1321987778.72639	C6UFha2GdXhwPymjGc	192.168.20.10	1060	188.40.61.79	80	1	GET	rubop.co.in	http://rubop.co.in/count.php?u=351&e=591&r=1&sz=193214	-	Mozilla/4.0 (compatible; 2600.xpsp_sp2_rtm.040803-2158; uid=12f70000ac070000046f6b50; MSIE 6.0.2900.2180;)	0	19	200	OK	-	-	-	(empty)	-	-	-	-	-	FARAU21WWHwC1TsZsa	text/plain
1321987794.019758	CwCxzT3zF5DmW3Q8N4	192.168.20.10	1061	212.124.109.242	80	1	GET	212.124.109.242	/api/stats/install/?affid=20800&ver=1015	http://212.124.109.242	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; GTB0.0; .NET CLR 1.1.4322)	0	296	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FOEkYz46uhEO652RA6	text/html
1321987773.171156	COJWQX3F1NRgC2E8h5	192.168.20.10	1057	95.163.89.196	80	1	GET	zyzul.info	/w.php?f=149&e=0	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	88446	200	OK	-	-	-	(empty)	-	-	-	-	-	FB7iL423IrY6Ao9Bai	application/x-dosexec
#close	2014-04-03-10-47-15
