#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-09-50-43
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1337804055.611371	CD2x0L1Ta9BpqlO8Wg	192.168.21.10	1031	46.20.229.1	80	9	GET	www.thelocal.de	/images/core/menutop.png	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	178	200	OK	-	-	-	(empty)	-	-	-	-	-	FYZVFi3VxgG9pB3y0i	image/png
1337804055.681425	C9h0OF44fu1MjyruL7	192.168.21.10	1046	91.103.137.3	80	1	GET	www.meetic-partners.com	/call/adj/79518/508348/thelocal_meetic_de.meeticcorp//1337803742/no?	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	949	302	Object moved	-	-	-	(empty)	-	-	-	-	-	FPYgRF17IsiXnA38vb	text/html
1337804055.887658	C9h0OF44fu1MjyruL7	192.168.21.10	1046	91.103.137.3	80	2	GET	www.meetic-partners.com	/a/diff/58/508348/show5.asp?508348;79518;0;1337803742;M;systemtarget=$a=0t;$cn=US_CA;$isp=0;$qc=1309533339;$ql=unknown;$qpc=95008;$qpp=408;$qt=152_2199_38774t;$b=11060;$o=11051	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	849	200	OK	-	-	-	(empty)	-	-	-	-	-	Fbop9VJZxqUj48mM2	text/plain
1337804055.893322	CD2x0L1Ta9BpqlO8Wg	192.168.21.10	1031	46.20.229.1	80	10	GET	www.thelocal.de	/images/core/menubottom.png	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	178	200	OK	-	-	-	(empty)	-	-	-	-	-	FjK7j4Zg4HFR3Kguj	image/png
1337804055.580418	CJVBNk4JO1hkUuyqt	192.168.21.10	1045	91.229.91.170	80	1	GET	ads.sharethewords.net	/in/lashtely.php?showtopic=364551	http://eurostile.info/banners.cgi?advert_id=1&banner_id=1&chid=341aa8fca26bcff7830499c1c5f8e359	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	12938	200	OK	-	-	-	(empty)	-	-	-	-	-	FQzidP2oeDHofCrFC3	text/html
1337804056.076665	CteJGCX9xuPMaatCb	192.168.21.10	1048	208.93.137.140	80	1	GET	ced.sascdn.com	/diff/58/508348/300x300_radio_30-39_english_meetic.gif	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	202826	200	OK	-	-	-	(empty)	-	-	-	-	-	F3lzYb3uwgpAZgYyId	image/gif
1337804055.424216	CfZoBa1bIDntfaI396	192.168.21.10	1032	46.20.229.1	80	7	GET	www.thelocal.de	/articleImages/42719.jpg	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	45925	200	OK	-	-	-	(empty)	-	-	-	-	-	F4bGLO3V3M6r1sv2Gg	image/jpeg
1337804056.066636	C9h0OF44fu1MjyruL7	192.168.21.10	1046	91.103.137.3	80	3	GET	www.meetic-partners.com	/a/track/jsinfo.asp?sw=800&sh=600	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	274	302	Object moved	-	-	-	(empty)	-	-	-	-	-	FahEG54dFLeV1mYF31	text/html
1337804056.106167	CD2x0L1Ta9BpqlO8Wg	192.168.21.10	1031	46.20.229.1	80	11	GET	www.thelocal.de	/images/core/menubottom-separator.png	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	227	200	OK	-	-	-	(empty)	-	-	-	-	-	F3E4n23oNIlVY78n4c	image/png
1337804056.241662	CLjPzW2IbWGvOyAiBi	192.168.21.10	1047	74.125.71.156	80	1	GET	pagead2.googlesyndication.com	/pagead/show_ads.js	http://www.thelocal.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	10561	200	OK	-	-	-	(empty)	-	-	-	-	-	FnLOAK1tZ9JXdWXOk	text/plain
