#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-09-51-18
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1323296163.240078	CUMVit23fVRTT3NPNi	192.168.120.10	1033	74.125.229.166	80	7	GET	www.youtube.com	/v/DPt-gvsPuoQ&rel=1&color1=d6d6d6&color2=f0f0f0&border=	http://www.nagnews.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1145	200	OK	-	-	-	(empty)	-	-	-	-	-	F4ev1mNaMORJINN2l	application/x-shockwave-flash
1323296163.299209	CwvKEQR1fEJECYHU1	192.168.120.10	1038	74.125.229.232	80	1	GET	i3.ytimg.com	/crossdomain.xml	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	102	200	OK	-	-	-	(empty)	-	-	-	-	-	FVCTJU1YQ9zRZQF3xj	application/xml
1323296163.299918	CB7CHp25Xj8Hn45wdj	192.168.120.10	1039	74.125.229.231	80	1	GET	i2.ytimg.com	/crossdomain.xml	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	102	200	OK	-	-	-	(empty)	-	-	-	-	-	FXBulE1GXyLaSaN9P9	application/xml
1323296163.315264	COFemm18CXRUMpkBz2	192.168.120.10	1040	74.125.229.230	80	1	GET	i1.ytimg.com	/crossdomain.xml	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	102	200	OK	-	-	-	(empty)	-	-	-	-	-	FLWPff1yfZzIsm6tp5	application/xml
1323296163.301146	CmJBXGlDL2QGX4RO9	192.168.120.10	1036	74.125.229.166	80	4	GET	www.youtube.com	/v/hIrFollH3rU&rel=1&color1=d6d6d6&color2=f0f0f0&border=	http://www.nagnews.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1151	200	OK	-	-	-	(empty)	-	-	-	-	-	FOsxRW324fKOEDhfs2	application/x-shockwave-flash
1323296163.300621	CfDOvg1LLxWwNCmQA1	192.168.120.10	1032	72.167.131.113	80	12	GET	www.nagnews.com	/blog/wp-content/themes/metamorph_greenfield/images/back_all1.jpg	http://www.nagnews.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	59577	200	OK	-	-	-	(empty)	-	-	-	-	-	FsZLUS3cgIWz71tThi	image/jpeg
1323296163.455813	CfDOvg1LLxWwNCmQA1	192.168.120.10	1032	72.167.131.113	80	13	GET	www.nagnews.com	/blog/wp-content/themes/metamorph_greenfield/images/buttons.gif	http://www.nagnews.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	407	200	OK	-	-	-	(empty)	-	-	-	-	-	FXZsYd1ISaqLCsxyul	image/gif
1323296163.510742	CfDOvg1LLxWwNCmQA1	192.168.120.10	1032	72.167.131.113	80	14	GET	www.nagnews.com	/blog/wp-content/themes/metamorph_greenfield/images/title.gif	http://www.nagnews.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3020	200	OK	-	-	-	(empty)	-	-	-	-	-	FtFmYG162fYw9WaDf	image/gif
1323296163.547562	CmJBXGlDL2QGX4RO9	192.168.120.10	1036	74.125.229.166	80	5	GET	www.youtube.com	/v/hIrFollH3rU&rel=1&color1=d6d6d6&color2=f0f0f0&border=	http://www.nagnews.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1150	200	OK	-	-	-	(empty)	-	-	-	-	-	FcEfzA2E6rdsJhjuEd	application/x-shockwave-flash
1323296160.883056	CcvIKz2yOQa1GzGSUh	192.168.120.10	1031	72.167.131.113	80	1	GET	www.nagnews.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	34004	200	OK	-	-	-	(empty)	-	-	-	-	-	F5hI4S3oZoCjjJNGA9	text/html
1323296163.729019	COFemm18CXRUMpkBz2	192.168.120.10	1040	74.125.229.230	80	2	GET	i1.ytimg.com	/vi/HYhRpbqe1Zg/hqdefault.jpg	http://s.ytimg.com/yt/swfbin/cps-vflJOcp78.swf	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	10654	200	OK	-	-	-	(empty)	-	-	-	-	-	FcPQ9S2iYl7lF2iOr	image/jpeg
1323296163.736521	CB7CHp25Xj8Hn45wdj	192.168.120.10	1039	74.125.229.231	80	2	GET	i2.ytimg.com	/vi/5L7MS8dwvRc/hqdefault.jpg	http://s.ytimg.com/yt/swfbin/cps-vflJOcp78.swf	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	13678	200	OK	-	-	-	(empty)	-	-	-	-	-	FCATeN23Fr7GHKDZ36	image/jpeg
1323296163.738523	CwvKEQR1fEJECYHU1	192.168.120.10	1038	74.125.229.232	80	2	GET	i3.ytimg.com	/vi/bsGm-DqbmSA/hqdefault.jpg	http://s.ytimg.com/yt/swfbin/cps-vflJOcp78.swf	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	8792	200	OK	-	-	-	(empty)	-	-	-	-	-	FqEW3g1psWvVSLDY94	image/jpeg
