#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-14-44
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1319848031.524473	Cj1Hps2gOxLoQ39dX9	192.168.1.10	1030	109.236.82.74	80	1	GET	thenpq.in	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	233	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FROFIC15jPavNKUaFe	text/html
1319848034.618434	CWK2Do2BF2OeYD9h0e	192.168.1.10	1045	109.236.82.61	80	1	GET	1844204093	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8529	200	OK	-	-	-	(empty)	-	-	-	-	-	FTxzYf2gZ6kIDekYA	application/x-java-applet
1319848034.630213	C3RPCf2RXNuYAFaqQ8	192.168.1.10	1048	109.236.82.61	80	1	GET	1844204093	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8529	200	OK	-	-	-	(empty)	-	-	-	-	-	FYsBFm47eRTwNDq6G8	application/x-java-applet
1319848034.638914	CzDOIu3mSI7W4OyGue	192.168.1.10	1047	109.236.82.61	80	1	GET	1844204093	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8529	200	OK	-	-	-	(empty)	-	-	-	-	-	FnyEgt4oChypyuBRHg	application/x-java-applet
1319848034.637696	C9EoHj3zihXQIWzrz5	192.168.1.10	1049	109.236.82.61	80	1	GET	1844204093	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8529	200	OK	-	-	-	(empty)	-	-	-	-	-	FCBoLcYYMq4LGr6Q	application/x-java-applet
1319848034.658188	C6RKEG2qKVzlp4ajic	192.168.1.10	1050	109.236.82.61	80	1	GET	1844204093	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8529	200	OK	-	-	-	(empty)	-	-	-	-	-	FFQNLS3F6PAfKBiCFf	application/x-java-applet
1319848034.665077	CGTlIH128Wj2tWBcs6	192.168.1.10	1051	109.236.82.61	80	1	GET	1844204093	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8529	200	OK	-	-	-	(empty)	-	-	-	-	-	FCHlcC3v5UNjtqy5yf	application/x-java-applet
1319848034.803932	CqjfJN2VrgM9Yz2Tpb	192.168.1.10	1052	109.236.82.61	80	1	GET	cyberab.in	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	5875	200	OK	-	-	-	(empty)	-	-	-	-	-	F8QJse3jKRNdj22Sh9	application/jar
1319848034.630516	C9kWw4264tN5YmV9l9	192.168.1.10	1046	109.236.82.61	80	1	GET	cyberab.in	/dl/apache.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	18854	200	OK	-	-	-	(empty)	-	-	-	-	-	Fzc4LYEMma9DScN8d	application/jar
1319848035.352408	CPMLoK29IWJ6vY1Q0c	192.168.1.10	1054	109.236.82.61	80	1	GET	cyberab.in	/dl/apache.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	18854	200	OK	-	-	-	(empty)	-	-	-	-	-	FIm9if2cdOlLnGrToh	application/jar
1319848035.969706	CFp5UD1ZI3N8hiLBR6	192.168.1.10	1055	109.236.82.61	80	1	GET	cyberab.in	/dl/jsm_text.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	506	200	OK	-	-	-	(empty)	-	-	-	-	-	FFORP936gPLmpB3vz3	binary
1319848036.195645	CHOq9v14Ck10b4I2pe	192.168.1.10	1057	109.236.82.61	80	1	GET	cyberab.in	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	5875	200	OK	-	-	-	(empty)	-	-	-	-	-	FsaaU53Ho9kwGO0O09	application/jar
1319848036.018589	CdRSdT2kCypjj2W90b	192.168.1.10	1056	109.236.82.61	80	1	GET	cyberab.in	/dl/dl.php?1	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	58880	200	OK	-	-	-	(empty)	-	-	-	-	-	F1vwiv4BlPhjifb5Ab	application/x-dosexec
1319848034.964405	CsuxzA18KTB6DTVfR5	192.168.1.10	1053	109.236.82.61	80	1	GET	109.236.82.61	/dl/dl.php?4	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	58880	200	OK	-	-	-	(empty)	-	-	-	-	-	FgiAbo3WRAePc1Vngl	application/x-dosexec
1319848036.891	CE55S92l2A89YP23W8	192.168.1.10	1059	94.199.48.206	80	1	GET	advbeacon.net	/adv.php?i=6&rnd=8890	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	155	200	OK	-	-	-	(empty)	-	-	-	-	-	FE59lj3CQc6IEEsEC9	text/html
1319848040.826511	C4LWrp3NiNL7IaSRLe	192.168.1.10	1060	216.18.215.3	80	1	GET	feed.bizzclick.com	/click.php?id=psSz8VjsBBVKwYziA52o1ub-IeQWUKljaLFs0yXPu2NxTf0H4W042aNCeBsPdQWDbwGkLhjSM1NY1IJfCJBycWDX2EE,	http://advbeacon.net/adv.php?i=6&rnd=8890	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1319848040.922932	COcndj2Cb0NFseSyz8	192.168.1.10	1061	64.106.198.74	80	1	GET	dc1e.3vg58t1.com	/ct?version=7.0.0&key=2972963358057556992.3174823&ci=1319847920395.473	http://advbeacon.net/adv.php?i=6&rnd=8890	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1319848040.951267	COcndj2Cb0NFseSyz8	192.168.1.10	1061	64.106.198.74	80	2	GET	dc1e.3vg58t1.com	/ct?ctcookie_value=1319847923941.C93932E0873B3BDFC0F0EFD46DF65F03&version=7.0.0&key=2972963358057556992.3174823&ci=1319847920395.473	http://advbeacon.net/adv.php?i=6&rnd=8890	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1319848041.066253	CWCj2g3ujSMZawLRIa	192.168.1.10	1062	206.188.31.73	80	1	GET	5.ampnetwork.net	/?sid=M1B+XH1eQy17Dz0FHQkkIUlGRGxgAXoAZVsANnwHeAUeW3thB09TaGcJfQxpXwY2eQNnBgJdZX8DWUpiKwI=	http://advbeacon.net/adv.php?i=6&rnd=8890	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4311	200	OK	-	-	-	(empty)	-	-	-	-	-	FyZ8I3t4n2e1YRy8	text/html
1319848041.165025	COcndj2Cb0NFseSyz8	192.168.1.10	1061	64.106.198.74	80	3	GET	dc1e.3vg58t1.com	/bounce?click_id=1767259665&m_width=800&m_height=600&b_width=572&b_height=401&b_top=45&b_left=26&in_iframe=0	http://5.ampnetwork.net/?sid=M1B%2BXH1eQy17Dz0FHQkkIUlGRGxgAXoAZVsANnwHeAUeW3thB09TaGcJfQxpXwY2eQNnBgJdZX8DWUpiKwI%3D	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1319848041.357516	CWYpsc3nJLL9HrBTnf	192.168.1.10	1063	206.188.31.73	80	1	GET	www.localdouble.com	/yb/search.php?what=lyric&where=toccoa,ga&ps=473_2109538379	http://5.ampnetwork.net/?sid=M1B%2BXH1eQy17Dz0FHQkkIUlGRGxgAXoAZVsANnwHeAUeW3thB09TaGcJfQxpXwY2eQNnBgJdZX8DWUpiKwI%3D	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	15492	302	Found	-	-	-	(empty)	-	-	-	-	-	FglKVp2Sm8zsUAaEzf	text/html
1319848042.227707	CWYpsc3nJLL9HrBTnf	192.168.1.10	1063	206.188.31.73	80	2	GET	www.localdouble.com	/yb/index.php?what=lyric&who=&where=toccoa,ga&noresults=1	http://5.ampnetwork.net/?sid=M1B%2BXH1eQy17Dz0FHQkkIUlGRGxgAXoAZVsANnwHeAUeW3thB09TaGcJfQxpXwY2eQNnBgJdZX8DWUpiKwI%3D	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	37641	200	OK	-	-	-	(empty)	-	-	-	-	-	FOg3JM2VDkFvtmPhlc	text/html
1319848042.31757	CWYpsc3nJLL9HrBTnf	192.168.1.10	1063	206.188.31.73	80	3	GET	www.localdouble.com	/yb/localdouble_styles.css	http://www.localdouble.com/yb/index.php?what=lyric&who=&where=toccoa,ga&noresults=1	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7357	200	OK	-	-	-	(empty)	-	-	-	-	-	Fck3Yk4JFgZh3qQrKh	text/x-asm
1319848042.450117	CI7pl13eJvZdYwKISf	192.168.1.10	1065	74.125.229.46	80	1	GET	www.google-analytics.com	/ga.js	http://www.localdouble.com/yb/index.php?what=lyric&who=&where=toccoa,ga&noresults=1	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	31665	200	OK	-	-	-	(empty)	-	-	-	-	-	FfUwsnFL6H1li5gf3	text/plain
1319848042.425673	CWYpsc3nJLL9HrBTnf	192.168.1.10	1063	206.188.31.73	80	4	GET	www.localdouble.com	/yb/images/spacer.gif	http://www.localdouble.com/yb/index.php?what=lyric&who=&where=toccoa,ga&noresults=1	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	43	200	OK	-	-	-	(empty)	-	-	-	-	-	F6Y3Cf1GHFyQV0rcMl	image/gif
1319848042.497034	CWYpsc3nJLL9HrBTnf	192.168.1.10	1063	206.188.31.73	80	5	GET	www.localdouble.com	/yb/images/header_05.jpg	http://www.localdouble.com/yb/index.php?what=lyric&who=&where=toccoa,ga&noresults=1	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1696	200	OK	-	-	-	(empty)	-	-	-	-	-	FAxURu3yFC6kKr5VC1	image/jpeg
1319848042.562163	CI7pl13eJvZdYwKISf	192.168.1.10	1065	74.125.229.46	80	2	GET	www.google-analytics.com	/__utm.gif?utmwv=5.2.0&utms=1&utmn=84343187&utmhn=www.localdouble.com&utmcs=utf-8&utmsr=800x600&utmsc=24-bit&utmul=en-us&utmje=1&utmfl=10.0 r32&utmdt=Local Double : Twice the Local Information&utmhid=1205673844&utmr=http://5.ampnetwork.net/?sid=M1B%2BXH1eQy17Dz0FHQkkIUlGRGxgAXoAZVsANnwHeAUeW3thB09TaGcJfQxpXwY2eQNnBgJdZX8DWUpiKwI%3D&utmp=/yb/index.php?what=lyric&who=&where=toccoa,ga&noresults=1&utmac=UA-5973450-1&utmcc=__utma=36556093.591771323.1319862324.1319862324.1319862324.1;+__utmz=36556093.1319862324.1.1.utmcsr=5.ampnetwork.net|utmccn=(referral)|utmcmd=referral|utmcct=/;&utmu=q~	http://www.localdouble.com/yb/index.php?what=lyric&who=&where=toccoa,ga&noresults=1	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	35	200	OK	-	-	-	(empty)	-	-	-	-	-	FcV1Mf2DT9BGUEFhv8	image/gif
1319848042.496806	CIlqfM1zRqhjaYXmea	192.168.1.10	1064	206.188.31.73	80	1	GET	www.localdouble.com	/yb/images/header_01.jpg	http://www.localdouble.com/yb/index.php?what=lyric&who=&where=toccoa,ga&noresults=1	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4456	200	OK	-	-	-	(empty)	-	-	-	-	-	FYqGoi36caAE2UjMz2	image/jpeg
1319848042.568418	CWYpsc3nJLL9HrBTnf	192.168.1.10	1063	206.188.31.73	80	6	GET	www.localdouble.com	/yb/images/header_06.jpg	http://www.localdouble.com/yb/index.php?what=lyric&who=&where=toccoa,ga&noresults=1	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	746	200	OK	-	-	-	(empty)	-	-	-	-	-	FfdGu84JnyaxZaDT3g	image/jpeg
1319848042.643845	CIlqfM1zRqhjaYXmea	192.168.1.10	1064	206.188.31.73	80	2	GET	www.localdouble.com	/yb/images/header_07.jpg	http://www.localdouble.com/yb/index.php?what=lyric&who=&where=toccoa,ga&noresults=1	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	333	200	OK	-	-	-	(empty)	-	-	-	-	-	Fabh7v3x8ZdNSDizV6	image/jpeg
1319848042.644223	CWYpsc3nJLL9HrBTnf	192.168.1.10	1063	206.188.31.73	80	7	GET	www.localdouble.com	/yb/images/header_08.jpg	http://www.localdouble.com/yb/index.php?what=lyric&who=&where=toccoa,ga&noresults=1	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2798	200	OK	-	-	-	(empty)	-	-	-	-	-	F6ZvSe3v6phw3E8fn1	image/jpeg
1319848042.712166	CIlqfM1zRqhjaYXmea	192.168.1.10	1064	206.188.31.73	80	3	GET	www.localdouble.com	/yb/images/header_09.jpg	http://www.localdouble.com/yb/index.php?what=lyric&who=&where=toccoa,ga&noresults=1	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1604	200	OK	-	-	-	(empty)	-	-	-	-	-	F270QI2z3x6wk1kDPl	image/jpeg
1319848042.713567	CWYpsc3nJLL9HrBTnf	192.168.1.10	1063	206.188.31.73	80	8	GET	www.localdouble.com	/yb/images/header_11.jpg	http://www.localdouble.com/yb/index.php?what=lyric&who=&where=toccoa,ga&noresults=1	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	15298	200	OK	-	-	-	(empty)	-	-	-	-	-	Fyh3ED2APiBrhRk4Ah	image/jpeg
1319848042.784799	CIlqfM1zRqhjaYXmea	192.168.1.10	1064	206.188.31.73	80	4	GET	www.localdouble.com	/yb/images/header_10.jpg	http://www.localdouble.com/yb/index.php?what=lyric&who=&where=toccoa,ga&noresults=1	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1707	200	OK	-	-	-	(empty)	-	-	-	-	-	Fnnb0F4eEzT3StHN8k	image/jpeg
1319848042.785062	CWYpsc3nJLL9HrBTnf	192.168.1.10	1063	206.188.31.73	80	9	GET	www.localdouble.com	/yb/images/header_12.jpg	http://www.localdouble.com/yb/index.php?what=lyric&who=&where=toccoa,ga&noresults=1	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1453	200	OK	-	-	-	(empty)	-	-	-	-	-	FnllAA2NFRpF0g4CLc	image/jpeg
1319848042.854622	CWYpsc3nJLL9HrBTnf	192.168.1.10	1063	206.188.31.73	80	10	GET	www.localdouble.com	/yb/images/header_14.jpg	http://www.localdouble.com/yb/index.php?what=lyric&who=&where=toccoa,ga&noresults=1	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	358	200	OK	-	-	-	(empty)	-	-	-	-	-	FtF6wG14QbqDqZUhR7	image/jpeg
1319848042.854349	CIlqfM1zRqhjaYXmea	192.168.1.10	1064	206.188.31.73	80	5	GET	www.localdouble.com	/yb/images/header_13.jpg	http://www.localdouble.com/yb/index.php?what=lyric&who=&where=toccoa,ga&noresults=1	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	366	200	OK	-	-	-	(empty)	-	-	-	-	-	FGMtBF21K90fFxLzu1	image/jpeg
1319848042.921749	CWYpsc3nJLL9HrBTnf	192.168.1.10	1063	206.188.31.73	80	11	GET	www.localdouble.com	/yb/images/header_15.jpg	http://www.localdouble.com/yb/index.php?what=lyric&who=&where=toccoa,ga&noresults=1	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3861	200	OK	-	-	-	(empty)	-	-	-	-	-	FwOjGb2dIMnDF7Spbc	image/jpeg
1319848042.924298	CIlqfM1zRqhjaYXmea	192.168.1.10	1064	206.188.31.73	80	6	GET	www.localdouble.com	/yb/images/header_16.jpg	http://www.localdouble.com/yb/index.php?what=lyric&who=&where=toccoa,ga&noresults=1	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3261	200	OK	-	-	-	(empty)	-	-	-	-	-	F2LLuj3pgv1pxJ6xfg	image/jpeg
1319848042.990034	CWYpsc3nJLL9HrBTnf	192.168.1.10	1063	206.188.31.73	80	12	GET	www.localdouble.com	/yb/images/header_20.jpg	http://www.localdouble.com/yb/index.php?what=lyric&who=&where=toccoa,ga&noresults=1	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1114	200	OK	-	-	-	(empty)	-	-	-	-	-	FPbD4tb4HgN8B5VUa	image/jpeg
1319848042.992615	CIlqfM1zRqhjaYXmea	192.168.1.10	1064	206.188.31.73	80	7	GET	www.localdouble.com	/yb/images/header_21.jpg	http://www.localdouble.com/yb/index.php?what=lyric&who=&where=toccoa,ga&noresults=1	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	312	200	OK	-	-	-	(empty)	-	-	-	-	-	F6Ev23q0X6PeqETC1	image/jpeg
1319848043.058188	CWYpsc3nJLL9HrBTnf	192.168.1.10	1063	206.188.31.73	80	13	GET	www.localdouble.com	/yb/images/header_22.jpg	http://www.localdouble.com/yb/index.php?what=lyric&who=&where=toccoa,ga&noresults=1	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1618	200	OK	-	-	-	(empty)	-	-	-	-	-	FhPriC46ghqml1ux5k	image/jpeg
1319848043.05923	CIlqfM1zRqhjaYXmea	192.168.1.10	1064	206.188.31.73	80	8	GET	www.localdouble.com	/yb/images/header_23.jpg	http://www.localdouble.com/yb/index.php?what=lyric&who=&where=toccoa,ga&noresults=1	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1354	200	OK	-	-	-	(empty)	-	-	-	-	-	F391px1XA0IYkPtOB8	image/jpeg
1319848043.126469	CWYpsc3nJLL9HrBTnf	192.168.1.10	1063	206.188.31.73	80	14	GET	www.localdouble.com	/yb/images/header_24.jpg	http://www.localdouble.com/yb/index.php?what=lyric&who=&where=toccoa,ga&noresults=1	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	466	200	OK	-	-	-	(empty)	-	-	-	-	-	FJ7z7e2OsPW2Gzai3g	image/jpeg
1319848043.127834	CIlqfM1zRqhjaYXmea	192.168.1.10	1064	206.188.31.73	80	9	GET	www.localdouble.com	/yb/images/header_25.jpg	http://www.localdouble.com/yb/index.php?what=lyric&who=&where=toccoa,ga&noresults=1	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	431	200	OK	-	-	-	(empty)	-	-	-	-	-	FlEDX42dViDNNpnkik	image/jpeg
1319848043.193377	CWYpsc3nJLL9HrBTnf	192.168.1.10	1063	206.188.31.73	80	15	GET	www.localdouble.com	/yb/images/header_26.jpg	http://www.localdouble.com/yb/index.php?what=lyric&who=&where=toccoa,ga&noresults=1	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	426	200	OK	-	-	-	(empty)	-	-	-	-	-	F3ngoY2mv1pnfu8fv1	image/jpeg
1319848043.195269	CIlqfM1zRqhjaYXmea	192.168.1.10	1064	206.188.31.73	80	10	GET	www.localdouble.com	/yb/images/header_27.jpg	http://www.localdouble.com/yb/index.php?what=lyric&who=&where=toccoa,ga&noresults=1	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	326	200	OK	-	-	-	(empty)	-	-	-	-	-	FWJDBb4GxZs1BkODPl	image/jpeg
1319848043.260891	CWYpsc3nJLL9HrBTnf	192.168.1.10	1063	206.188.31.73	80	16	GET	www.localdouble.com	/yb/images/header_28.jpg	http://www.localdouble.com/yb/index.php?what=lyric&who=&where=toccoa,ga&noresults=1	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	325	200	OK	-	-	-	(empty)	-	-	-	-	-	FjBmyc3BXOLlEkXUNc	image/jpeg
1319848043.262597	CIlqfM1zRqhjaYXmea	192.168.1.10	1064	206.188.31.73	80	11	GET	www.localdouble.com	/yb/images/featured_01.gif	http://www.localdouble.com/yb/index.php?what=lyric&who=&where=toccoa,ga&noresults=1	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	324	200	OK	-	-	-	(empty)	-	-	-	-	-	FDgNQB3vGYLayYRX6c	image/gif
1319848043.32759	CWYpsc3nJLL9HrBTnf	192.168.1.10	1063	206.188.31.73	80	17	GET	www.localdouble.com	/yb/images/featured_03.gif	http://www.localdouble.com/yb/index.php?what=lyric&who=&where=toccoa,ga&noresults=1	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	211	200	OK	-	-	-	(empty)	-	-	-	-	-	Fncejc4RWt32py4KI1	image/gif
1319848043.329779	CIlqfM1zRqhjaYXmea	192.168.1.10	1064	206.188.31.73	80	12	GET	www.localdouble.com	/yb/images/featured_07.gif	http://www.localdouble.com/yb/index.php?what=lyric&who=&where=toccoa,ga&noresults=1	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	103	200	OK	-	-	-	(empty)	-	-	-	-	-	FEQAZZIaeKNHzGTgf	image/gif
1319848043.39525	CWYpsc3nJLL9HrBTnf	192.168.1.10	1063	206.188.31.73	80	18	GET	www.localdouble.com	/yb/images/featured_09.gif	http://www.localdouble.com/yb/index.php?what=lyric&who=&where=toccoa,ga&noresults=1	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	104	200	OK	-	-	-	(empty)	-	-	-	-	-	Fqt92n42uxRuVmR9l1	image/gif
1319848043.396835	CIlqfM1zRqhjaYXmea	192.168.1.10	1064	206.188.31.73	80	13	GET	www.localdouble.com	/yb/images/header_18.jpg	http://www.localdouble.com/yb/index.php?what=lyric&who=&where=toccoa,ga&noresults=1	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	13467	200	OK	-	-	-	(empty)	-	-	-	-	-	FtweBk1SgoZD877UP6	image/jpeg
1319848043.462209	CWYpsc3nJLL9HrBTnf	192.168.1.10	1063	206.188.31.73	80	19	GET	www.localdouble.com	/yb/images/header_17.jpg	http://www.localdouble.com/yb/index.php?what=lyric&who=&where=toccoa,ga&noresults=1	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	968	200	OK	-	-	-	(empty)	-	-	-	-	-	F5pF5f3lB7Ux8w3ne5	image/jpeg
1319848043.465639	CIlqfM1zRqhjaYXmea	192.168.1.10	1064	206.188.31.73	80	14	GET	www.localdouble.com	/yb/images/header_19.jpg	http://www.localdouble.com/yb/index.php?what=lyric&who=&where=toccoa,ga&noresults=1	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1188	200	OK	-	-	-	(empty)	-	-	-	-	-	FOVMPQcyon9uBSS9d	image/jpeg
