#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-23-01
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1337801078.608722	CppZWE49xuKesZFUxi	192.168.27.10	1030	216.146.38.125	80	1	GET	toytowngermany.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	-	-
1337801080.767755	Cg6elU3ixKdHxGpNH4	192.168.27.10	1036	173.241.250.2	80	4	GET	d1.openx.org	/apu.php?n=&zoneid=259637&target=_blank&ct0=638941170&popunder=1	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2346	200	OK	-	-	-	(empty)	-	-	-	-	-	FBWSXp45ygzETKwTBb	text/plain
1337801080.92048	C3QNZt4Le10SQCsMFk	192.168.27.10	1037	173.241.250.2	80	3	GET	d1.openx.org	/lg.php?bannerid=636420&campaignid=211354&zoneid=173979&loc=1&referer=http://www.toytowngermany.com/&cb=a8d075a84f&r_id=fb2d70e566f60af984d1f656f519fe1a&r_ts=m4hptv	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	43	200	OK	-	-	-	(empty)	-	-	-	-	-	F87ruy2eaWj7TupVua	image/gif
1337801080.95131	C2JcNV3NMKGmnkMq5i	192.168.27.10	1039	74.125.127.155	80	1	GET	pagead2.googlesyndication.com	/pagead/show_ads.js	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	10561	200	OK	-	-	-	(empty)	-	-	-	-	-	FZaRCr2cUBP8kNUtHl	text/plain
1337801081.018166	C2JcNV3NMKGmnkMq5i	192.168.27.10	1039	74.125.127.155	80	2	GET	pagead2.googlesyndication.com	/pagead/js/r20120516/r20120410/show_ads_impl.js	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	47921	200	OK	-	-	-	(empty)	-	-	-	-	-	F8N0Gs39hr4M9vjlXa	text/plain
1337801081.122199	C43sVitno7m91pHRk	192.168.27.10	1040	85.17.122.249	80	1	GET	eurostile.info	/banners.cgi?advert_id=1&banner_id=1&chid=341aa8fca26bcff7830499c1c5f8e359	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	628	200	OK	-	-	-	(empty)	-	-	-	-	-	Fgg6Q53TL5v0Rv24zj	text/html
1337801081.346778	C2JcNV3NMKGmnkMq5i	192.168.27.10	1039	74.125.127.155	80	3	GET	pagead2.googlesyndication.com	/pagead/render_ads.js	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	287	200	OK	-	-	-	(empty)	-	-	-	-	-	FIbBVGElPA33m62C8	text/plain
1337801081.438882	C2JcNV3NMKGmnkMq5i	192.168.27.10	1039	74.125.127.155	80	4	GET	pagead2.googlesyndication.com	/pagead/osd.js	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	10856	200	OK	-	-	-	(empty)	-	-	-	-	-	FFKc2B23actB4ilwE8	text/plain
1337801081.603414	Cg6elU3ixKdHxGpNH4	192.168.27.10	1036	173.241.250.2	80	5	GET	d1.openx.org	/lg.php?bannerid=771426&campaignid=358551&zoneid=166113&loc=http://www.toytowngermany.com/&cb=3c55339e1b&r_id=7cad8f125b9ab5a63ed0fdc94eac13d7&r_ts=m4hptv	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	43	200	OK	-	-	-	(empty)	-	-	-	-	-	Fct2xdy4yEN7qOc7g	image/gif
1337801081.60653	C3QNZt4Le10SQCsMFk	192.168.27.10	1037	173.241.250.2	80	4	GET	d1.openx.org	/lg.php?bannerid=766032&campaignid=355991&zoneid=166117&loc=http://www.toytowngermany.com/&cb=9846a6e40f&r_id=54646021350d59f236c8a9c5dcc3e43e&r_ts=m4hptv	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	43	200	OK	-	-	-	(empty)	-	-	-	-	-	F8VNQo3lwOWoI5Evp7	image/gif
1337801081.476314	CHDKGTMSppfgyJAy4	192.168.27.10	1041	74.125.127.154	80	1	GET	googleads.g.doubleclick.net	/pagead/ads?client=ca-pub-0953829391660321&output=html&h=90&slotname=6738056085&w=728&lmt=1337815361&ea=0&flash=10.0.32.18&url=http://www.toytowngermany.com/&dt=1337815361968&shv=r20120516&jsv=r20110914&saldr=1&correlator=1337815362062&frm=20&adk=320941997&ga_vid=1917109786.1337815362&ga_sid=1337815362&ga_hid=877314924&ga_fc=0&u_tz=-240&u_his=0&u_java=1&u_h=600&u_w=800&u_ah=600&u_aw=800&u_cd=24&u_nplug=0&u_nmime=0&dff=arial&dfs=13&adx=497&ady=627&biw=780&bih=444&oid=3&fu=0&ifi=1&dtd=203	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5255	200	OK	-	-	-	(empty)	-	-	-	-	-	F92Aq52bZcusW80yb	text/html
1337801081.665819	CJ3LDtyYOACKLPIz2	192.168.27.10	1043	198.87.51.16	80	1	GET	i-cdn.servedbyopenx.com	/273/2732b2df3db1100300d49e826d822014ea3e23e2/df0/df0037c02e5fa995a0ffc629988a9a7f.jpg	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	49545	200	OK	-	-	-	(empty)	-	-	-	-	-	Fx1N6MSfVznzgKwWb	image/jpeg
1337801081.665339	CB5mww4rhPS8DpOmyi	192.168.27.10	1042	198.87.51.16	80	1	GET	i-cdn.servedbyopenx.com	/273/2732b2df3db1100300d49e826d822014ea3e23e2/a3d/a3d0e8845d94b0a58e4486d44fb504e5.gif	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	55511	200	OK	-	-	-	(empty)	-	-	-	-	-	FQBUuB3uUhmdy0BRY4	image/gif
1337801081.476884	Cq5dV148VGNjvg4ht5	192.168.27.10	1032	46.20.229.2	80	2	GET	www.toytowngermany.com	/xtra/logo/tt_logo_global_60.png	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4304	200	OK	-	-	-	(empty)	-	-	-	-	-	FDbBBa4HN4Cppl29b	image/png
1337801081.47726	CYPFwtAInqLXROgA2	192.168.27.10	1031	46.20.229.2	80	3	GET	www.toytowngermany.com	/xtra/adverts/worldfirst.gif	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6316	200	OK	-	-	-	(empty)	-	-	-	-	-	F5wFaZ2WTLjOBevCh6	image/gif
1337801081.823878	C2JcNV3NMKGmnkMq5i	192.168.27.10	1039	74.125.127.155	80	5	GET	pagead2.googlesyndication.com	/simgad/14502167737633894052	http://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-0953829391660321&output=html&h=90&slotname=6738056085&w=728&lmt=1337815361&ea=0&flash=10.0.32.18&url=http%3A%2F%2Fwww.toytowngermany.com%2F&dt=1337815361968&shv=r20120516&jsv=r20110914&saldr=1&correlator=1337815362062&frm=20&adk=320941997&ga_vid=1917109786.1337815362&ga_sid=1337815362&ga_hid=877314924&ga_fc=0&u_tz=-240&u_his=0&u_java=1&u_h=600&u_w=800&u_ah=600&u_aw=800&u_cd=24&u_nplug=0&u_nmime=0&dff=arial&dfs=13&adx=497&ady=627&biw=780&bih=444&oid=3&fu=0&ifi=1&dtd=203	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	37867	200	OK	-	-	-	(empty)	-	-	-	-	-	FujciF2bFEZnkEjhR1	image/jpeg
1337801081.875797	C2JcNV3NMKGmnkMq5i	192.168.27.10	1039	74.125.127.155	80	6	GET	pagead2.googlesyndication.com	/pagead/images/ad_choices_i.png	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	365	200	OK	-	-	-	(empty)	-	-	-	-	-	FiqKKqThKF5NUCm7e	image/png
1337801081.904392	C2JcNV3NMKGmnkMq5i	192.168.27.10	1039	74.125.127.155	80	7	GET	pagead2.googlesyndication.com	/pagead/images/ad_choices_en.png	http://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-0953829391660321&output=html&h=90&slotname=6738056085&w=728&lmt=1337815361&ea=0&flash=10.0.32.18&url=http%3A%2F%2Fwww.toytowngermany.com%2F&dt=1337815361968&shv=r20120516&jsv=r20110914&saldr=1&correlator=1337815362062&frm=20&adk=320941997&ga_vid=1917109786.1337815362&ga_sid=1337815362&ga_hid=877314924&ga_fc=0&u_tz=-240&u_his=0&u_java=1&u_h=600&u_w=800&u_ah=600&u_aw=800&u_cd=24&u_nplug=0&u_nmime=0&dff=arial&dfs=13&adx=497&ady=627&biw=780&bih=444&oid=3&fu=0&ifi=1&dtd=203	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	776	200	OK	-	-	-	(empty)	-	-	-	-	-	FvpOWRx8HqmV2EFwg	image/png
1337801081.927855	C2JcNV3NMKGmnkMq5i	192.168.27.10	1039	74.125.127.155	80	8	GET	pagead2.googlesyndication.com	/pagead/images/ad_choices_en.png	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	776	200	OK	-	-	-	(empty)	-	-	-	-	-	FwvDWnmWbtfxXcqo2	image/png
1337801081.959641	C2JcNV3NMKGmnkMq5i	192.168.27.10	1039	74.125.127.155	80	9	GET	pagead2.googlesyndication.com	/pagead/js/r20120516/r20110914/abg.js	http://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-0953829391660321&output=html&h=90&slotname=6738056085&w=728&lmt=1337815361&ea=0&flash=10.0.32.18&url=http%3A%2F%2Fwww.toytowngermany.com%2F&dt=1337815361968&shv=r20120516&jsv=r20110914&saldr=1&correlator=1337815362062&frm=20&adk=320941997&ga_vid=1917109786.1337815362&ga_sid=1337815362&ga_hid=877314924&ga_fc=0&u_tz=-240&u_his=0&u_java=1&u_h=600&u_w=800&u_ah=600&u_aw=800&u_cd=24&u_nplug=0&u_nmime=0&dff=arial&dfs=13&adx=497&ady=627&biw=780&bih=444&oid=3&fu=0&ifi=1&dtd=203	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	725	200	OK	-	-	-	(empty)	-	-	-	-	-	FhkVrE3penDcm34NO6	text/plain
1337801081.83114	CIhdYD4pPqs60sUhrl	192.168.27.10	1045	27.121.104.59	80	1	GET	www.ukforex.co.uk	/partner-tools/CurrencyConverter/UK/w	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7260	200	OK	-	-	-	(empty)	-	-	-	-	-	FMBjXe3Ot2IKkMx5le	text/html
1337801081.993732	CHDKGTMSppfgyJAy4	192.168.27.10	1041	74.125.127.154	80	2	GET	googleads.g.doubleclick.net	/pagead/drt/s?v=r20120211	http://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-0953829391660321&output=html&h=90&slotname=6738056085&w=728&lmt=1337815361&ea=0&flash=10.0.32.18&url=http%3A%2F%2Fwww.toytowngermany.com%2F&dt=1337815361968&shv=r20120516&jsv=r20110914&saldr=1&correlator=1337815362062&frm=20&adk=320941997&ga_vid=1917109786.1337815362&ga_sid=1337815362&ga_hid=877314924&ga_fc=0&u_tz=-240&u_his=0&u_java=1&u_h=600&u_w=800&u_ah=600&u_aw=800&u_cd=24&u_nplug=0&u_nmime=0&dff=arial&dfs=13&adx=497&ady=627&biw=780&bih=444&oid=3&fu=0&ifi=1&dtd=203	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	143	200	OK	-	-	-	(empty)	-	-	-	-	-	FBmnL238hQ7vxBr0O8	text/html
1337801081.837138	Cq5dV148VGNjvg4ht5	192.168.27.10	1032	46.20.229.2	80	3	GET	www.toytowngermany.com	/xtra/frontpages2/images/2178584.jpg	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3835	200	OK	-	-	-	(empty)	-	-	-	-	-	FOrb9z2HwRvbK90j4l	image/jpeg
1337801081.841302	CYPFwtAInqLXROgA2	192.168.27.10	1031	46.20.229.2	80	4	GET	www.toytowngermany.com	/xtra/frontpages2/images/2717043.jpg	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4812	200	OK	-	-	-	(empty)	-	-	-	-	-	FJgfqD4owHUgNkznmg	image/jpeg
1337801082.013024	CIhdYD4pPqs60sUhrl	192.168.27.10	1045	27.121.104.59	80	2	GET	www.ukforex.co.uk	/Content/themes/ozforex/telerik.css	http://www.ukforex.co.uk/partner-tools/CurrencyConverter/UK/w	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	11063	200	OK	-	-	-	(empty)	-	-	-	-	-	FvBBuPoJGYMPY8m5	text/plain
1337801082.030765	Cwu6821MOOZREwIpb5	192.168.27.10	1052	93.184.216.119	80	1	GET	use.typekit.com	/kmf0idu.js	http://www.ukforex.co.uk/partner-tools/CurrencyConverter/UK/w	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	9	404	Not Found	-	-	-	(empty)	-	-	-	-	-	F2ILMM1eWpQEpvZOD	text/plain
1337801082.031161	Cq5dV148VGNjvg4ht5	192.168.27.10	1032	46.20.229.2	80	4	GET	www.toytowngermany.com	/xtra/frontpages2/images/2721005.jpg	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3372	200	OK	-	-	-	(empty)	-	-	-	-	-	Fub13x4axZfQxHyLm6	image/jpeg
1337801082.043022	CYPFwtAInqLXROgA2	192.168.27.10	1031	46.20.229.2	80	5	GET	www.toytowngermany.com	/xtra/images/the_local_logo.gif	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2968	200	OK	-	-	-	(empty)	-	-	-	-	-	F7leTSWrCexWxeL98	image/gif
1337801082.182241	CIhdYD4pPqs60sUhrl	192.168.27.10	1045	27.121.104.59	80	3	GET	www.ukforex.co.uk	/Content/themes/ozforex/styles.custom.css	http://www.ukforex.co.uk/partner-tools/CurrencyConverter/UK/w	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	12162	200	OK	-	-	-	(empty)	-	-	-	-	-	Fgu5uo3kg7gv1fWzc8	text/plain
1337801082.236179	CHfpKV397KqgMChD5i	192.168.27.10	1054	62.210.160.193	80	1	GET	www.easyvols.org	/formulaire/en/type_a/300x150_mevhcp.js	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	21628	200	OK	-	-	-	(empty)	-	-	-	-	-	F9Gv9S1EonsxCjoiVg	text/html
1337801082.212445	Cq5dV148VGNjvg4ht5	192.168.27.10	1032	46.20.229.2	80	5	GET	www.toytowngermany.com	/xtra/frontpages2/images_gallery/8766.jpg	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5746	200	OK	-	-	-	(empty)	-	-	-	-	-	FT3KGk46RzYVycyA43	image/jpeg
1337801081.905508	CzT4P140El1MVmuOs5	192.168.27.10	1044	91.229.91.170	80	1	GET	ads.sharethewords.net	/in/lashtely.php?showtopic=364551	http://eurostile.info/banners.cgi?advert_id=1&banner_id=1&chid=341aa8fca26bcff7830499c1c5f8e359	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	12938	200	OK	-	-	-	(empty)	-	-	-	-	-	FYkEBZ1ffP0bGCkzek	text/html
1337801082.38303	CIhdYD4pPqs60sUhrl	192.168.27.10	1045	27.121.104.59	80	4	GET	www.ukforex.co.uk	/Content/themes/ozforex/toolkit.css	http://www.ukforex.co.uk/partner-tools/CurrencyConverter/UK/w	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	12391	200	OK	-	-	-	(empty)	-	-	-	-	-	Fm55Vao20VudvIwK1	text/plain
1337801082.413516	CHfpKV397KqgMChD5i	192.168.27.10	1054	62.210.160.193	80	2	GET	www.easyvols.org	/base/js/pileForms.js	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	11723	200	OK	-	-	-	(empty)	-	-	-	-	-	FQrcDCJen15BOm915	text/plain
1337801082.398781	Cq5dV148VGNjvg4ht5	192.168.27.10	1032	46.20.229.2	80	6	GET	www.toytowngermany.com	/xtra/frontpages2/images_gallery/3565.jpg	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	9337	200	OK	-	-	-	(empty)	-	-	-	-	-	FrnQ7Wd8hH7jdZFwg	image/jpeg
1337801082.226898	CYPFwtAInqLXROgA2	192.168.27.10	1031	46.20.229.2	80	6	GET	www.toytowngermany.com	/xtra/frontpages2/images_gallery/20171.jpg	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	10056	200	OK	-	-	-	(empty)	-	-	-	-	-	F4BkHD3nYU6ZtXnmxb	image/jpeg
1337801082.181902	C3CumtfKGwGahIlvl	192.168.27.10	1051	27.121.104.59	80	1	GET	www.ukforex.co.uk	/Content/themes/ozforex/styles.css	http://www.ukforex.co.uk/partner-tools/CurrencyConverter/UK/w	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	77596	200	OK	-	-	-	(empty)	-	-	-	-	-	FlHeCY3j7zbnKwqrN3	text/plain
1337801082.583155	Cq5dV148VGNjvg4ht5	192.168.27.10	1032	46.20.229.2	80	7	GET	www.toytowngermany.com	/xtra/frontpages2/images_gallery/16173.jpg	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6468	200	OK	-	-	-	(empty)	-	-	-	-	-	FMr3RW2vbF3jjAbOul	image/jpeg
1337801082.590735	CYPFwtAInqLXROgA2	192.168.27.10	1031	46.20.229.2	80	7	GET	www.toytowngermany.com	/forum/public/style_images/toytown/search_icon.png	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	637	200	OK	-	-	-	(empty)	-	-	-	-	-	FFQ71V1bSxbQaw2ch4	image/png
1337801082.933319	CHfpKV397KqgMChD5i	192.168.27.10	1054	62.210.160.193	80	3	GET	www.easyvols.org	/base/js/rjs.js	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	9973	200	OK	-	-	-	(empty)	-	-	-	-	-	FFqr9xTt7iyTlrxP7	text/plain
1337801082.964661	CIhdYD4pPqs60sUhrl	192.168.27.10	1045	27.121.104.59	80	5	GET	www.ukforex.co.uk	/Scripts/jquery-1.5.1.min.js	http://www.ukforex.co.uk/partner-tools/CurrencyConverter/UK/w	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	85497	200	OK	-	-	-	(empty)	-	-	-	-	-	FZmJPA4EmoqoqBW4Tb	text/plain
1337801082.964176	C3CumtfKGwGahIlvl	192.168.27.10	1051	27.121.104.59	80	2	GET	www.ukforex.co.uk	/Content/themes/ozforex/fonts/NettoOffc.eot	http://www.ukforex.co.uk/partner-tools/CurrencyConverter/UK/w	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	81216	200	OK	-	-	-	(empty)	-	-	-	-	-	FPADww33xXNQYdqNl8	application/vnd.ms-fontobject
1337801082.560155	CzT4P140El1MVmuOs5	192.168.27.10	1044	91.229.91.170	80	2	GET	ads.sharethewords.net	/in/laselack.php	http://ads.sharethewords.net/in/lashtely.php?showtopic=364551	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4912	200	OK	-	-	-	(empty)	-	-	-	-	-	FwHqmm4w8oNt8ev7I6	application/pdf
1337801082.57587	CGfsJTSeM6WqNsny4	192.168.27.10	1056	62.210.160.193	80	1	GET	www.easyvols.org	/base/js/tools.js	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	159564	200	OK	-	-	-	(empty)	-	-	-	-	-	FHT04N1oDwD4kJnPPd	text/plain
1337801083.779038	CIhdYD4pPqs60sUhrl	192.168.27.10	1045	27.121.104.59	80	6	GET	www.ukforex.co.uk	/Scripts/custom.swfobject.js	http://www.ukforex.co.uk/partner-tools/CurrencyConverter/UK/w	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7031	200	OK	-	-	-	(empty)	-	-	-	-	-	FWhSLmhEhmk3mVdk7	text/plain
1337801083.722247	CHfpKV397KqgMChD5i	192.168.27.10	1054	62.210.160.193	80	4	GET	www.easyvols.org	/base/js/formMEV.js	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	44867	200	OK	-	-	-	(empty)	-	-	-	-	-	FeaaYR2b5hgY8qt7I5	text/plain
1337801084.701466	CHfpKV397KqgMChD5i	192.168.27.10	1054	62.210.160.193	80	5	GET	www.easyvols.org	/base/js/formMEH.js	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	29045	200	OK	-	-	-	(empty)	-	-	-	-	-	FFzPyb4LDyigyQDcka	text/plain
1337801084.708132	CGfsJTSeM6WqNsny4	192.168.27.10	1056	62.210.160.193	80	2	GET	www.easyvols.org	/base/js/formMEC.js	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	28413	200	OK	-	-	-	(empty)	-	-	-	-	-	FNUbDx2KE75Rz3QoR7	text/plain
1337801105.159809	Cqu8Xt4RGp9bG0AZFk	192.168.27.10	1058	62.210.160.193	80	1	GET	www.easyvols.org	/base/js/completion.js	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	14337	200	OK	-	-	-	(empty)	-	-	-	-	-	FH83l84oflNNvIwuI6	text/plain
