#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-09-34
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1337921463.741506	CexJua16VVUkDrPaW5	192.168.83.10	1043	178.162.167.31	80	8	GET	178.162.167.31	/752912.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	666	200	OK	-	-	-	(empty)	-	-	-	-	-	FNAf4D2184e1zwwUU4	binary
1337921474.048508	CExYtk3yULcYAlQHMh	192.168.83.10	1046	208.91.207.10	80	1	GET	promos.fling.com	/geo/txt/city.php	-	-	0	29	200	OK	-	-	-	(empty)	-	-	-	-	-	FQFW6u3sQJMbrgTMKf	text/plain
1337921475.595312	C5aI7Dntv3DQr0fD3	192.168.83.10	1047	209.208.79.128	80	1	GET	livecounter.co	/count.php?id=526&c=1&d=7&s=0	-	Opera/9 (Windows NT 5.1; US; x86)	0	298	200	OK	-	-	-	(empty)	-	-	-	-	-	F8g0jM1AuJFaa1xV88	image/gif
1337921475.686434	C5cIyt16xO126oGPUb	192.168.83.10	1049	209.208.79.128	80	1	GET	livecounter.co	/count.php?id=526&c=2&d=7&s=121	-	Opera/9 (Windows NT 5.1; US; x86)	0	687	200	OK	-	-	-	(empty)	-	-	-	-	-	F8GnMo2Ou7HdZ3t5N3	image/gif
1337921476.835637	CP73Mo4KzNgr0U7O69	192.168.83.10	1051	209.208.79.128	80	1	GET	livecounter.co	/count.php?id=526&c=3&d=7&s=130	-	Opera/9 (Windows NT 5.1; US; x86)	0	669	200	OK	-	-	-	(empty)	-	-	-	-	-	FOargz22h21N6GbJB9	image/gif
1337921476.894162	CfFkcjXHnDoI7V1oh	192.168.83.10	1053	209.208.79.128	80	1	GET	livecounter.co	/count.php?id=526&c=4&d=7&s=131	-	Opera/9 (Windows NT 5.1; US; x86)	0	2075	200	OK	-	-	-	(empty)	-	-	-	-	-	FX5gVB1XHj2RxlTfwd	image/gif
1337921476.957118	CNaTle3oC9Eg4ep6Pf	192.168.83.10	1055	209.208.79.128	80	1	GET	livecounter.co	/count.php?id=526&c=5&d=7&s=1	-	Opera/9 (Windows NT 5.1; US; x86)	0	1495	200	OK	-	-	-	(empty)	-	-	-	-	-	FdBEQt4e4f4XiwTpkb	image/gif
1337921476.988309	CrvMZy3xQZnDqA7182	192.168.83.10	1057	209.208.79.128	80	1	GET	livecounter.co	/count.php?id=526&c=6&d=7&s=20	-	Opera/9 (Windows NT 5.1; US; x86)	0	593	200	OK	-	-	-	(empty)	-	-	-	-	-	FI6Q5A4g5xT1te4ypi	image/gif
1337921479.845496	CvvC3L1h6gicgSZ80g	192.168.83.10	1062	209.208.79.128	80	1	GET	livecounter.co	/count.php?id=526&c=7&d=7&s=21	-	Opera/9 (Windows NT 5.1; US; x86)	0	1076	200	OK	-	-	-	(empty)	-	-	-	-	-	FCvATv4YOrMdxqsZd5	image/gif
1337921479.268682	CDvWxN1GHz2v7z6Gj2	192.168.83.10	1059	220.164.140.246	80	1	GET	220.164.140.246	/api/urls/?ts=9327efea&affid=56300	220.164.140.246	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; GTB0.0; .NET CLR 1.1.4322)	0	56	200	OK	-	-	-	(empty)	-	-	-	-	-	FJcnvF2r6QZsd8kfGe	text/plain
1337921480.214894	CPLMDw3c2R01Baomeh	192.168.83.10	1065	209.208.79.128	80	1	GET	livecounter.co	/count.php?id=526&c=8&d=7&s=30	-	Opera/9 (Windows NT 5.1; US; x86)	0	2217	200	OK	-	-	-	(empty)	-	-	-	-	-	FLn2DD2FB6GDv8G0ra	image/gif
1337921480.273748	C9uJpg3nhnRbQR2rW8	192.168.83.10	1067	209.208.79.128	80	1	GET	livecounter.co	/count.php?id=526&c=9&d=7&s=31	-	Opera/9 (Windows NT 5.1; US; x86)	0	585	200	OK	-	-	-	(empty)	-	-	-	-	-	FFbOeHeHcPouZ8fV7	image/gif
1337921479.751328	CkfIax4ekSdlsnOd8c	192.168.83.10	1061	220.164.140.246	80	1	GET	220.164.140.246	/api/stats/install/?ts=9327efea&affid=56300&ver=3040003&group=sf	220.164.140.246	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; GTB0.0; .NET CLR 1.1.4322)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1337921481.289349	C7pgKv1VcPoEn4MPM7	192.168.83.10	1072	208.91.207.10	80	1	GET	promos.fling.com	/geo/txt/city.php	-	-	0	29	200	OK	-	-	-	(empty)	-	-	-	-	-	F31q0i2c0wDYVQnel6	text/plain
1337921481.642273	CVo3jm2xRXFK5E2ZUh	192.168.83.10	1075	209.208.79.128	80	1	GET	livecounter.co	/count.php?id=3134634767&c=2&d=7&s=110	-	Opera/9 (Windows NT 5.1; US; x86)	0	401	200	OK	-	-	-	(empty)	-	-	-	-	-	F3F5be1Uqv80kRgQ3e	image/gif
1337921481.642042	Chw0EAOHTqz0ooAtl	192.168.83.10	1073	209.208.79.128	80	1	GET	livecounter.co	/count.php?id=3134634767&c=1&d=7&s=0	-	Opera/9 (Windows NT 5.1; US; x86)	0	289	200	OK	-	-	-	(empty)	-	-	-	-	-	Fdx2YY3ijeHd8WA4g7	image/gif
1337921481.642411	CNF0k738JajfDvH3D9	192.168.83.10	1077	209.208.79.128	80	1	GET	livecounter.co	/count.php?id=3134634767&c=3&d=7&s=10	-	Opera/9 (Windows NT 5.1; US; x86)	0	402	200	OK	-	-	-	(empty)	-	-	-	-	-	FWSyAv3VGPPgXBNgf1	image/gif
1337921482.555296	CBBFjc2kjBsIQ5XlWd	192.168.83.10	1079	78.140.131.157	80	1	GET	11t57xf.cdn35.theuploadhelp.com	/file/id=AgAoAAEAM0oBAAEFBhcAAAAAAAAAAAAAAAAAAAAjDAUXCwAAAO5XcW3hER2mrLhwgiZvmW8AAFVVVVVVVVVVVVVVVVVVVVVTOs0BRK2IQtQqAQBVd3Vtc219Y29lczMyaGc4Zzg4AkaTNQrd_hNvNFYA&rt=AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)	0	0	404	Not Found	-	-	-	(empty)	-	-	-	-	-	-	-
1337921480.740428	CnBpPq4Oh12RXZkZs3	192.168.83.10	1070	195.210.47.109	80	1	GET	navozmi.ipq.co	/f/1100.exe?ts=9327efea&affid=5630	navozmi.ipq.co	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; GTB0.0; .NET CLR 1.1.4322)	0	194560	200	OK	-	-	-	(empty)	-	-	-	-	-	FHuG2h42kvdwmTqcsi	application/x-dosexec
1337921465.279903	CgDy9o1Hi3iJWqCA9	192.168.83.10	1044	116.121.218.2	80	1	GET	uhwipiq.ru	/newm001.exe	-	-	0	0	-	-	-	-	-	(empty)	-	-	-	-	-	-	-
#close	2014-04-03-11-09-34
