#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-44-05
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1331754382.802365	CuxURL1GN6ZTpuZSCg	192.168.105.10	1030	199.102.249.25	80	1	GET	business.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	301	MOVED PERMANENTLY	-	-	-	(empty)	-	-	-	-	-	-	-
1331754383.591484	CzPf1Ii1ySQ65YDr4	192.168.105.10	1032	68.142.118.145	80	3	GET	www.business.com	/js/jcarousellite_1.0.1.min.js	http://www.business.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2383	200	OK	-	-	-	(empty)	-	-	-	-	-	Fc5mtn4fCuREdeUski	text/plain
1331754383.626968	CzPf1Ii1ySQ65YDr4	192.168.105.10	1032	68.142.118.145	80	4	GET	www.business.com	/js/s_code.prod.js	http://www.business.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	34936	200	OK	-	-	-	(empty)	-	-	-	-	-	F6d4kf1h82CzznMR65	text/plain
1331754383.655644	CzPf1Ii1ySQ65YDr4	192.168.105.10	1032	68.142.118.145	80	5	GET	www.business.com	/js/jquery.overtext.js	http://www.business.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1595	200	OK	-	-	-	(empty)	-	-	-	-	-	F0peCw1W3NczEM5FHc	text/plain
1331754383.673087	C70xlE2XfAYCWQ7Mha	192.168.105.10	1035	74.125.65.95	80	2	GET	ajax.googleapis.com	/ajax/libs/jqueryui/1.8/jquery-ui.min.js	http://www.business.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	201842	200	OK	-	-	-	(empty)	-	-	-	-	-	FaKWZy2hVjYJAY7uib	text/plain
1331754383.750912	CzPf1Ii1ySQ65YDr4	192.168.105.10	1032	68.142.118.145	80	6	GET	www.business.com	/css/blueprint/ie.css	http://www.business.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1938	200	OK	-	-	-	(empty)	-	-	-	-	-	FFTMBa15QBBzBFXKN8	text/plain
1331754383.752656	CBZBfO1LnD6kzVyFtb	192.168.105.10	1037	68.142.118.145	80	1	GET	www.business.com	/js/DD_belatedPNG_min.js	http://www.business.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7019	200	OK	-	-	-	(empty)	-	-	-	-	-	FRZJLJ3NrE9iExmShf	text/plain
1331754383.80981	CzPf1Ii1ySQ65YDr4	192.168.105.10	1032	68.142.118.145	80	7	GET	www.business.com	/images/hp2-bdclogo.png	http://www.business.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2073	200	OK	-	-	-	(empty)	-	-	-	-	-	FdjizN3z3UHBs4TQRe	image/png
1331754383.811093	CBZBfO1LnD6kzVyFtb	192.168.105.10	1037	68.142.118.145	80	2	GET	www.business.com	/images/hp2-bodybg.png	http://www.business.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	151	200	OK	-	-	-	(empty)	-	-	-	-	-	F40psh1gPIYQdtIW73	image/png
1331754383.836997	CzPf1Ii1ySQ65YDr4	192.168.105.10	1032	68.142.118.145	80	8	GET	www.business.com	/images/hp2-header-searchbtn.png	http://www.business.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	445	200	OK	-	-	-	(empty)	-	-	-	-	-	F1nlb32fNpOTw3eJ1l	image/png
1331754383.837318	CBZBfO1LnD6kzVyFtb	192.168.105.10	1037	68.142.118.145	80	3	GET	www.business.com	/images/hp2-header-boxtop.jpg	http://www.business.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	12205	200	OK	-	-	-	(empty)	-	-	-	-	-	Fusw0X1UGwziIejOhj	image/jpeg
1331754383.864926	CzPf1Ii1ySQ65YDr4	192.168.105.10	1032	68.142.118.145	80	9	GET	www.business.com	/images/hp2-arrow.png	http://www.business.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	176	200	OK	-	-	-	(empty)	-	-	-	-	-	FYnWcf4ZNU56pDoUYf	image/png
1331754383.865423	CBZBfO1LnD6kzVyFtb	192.168.105.10	1037	68.142.118.145	80	4	GET	www.business.com	/images/hp2-getonthegrid.jpg	http://www.business.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	24381	200	OK	-	-	-	(empty)	-	-	-	-	-	FGzlZGDEgVCDbHbG1	image/jpeg
1331754383.897895	CzPf1Ii1ySQ65YDr4	192.168.105.10	1032	68.142.118.145	80	10	GET	www.business.com	/images/hp2-leftarrow.png	http://www.business.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	186	200	OK	-	-	-	(empty)	-	-	-	-	-	FVLx7q4TzJA5p1uzMd	image/png
1331754383.89812	CBZBfO1LnD6kzVyFtb	192.168.105.10	1037	68.142.118.145	80	5	GET	www.business.com	/images/hp2-rightarrow.png	http://www.business.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	183	200	OK	-	-	-	(empty)	-	-	-	-	-	FZMz7L2fVPPAyXilB	image/png
1331754383.898982	CQIjjo2YaLzc9XbO0d	192.168.105.10	1040	74.125.47.101	80	1	GET	www.google-analytics.com	/ga.js	http://www.business.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	33407	200	OK	-	-	-	(empty)	-	-	-	-	-	FFoQJL331HBMPzubCa	text/plain
1331754383.914581	CBZBfO1LnD6kzVyFtb	192.168.105.10	1037	68.142.118.145	80	6	GET	www.business.com	/images/visa-logo-35x35.png	http://www.business.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1417	200	OK	-	-	-	(empty)	-	-	-	-	-	FV7gP72FBcL4WJl98b	image/png
1331754383.913955	CzPf1Ii1ySQ65YDr4	192.168.105.10	1032	68.142.118.145	80	11	GET	www.business.com	/images/hp2-bigbox-bg.png	http://www.business.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	120	200	OK	-	-	-	(empty)	-	-	-	-	-	FdEYOfyAcnwLVIvEj	image/png
1331754383.930211	CzPf1Ii1ySQ65YDr4	192.168.105.10	1032	68.142.118.145	80	12	GET	www.business.com	/images/state-farm-logo-35x35.png	http://www.business.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1528	200	OK	-	-	-	(empty)	-	-	-	-	-	FpplBC3kvkzizlVHv	image/png
1331754383.930527	CBZBfO1LnD6kzVyFtb	192.168.105.10	1037	68.142.118.145	80	7	GET	www.business.com	/images/directv-logo-35x35.png	http://www.business.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2753	200	OK	-	-	-	(empty)	-	-	-	-	-	FVaJrw1FzxJbRyn3Bf	image/png
1331754383.934609	CBZBfO1LnD6kzVyFtb	192.168.105.10	1037	68.142.118.145	80	8	GET	www.business.com	/images/progressive-commercial-logo-35x35.png	http://www.business.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1262	200	OK	-	-	-	(empty)	-	-	-	-	-	FgIuJt37AATLSVe6Da	image/png
1331754383.937546	CBZBfO1LnD6kzVyFtb	192.168.105.10	1037	68.142.118.145	80	9	GET	www.business.com	/images/vocalocity-logo-35x35.png	http://www.business.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1349	200	OK	-	-	-	(empty)	-	-	-	-	-	F9iu0cWgx4tamGbK7	image/png
1331754383.934881	CzPf1Ii1ySQ65YDr4	192.168.105.10	1032	68.142.118.145	80	13	GET	www.business.com	/images/xerox-logo-35x35.png	http://www.business.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1591	200	OK	-	-	-	(empty)	-	-	-	-	-	FFQppj2T3ZSxQ98Leb	image/png
1331754383.942464	CzPf1Ii1ySQ65YDr4	192.168.105.10	1032	68.142.118.145	80	14	GET	www.business.com	/images/hp2-bigsearchbtn.png	http://www.business.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	795	200	OK	-	-	-	(empty)	-	-	-	-	-	F7subc34fsA7hqanv7	image/png
1331754383.943523	CBZBfO1LnD6kzVyFtb	192.168.105.10	1037	68.142.118.145	80	10	GET	www.business.com	/images/hp2-icon-rss.png	http://www.business.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	330	200	OK	-	-	-	(empty)	-	-	-	-	-	FLAMFv3r9nZEvAfBLf	image/png
1331754383.961233	CzPf1Ii1ySQ65YDr4	192.168.105.10	1032	68.142.118.145	80	15	GET	www.business.com	/images/hp2-icon-linkedin.png	http://www.business.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	201	200	OK	-	-	-	(empty)	-	-	-	-	-	F7c3TA3mrZTacQEWu2	image/png
1331754383.965006	CzPf1Ii1ySQ65YDr4	192.168.105.10	1032	68.142.118.145	80	16	GET	www.business.com	/images/hp2-footerbg.png	http://www.business.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	187	200	OK	-	-	-	(empty)	-	-	-	-	-	F6GRI42oDK4iknw1vl	image/png
1331754383.96237	CBZBfO1LnD6kzVyFtb	192.168.105.10	1037	68.142.118.145	80	11	GET	www.business.com	/images/hp2-icon-twitter.png	http://www.business.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	200	200	OK	-	-	-	(empty)	-	-	-	-	-	F8OZMhopZLu2VvoWc	image/png
1331754384.01193	CzPf1Ii1ySQ65YDr4	192.168.105.10	1032	68.142.118.145	80	17	GET	www.business.com	/images/hp2-icon-facebook.png	http://www.business.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	219	200	OK	-	-	-	(empty)	-	-	-	-	-	FaCi89rzsRRWFfb1a	image/png
1331754384.012295	CBZBfO1LnD6kzVyFtb	192.168.105.10	1037	68.142.118.145	80	12	GET	www.business.com	/images/hp2-icon-googleplus.png	http://www.business.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	498	200	OK	-	-	-	(empty)	-	-	-	-	-	FsE1Qw2KSG4GeWmlgc	image/png
1331754384.085802	CzPf1Ii1ySQ65YDr4	192.168.105.10	1032	68.142.118.145	80	18	GET	www.business.com	/images/hp2-bdclogo.png	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	304	Not Modified	-	-	-	(empty)	-	-	-	-	-	-	-
1331754384.086118	CBZBfO1LnD6kzVyFtb	192.168.105.10	1037	68.142.118.145	80	13	GET	www.business.com	/images/hp2-arrow.png	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	304	Not Modified	-	-	-	(empty)	-	-	-	-	-	-	-
1331754383.915023	CrV9fB3WXagWapdCK8	192.168.105.10	1038	69.171.229.11	80	1	GET	www.facebook.com	/plugins/like.php?href=http://www.business.com&send=false&layout=button_count&width=46&show_faces=false&action=like&colorscheme=light&font=arial&height=20	http://www.business.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	24858	200	OK	-	-	-	(empty)	-	-	-	-	-	FFT8fzedwWhJJ8vO5	text/x-asm
1331754384.158145	CzPf1Ii1ySQ65YDr4	192.168.105.10	1032	68.142.118.145	80	19	GET	www.business.com	/images/hp2-leftarrow.png	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	304	Not Modified	-	-	-	(empty)	-	-	-	-	-	-	-
1331754384.15838	CBZBfO1LnD6kzVyFtb	192.168.105.10	1037	68.142.118.145	80	14	GET	www.business.com	/images/hp2-rightarrow.png	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	304	Not Modified	-	-	-	(empty)	-	-	-	-	-	-	-
1331754384.160911	CzPf1Ii1ySQ65YDr4	192.168.105.10	1032	68.142.118.145	80	20	GET	www.business.com	/images/hp2-icon-rss.png	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	304	Not Modified	-	-	-	(empty)	-	-	-	-	-	-	-
1331754384.161156	CBZBfO1LnD6kzVyFtb	192.168.105.10	1037	68.142.118.145	80	15	GET	www.business.com	/images/hp2-icon-linkedin.png	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	304	Not Modified	-	-	-	(empty)	-	-	-	-	-	-	-
1331754384.162836	CzPf1Ii1ySQ65YDr4	192.168.105.10	1032	68.142.118.145	80	21	GET	www.business.com	/images/hp2-icon-twitter.png	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	304	Not Modified	-	-	-	(empty)	-	-	-	-	-	-	-
1331754384.163167	CBZBfO1LnD6kzVyFtb	192.168.105.10	1037	68.142.118.145	80	16	GET	www.business.com	/images/hp2-icon-facebook.png	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	304	Not Modified	-	-	-	(empty)	-	-	-	-	-	-	-
1331754384.164584	CzPf1Ii1ySQ65YDr4	192.168.105.10	1032	68.142.118.145	80	22	GET	www.business.com	/images/hp2-icon-googleplus.png	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	498	200	OK	-	-	-	(empty)	-	-	-	-	-	FZ0Nh61MdJKm4pp8L8	image/png
1331754384.266821	CBZBfO1LnD6kzVyFtb	192.168.105.10	1037	68.142.118.145	80	17	GET	www.business.com	/images/visa-logo-35x35.png	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	304	Not Modified	-	-	-	(empty)	-	-	-	-	-	-	-
1331754384.26747	CzPf1Ii1ySQ65YDr4	192.168.105.10	1032	68.142.118.145	80	23	GET	www.business.com	/images/state-farm-logo-35x35.png	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	304	Not Modified	-	-	-	(empty)	-	-	-	-	-	-	-
1331754384.267165	CacVOV3SKfPE8uFbh4	192.168.105.10	1041	66.235.147.77	80	1	GET	metrics.business.com	/b/ss/bcomprod/1/H.23.6/s16488481476188?AQB=1&ndh=1&t=14/2/2012 18:44:25 3 300&vmt=4EC826B3&vmf=businesscom.112.2o7.net&ce=UTF-8&ns=businesscom&pageName=home&g=http://www.business.com/&cc=USD&ch=home&events=event1&v1=D=pageName&v2=D=ch&c3=home&v3=D=c3&c5=home&v5=D=c5&s=800x600&c=24&j=1.5&v=Y&k=Y&bw=800&bh=479&AQE=1	http://www.business.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1331754384.453941	CBZBfO1LnD6kzVyFtb	192.168.105.10	1037	68.142.118.145	80	18	GET	www.business.com	/images/progressive-commercial-logo-35x35.png	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	304	Not Modified	-	-	-	(empty)	-	-	-	-	-	-	-
1331754384.563407	CzPf1Ii1ySQ65YDr4	192.168.105.10	1032	68.142.118.145	80	24	GET	www.business.com	/images/xerox-logo-35x35.png	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	304	Not Modified	-	-	-	(empty)	-	-	-	-	-	-	-
1331754384.564687	CacVOV3SKfPE8uFbh4	192.168.105.10	1041	66.235.147.77	80	2	GET	metrics.business.com	/b/ss/bcomprod/1/H.23.6/s16488481476188?AQB=1&pccr=true&vidn=27B07A8D8507AF70-4000010180030559&&ndh=1&t=14/2/2012 18:44:25 3 300&vmt=4EC826B3&vmf=businesscom.112.2o7.net&ce=UTF-8&ns=businesscom&pageName=home&g=http://www.business.com/&cc=USD&ch=home&events=event1&v1=D=pageName&v2=D=ch&c3=home&v3=D=c3&c5=home&v5=D=c5&s=800x600&c=24&j=1.5&v=Y&k=Y&bw=800&bh=479&AQE=1	http://www.business.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	43	200	OK	-	-	-	(empty)	-	-	-	-	-	FBdrmV3n4Ft4Qg5Gsl	image/gif
1331754384.624498	CBZBfO1LnD6kzVyFtb	192.168.105.10	1037	68.142.118.145	80	19	GET	www.business.com	/images/vocalocity-logo-35x35.png	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	304	Not Modified	-	-	-	(empty)	-	-	-	-	-	-	-
1331754384.625879	CzPf1Ii1ySQ65YDr4	192.168.105.10	1032	68.142.118.145	80	25	GET	www.business.com	/images/directv-logo-35x35.png	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	304	Not Modified	-	-	-	(empty)	-	-	-	-	-	-	-
1331754384.627185	CBZBfO1LnD6kzVyFtb	192.168.105.10	1037	68.142.118.145	80	20	GET	www.business.com	/images2/anal.gif?user_type=walkin&referrer=&render_time=0.482577085495&session_id=5mbtr2vbplohs9o4pnpil625c5&ip=74.217.36.97&view=index/site	http://www.business.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	43	200	OK	-	-	-	(empty)	-	-	-	-	-	FSegghXsJgLh8ZOt6	image/gif
1331754384.73623	CMy6i42iSOgpRKXLB8	192.168.105.10	1042	173.241.242.12	80	1	GET	ox-d.business.com	/w/1.0/afr?auid=24457&cb=25071006	http://www.business.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1331754384.782711	CQIjjo2YaLzc9XbO0d	192.168.105.10	1040	74.125.47.101	80	2	GET	www.google-analytics.com	/__utm.gif?utmwv=5.2.5&utms=1&utmn=1834594559&utmhn=www.business.com&utmcs=utf-8&utmsr=800x600&utmvp=784x463&utmsc=24-bit&utmul=en-us&utmje=1&utmfl=10.0 r32&utmdt=Business.com - Find, Compare & Research B2B Vendors&utmhid=1888966891&utmr=-&utmp=/&utmac=UA-27994752-1&utmcc=__utma=88879112.1364535370.1331768666.1331768666.1331768666.1;+__utmz=88879112.1331768666.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none);&utmu=qB~	http://www.business.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	35	200	OK	-	-	-	(empty)	-	-	-	-	-	FkMbXO2Y4iEHDa9Npj	image/gif
1331754384.782373	CtW1uGcqhuCYAdLEg	192.168.105.10	1043	173.241.242.12	80	1	GET	ox-d.business.com	/w/1.0/afr?cc=1&auid=24457&cb=25071006	http://www.business.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1331754384.816969	C9Qo9W38CoMPVXxE94	192.168.105.10	1045	69.31.72.96	80	1	GET	b.static.ak.fbcdn.net	/rsrc.php/v1/yl/r/tdFLX5VpRSC.js	http://www.facebook.com/plugins/like.php?href=http%3A%2F%2Fwww.business.com&send=false&layout=button_count&width=46&show_faces=false&action=like&colorscheme=light&font=arial&height=20	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	175711	200	OK	-	-	-	(empty)	-	-	-	-	-	FpuMnS3X22XEhhhfO	text/plain
1331754384.829661	CRlqD425EMFiNXxXRh	192.168.105.10	1046	69.31.72.122	80	1	GET	static.ak.fbcdn.net	/rsrc.php/v1/y7/r/ql9vukDCc4R.png	http://www.facebook.com/plugins/like.php?href=http%3A%2F%2Fwww.business.com&send=false&layout=button_count&width=46&show_faces=false&action=like&colorscheme=light&font=arial&height=20	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1177	200	OK	-	-	-	(empty)	-	-	-	-	-	FjS1jj2ArS84WMHRo7	image/png
1331754384.829026	CRj6Vo2yg3cZoZNcTc	192.168.105.10	1044	173.241.242.153	80	1	GET	u.openx.net	/w/1.0/sc?r=http://ox-d.business.com/w/1.0/afr?cc=1&auid=24457&cb=25071006	http://www.business.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1331754384.928406	C9Qo9W38CoMPVXxE94	192.168.105.10	1045	69.31.72.96	80	2	GET	b.static.ak.fbcdn.net	/rsrc.php/v1/y7/r/Jmq7dpjn6pv.css	http://www.facebook.com/plugins/like.php?href=http%3A%2F%2Fwww.business.com&send=false&layout=button_count&width=46&show_faces=false&action=like&colorscheme=light&font=arial&height=20	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	18691	200	OK	-	-	-	(empty)	-	-	-	-	-	FXArPL3HrnI96Ybp84	text/plain
1331754384.987621	C70xlE2XfAYCWQ7Mha	192.168.105.10	1035	74.125.65.95	80	3	GET	ajax.googleapis.com	/ajax/libs/jqueryui/1.8/themes/start/images/ui-bg_inset-hard_100_fcfdfd_1x100.png	http://www.business.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	88	200	OK	-	-	-	(empty)	-	-	-	-	-	FTck0M3JKesor3UwU8	image/png
1331754384.987014	C0sXFE2XghgaMlVeaa	192.168.105.10	1047	173.241.242.153	80	1	GET	u.openx.net	/w/1.0/sc?cc=1&r=http://ox-d.business.com/w/1.0/afr?cc=1&auid=24457&cb=25071006	http://www.business.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1331754385.0239	CWieM01THvMn2hwtW2	192.168.105.10	1048	173.241.242.12	80	1	GET	ox-d.business.com	/w/1.0/afr?mi=9ff76b25-534b-4534-bf49-954879ff93e3&mn=1&mc=1&cc=1&auid=24457&cb=25071006	http://www.business.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	923	200	OK	-	-	-	(empty)	-	-	-	-	-	Fs95u840Ur62ZbgIff	text/html
