#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-20-47
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1356897545.673239	C9hTwd4KDRhh5ZQw5e	192.168.82.10	1030	174.36.15.34	80	1	GET	i4u.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	227	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FiCcxf22RIxCLJyiEl	text/html
1356897567.95825	C65gw13fPqNyG4bf0k	192.168.82.10	1039	74.125.228.8	80	2	GET	www.google-analytics.com	/__utm.gif?utmwv=5.3.8&utms=1&utmn=282536227&utmhn=www.i4u.com&utmcs=utf-8&utmsr=800x600&utmvp=796x475&utmsc=24-bit&utmul=en-us&utmje=1&utmfl=10.0 r32&utmdt=I4U News - Daily News and Trends for the Geek Mind.&utmhid=935290121&utmr=-&utmp=/&utmac=UA-712671-1&utmcc=__utma=52968944.1612172352.1356911849.1356911849.1356911849.1;+__utmz=52968944.1356911849.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none);&utmu=qB~	http://www.i4u.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	35	200	OK	-	-	-	(empty)	-	-	-	-	-	FfNPwm33vLDRkNKQTh	image/gif
1356897567.90257	CWVnhM3dnHkaL3dM1c	192.168.82.10	1040	64.49.225.166	80	1	GET	adexcite.com	/ads/video/controller.php?eid=11957	http://www.i4u.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	18724	200	OK	-	-	-	(empty)	-	-	-	-	-	FvJU4oFk8wyj69dJ9	text/html
1356897568.143036	CxZw3R3tuN5IT3uwXk	192.168.82.10	1041	85.17.26.163	80	1	GET	adexcite.buildmediapc.com	/ads/video_ads.js	http://www.i4u.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	238	200	OK	-	-	-	(empty)	-	-	-	-	-	F6QCsT3t7tDQjaYOa6	text/plain
1356897569.052021	CycWZ24kzXURvmKUBl	192.168.82.10	1037	93.184.216.229	80	5	GET	static2.i4u.com	/sites/all/themes/i4u/images/global/topnav_bg.png	http://www.i4u.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	118	200	OK	-	-	-	(empty)	-	-	-	-	-	FQckIo11Q2Mcfp8l52	image/png
1356897569.051671	C07psh4u9qjWVM20ib	192.168.82.10	1036	93.184.216.229	80	5	GET	static2.i4u.com	/sites/all/themes/i4u/images/global/sprite.png	http://www.i4u.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	28117	200	OK	-	-	-	(empty)	-	-	-	-	-	FIJD5F4H2tHFZfpwnb	image/png
1356897569.086252	CJuO2y3Ux8thxyYZtj	192.168.82.10	1044	93.184.216.229	80	1	GET	static1.i4u.com	/sites/all/themes/i4u/images/global/search.png	http://www.i4u.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1953	200	OK	-	-	-	(empty)	-	-	-	-	-	F4TR2D2Hy8Z0Az3ac	image/png
1356897569.087724	CTwy8p3EWPjIYa9hGd	192.168.82.10	1043	93.184.216.229	80	1	GET	static1.i4u.com	/sites/all/themes/i4u/js/google-cse.js	http://www.i4u.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1699	200	OK	-	-	-	(empty)	-	-	-	-	-	FGhUb71ikIWmwGmGrl	application/x-elc
1356897569.241411	Cl7gTr3WRaiguQwUhd	192.168.82.10	1045	23.23.145.155	80	1	GET	ad2.netshelter.net	/adj/ns.i4unews/general;ppos=atf;kw=;tile=1;sz=970x90;ord=3365912067203293?	http://www.i4u.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	576	302	Found	-	-	-	(empty)	-	-	-	-	-	Fy9YwW1omxoWcnuhke	text/html
1356897569.285579	CvZ9WA3zM6UvXnFcOb	192.168.82.10	1046	68.67.159.214	80	1	GET	ib.adnxs.com	/ptj?member=988&inv_code=ns.i4unews&size=970x90&referrer=http://www.i4u.com/&redir=http://ad.doubleclick.net/adj/ns.i4unews/general;ctx=5_777_m;ctx=4_379_m;ctx=6_1198_l;ips=l;ppos=atf;kw=;tile=1;sz=970x90;ord=3365912067203293;an={PRICEBUCKET};bu={BUYER_MEMBER_ID};br={BRAND_ID}	http://www.i4u.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1356897569.208528	CRaCO73GGKCSjVBGRj	192.168.82.10	1042	195.20.141.40	80	1	GET	ilovefr.info	/on/jewwlane.php?cuteptly=234556	http://www.i4u.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	30145	200	OK	-	-	-	(empty)	-	-	-	-	-	FMAuHN3qE34pwHSXKf	text/html
1356897569.87045	Ct62Sc3vdJ41C3eMnk	192.168.82.10	1048	65.55.13.243	80	1	POST	activex.microsoft.com	/objects/ocget.dll	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	44	13	404	Not Found	-	-	-	(empty)	-	-	-	FPjkXH3obeYUNocPUe	text/plain	FLo7s83iux6ggCuctb	text/plain
1356897570.301234	C6mCli39Xd9eWaRQOc	192.168.82.10	1049	65.55.13.243	80	1	POST	codecs.microsoft.com	/isapi/ocget.dll	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	44	13	404	Not Found	-	-	-	(empty)	-	-	-	FsYYNd4zsNizBqqdgh	text/plain	FkvQSN3W0ca0F2i7V7	text/plain
1356897571.271155	CepGlJ3aPMJGUGaJvb	192.168.82.10	1050	195.20.141.40	80	1	GET	ilovefr.info	/on/surdlant/leftbove.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	9615	200	OK	-	-	-	(empty)	-	-	-	-	-	Fj5Xez4hRQP6Ltr90e	application/jar
1356897572.294811	C43VPX3Mdxq2CQlZOl	192.168.82.10	1051	195.20.141.40	80	1	GET	ilovefr.info	/on/janujent.php	http://ilovefr.info/on/jewwlane.php?cuteptly=234556	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5682	200	OK	-	-	-	(empty)	-	-	-	-	-	FAaoCs3XgYsQUuBMBe	application/pdf
1356897574.639554	CalYsI2DA6fGiWRFlf	192.168.82.10	1053	195.20.141.40	80	1	GET	ilovefr.info	/on/janujent.php	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5680	200	OK	-	-	-	(empty)	-	-	-	-	-	FF770i22Q2QXHD7sb	application/pdf
1356897574.401668	Cm9cvW2DHqG40CTfqh	192.168.82.10	1052	195.20.141.40	80	1	GET	ilovefrance.info	/on/vityjove.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	109568	200	OK	-	-	-	(empty)	-	-	-	-	-	FQQ3d71zraqbP05G29	application/x-dosexec
1356897577.149429	CCiDlk4QsKJBQTkZRd	192.168.82.10	1054	195.20.141.40	80	1	GET	ilovefrance.info	/on/tionlast.php?	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	109568	200	OK	-	-	-	(empty)	-	-	-	-	-	FITkxl3w2dlSzZRMUd	application/x-dosexec
1356897578.400445	CCiDlk4QsKJBQTkZRd	192.168.82.10	1054	195.20.141.40	80	2	GET	ilovefrance.info	/on/tionlast.php?;1	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	109568	200	OK	-	-	-	(empty)	-	-	-	-	-	FvYu7P2VP0gNSx6HY7	application/x-dosexec
1356897590.963281	CuQ0st2Q3c48xeiQWg	192.168.82.10	1055	173.194.43.27	80	1	GET	ad.doubleclick.net	/adj/ns.i4unews/general;ctx=5_777_m;ctx=4_379_m;ctx=6_1198_l;ips=l;ppos=atf;kw=;tile=1;sz=970x90;ord=3365912067203293;an=;bu=;br=	http://www.i4u.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	22831	200	OK	-	-	-	(empty)	-	-	-	-	-	FBWFbY3lkW2qyfxcO9	text/plain
1356897591.08361	CFkz5p4ZipefXza2oi	192.168.82.10	1056	204.246.175.112	80	1	GET	cdn.ip.netshelter.net	/att/nokia_lumia/2012_q4/1/images/overlay/close_btn.png	http://www.i4u.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3814	200	OK	-	-	-	(empty)	-	-	-	-	-	FsKGsCb5M36yT31t1	image/png
1356897591.094756	CjgOfv2D6D0Xd8frd8	192.168.82.10	1057	204.246.175.60	80	1	GET	cdn.libraries.prd1.netshelter.net	/javascript/netshelter/library/1.7.2.min.jgz	http://www.i4u.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	56605	200	OK	-	-	-	(empty)	-	-	-	-	-	FtJiUT36X4BlH022h	text/plain
1356897591.196236	C9YLi1Tdxgx2vuwo3	192.168.82.10	1058	207.46.193.178	80	1	GET	view.atdmt.com	/CNT/view/392759197/direct;wi.1;hi.1/01/	http://www.i4u.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Object moved	-	-	-	(empty)	-	-	-	-	-	-	-
1356897591.164576	CFkz5p4ZipefXza2oi	192.168.82.10	1056	204.246.175.112	80	2	GET	cdn.ip.netshelter.net	/att/nokia_lumia/2012_q4/1/billboard.html?site=ns.i4unews	http://www.i4u.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	32772	200	OK	-	-	-	(empty)	-	-	-	-	-	FSGWTCMjZcfTgLYkc	text/html
1356897591.335005	CjgOfv2D6D0Xd8frd8	192.168.82.10	1057	204.246.175.60	80	2	GET	cdn.libraries.prd1.netshelter.net	/javascript/jquery/1.7.1.min.jgz	http://cdn.ip.netshelter.net/att/nokia_lumia/2012_q4/1/billboard.html?site=ns.i4unews	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	93868	200	OK	-	-	-	(empty)	-	-	-	-	-	FjSg1s1hOlsv8tqc3b	text/html
1356897591.340675	CdY0LW1inYUr0l4AB6	192.168.82.10	1060	192.204.4.97	80	1	GET	spe.atdmt.com	/images/pixel.gif	http://www.i4u.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	42	200	OK	-	-	-	(empty)	-	-	-	-	-	F3JIAt47tTKDPhEbF9	image/gif
1356897591.335853	C3E2wd2GssW2GY70x4	192.168.82.10	1059	23.23.145.155	80	1	GET	ad1.netshelter.net	/adj/ns.i4unews/bestbuy_skinnybar;ppos=atf;kw=;tile=1;dcopt=ist;sz=728x90;ord=3365912067203293?	http://www.i4u.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	568	302	Found	-	-	-	(empty)	-	-	-	-	-	F31VZK39D0P6rIPRE8	text/html
1356897591.349548	CT8pSk2pyhKWtQOS6	192.168.82.10	1061	204.246.175.112	80	1	GET	cdn.ip.netshelter.net	/att/nokia_lumia/2012_q4/1/images/tower/1x1.gif	http://cdn.ip.netshelter.net/att/nokia_lumia/2012_q4/1/billboard.html?site=ns.i4unews	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1093	200	OK	-	-	-	(empty)	-	-	-	-	-	Frvzk93ApYTpepRkM9	image/gif
1356897591.3346	CFkz5p4ZipefXza2oi	192.168.82.10	1056	204.246.175.112	80	3	GET	cdn.ip.netshelter.net	/att/nokia_lumia/2012_q4/1/images/billboard/branding_bg.png	http://cdn.ip.netshelter.net/att/nokia_lumia/2012_q4/1/billboard.html?site=ns.i4unews	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	42304	200	OK	-	-	-	(empty)	-	-	-	-	-	FZr9zE1tqnhqhwGRac	image/png
1356897591.405639	CQwPJgMrxjEdnXor3	192.168.82.10	1062	204.246.175.112	80	1	GET	cdn.ip.netshelter.net	/att/nokia_lumia/2012_q4/1/images/player/mute.png	http://cdn.ip.netshelter.net/att/nokia_lumia/2012_q4/1/billboard.html?site=ns.i4unews	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1043	200	OK	-	-	-	(empty)	-	-	-	-	-	FVv7yR3mDGBpFr2L69	image/png
1356897591.455895	CFkz5p4ZipefXza2oi	192.168.82.10	1056	204.246.175.112	80	4	GET	cdn.ip.netshelter.net	/att/nokia_lumia/2012_q4/1/images/billboard/stories_navigation_bg.png	http://cdn.ip.netshelter.net/att/nokia_lumia/2012_q4/1/billboard.html?site=ns.i4unews	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3110	200	OK	-	-	-	(empty)	-	-	-	-	-	F8CIcl4UFnYCcqlZp1	image/png
1356897591.455587	CsJBza25Yi456QRK55	192.168.82.10	1063	204.246.175.112	80	1	GET	cdn.ip.netshelter.net	/att/nokia_lumia/2012_q4/1/images/billboard/stories_title_bg.png	http://cdn.ip.netshelter.net/att/nokia_lumia/2012_q4/1/billboard.html?site=ns.i4unews	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1005	200	OK	-	-	-	(empty)	-	-	-	-	-	FNPwjTdmUFWqQC7Mh	image/png
1356897591.458104	CT8pSk2pyhKWtQOS6	192.168.82.10	1061	204.246.175.112	80	2	GET	cdn.ip.netshelter.net	/att/nokia_lumia/2012_q4/1/images/billboard/stories_footer_bg.png	http://cdn.ip.netshelter.net/att/nokia_lumia/2012_q4/1/billboard.html?site=ns.i4unews	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1007	200	OK	-	-	-	(empty)	-	-	-	-	-	FxGkQ82FZfSuuQ2cq4	image/png
1356897591.483789	CjgOfv2D6D0Xd8frd8	192.168.82.10	1057	204.246.175.60	80	3	GET	cdn.libraries.prd1.netshelter.net	/javascript/longtailvideo/jwplayer/5.10.min.jgz	http://cdn.ip.netshelter.net/att/nokia_lumia/2012_q4/1/billboard.html?site=ns.i4unews	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	155618	200	OK	-	-	-	(empty)	-	-	-	-	-	FoZp873oym3fpy2v56	text/plain
1356897591.463162	CeNXwR19d9mFIjXPM5	192.168.82.10	1064	68.67.159.214	80	1	GET	ib.adnxs.com	/ptj?member=988&inv_code=ns.i4unews&size=728x90&referrer=http://www.i4u.com/&redir=http://ad.doubleclick.net/adj/ns.i4unews/bestbuy_skinnybar;ctx=6_1198_l;ips=l;ppos=atf;kw=;tile=1;dcopt=ist;sz=728x90;ord=3365912067203293;an={PRICEBUCKET};bu={BUYER_MEMBER_ID};br={BRAND_ID}	http://www.i4u.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	230	200	OK	-	-	-	(empty)	-	-	-	-	-	FYxHYr2Olkifv45qf9	text/plain
1356897591.764237	CuQ0st2Q3c48xeiQWg	192.168.82.10	1055	173.194.43.27	80	2	GET	ad.doubleclick.net	/adj/ns.i4unews/bestbuy_skinnybar;ctx=6_1198_l;ips=l;ppos=atf;kw=;tile=1;dcopt=ist;sz=728x90;ord=3365912067203293;an=20;bu=855;br=880	http://www.i4u.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	11617	200	OK	-	-	-	(empty)	-	-	-	-	-	FSXzZi4g9TG8M1RBph	text/plain
1356897591.834946	CIzQ1yEYUmFi5Hcha	192.168.82.10	1065	54.243.97.248	80	1	GET	track.prd1.netshelter.net	/nap/v2/nap-track.php?genre=impression&category=serve&campaign=aryphvm3iz94&creative=arypi6yysue1&creativeSize=970x250&sessionID=5dd3f117741576f8b8d2eade95bba3b1&experienceID=8b6ca63af57c03f6ad759375a61ae450&site=ns.i4unews&c=-447848085&ts=1356911872468	http://cdn.ip.netshelter.net/att/nokia_lumia/2012_q4/1/billboard.html?site=ns.i4unews	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1356897591.836923	CEpbIKGgpH1xrmMk1	192.168.82.10	1066	54.243.97.248	80	1	GET	track.prd1.netshelter.net	/nap/v2/nap-track.php?genre=impression&category=view&campaign=aryphvm3iz94&creative=arypi6yysue1&creativeSize=970x250&sessionID=5dd3f117741576f8b8d2eade95bba3b1&experienceID=8b6ca63af57c03f6ad759375a61ae450&site=ns.i4unews&c=1205005396&ts=1356911872468	http://cdn.ip.netshelter.net/att/nokia_lumia/2012_q4/1/billboard.html?site=ns.i4unews	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1356897591.850287	C4j3ld1tHFNTDJLmF8	192.168.82.10	1068	198.144.99.182	80	1	GET	core.insightexpressai.com	/adServer/adServerESI.aspx?bannerID=204582&script=false&redir=http://core.insightexpressai.com/adserver/1pixel.gif	http://www.i4u.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	49	200	OK	-	-	-	(empty)	-	-	-	-	-	F47PtU2ng2QXdZss6i	image/gif
1356897591.883144	CUoN5u15omLdWkfht2	192.168.82.10	1067	207.46.193.178	80	1	GET	view.atdmt.com	/AVE/view/406586375/direct;wi.1;hi.1/01/751651073	http://www.i4u.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Object moved	-	-	-	(empty)	-	-	-	-	-	-	-
1356897591.984101	CdY0LW1inYUr0l4AB6	192.168.82.10	1060	192.204.4.97	80	2	GET	spe.atdmt.com	/images/pixel.gif	http://www.i4u.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	42	200	OK	-	-	-	(empty)	-	-	-	-	-	FBFegzQrWJN7D6Fxe	image/gif
1356897592.071628	CIzQ1yEYUmFi5Hcha	192.168.82.10	1065	54.243.97.248	80	2	GET	track.prd1.netshelter.net	/nap/v2/nap-track.php?genre=impression&category=load&campaign=aryphvm3iz94&creative=arypi6yysue1&creativeSize=970x250&sessionID=5dd3f117741576f8b8d2eade95bba3b1&experienceID=8b6ca63af57c03f6ad759375a61ae450&site=ns.i4unews&c=1400109945&ts=1356911872843	http://cdn.ip.netshelter.net/att/nokia_lumia/2012_q4/1/billboard.html?site=ns.i4unews	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1356897592.081307	CR3MZH5MXA2hEjt	192.168.82.10	1070	204.246.175.5	80	1	GET	files.netshelter.net	/xml/posts/feed_arypi6bzpbio.jsongz?_=1356911872812	http://cdn.ip.netshelter.net/att/nokia_lumia/2012_q4/1/billboard.html?site=ns.i4unews	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	13908	200	OK	-	-	-	(empty)	-	-	-	-	-	FOTS204CtZVmCZCu9b	text/plain
1356897592.081007	CzXtkJ1I1QNC3HTNE1	192.168.82.10	1071	204.246.175.5	80	1	GET	files.netshelter.net	/xml/posts/feed_arypi6bzpbio.jsongz	http://cdn.ip.netshelter.net/att/nokia_lumia/2012_q4/1/billboard.html?site=ns.i4unews	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	13908	200	OK	-	-	-	(empty)	-	-	-	-	-	Fy4v3j2xoJTzPTFbhl	text/plain
1356897592.070933	Cwa6i41N75uU8vfJja	192.168.82.10	1069	173.194.43.13	80	1	GET	pagead2.googlesyndication.com	/pagead/imgad?id=CICAgIDQhJaBsQEQARgBMgiudaYygPKpaA	http://www.i4u.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	257511	200	OK	-	-	-	(empty)	-	-	-	-	-	FYzEwh4LCMwd1SW3cc	application/x-shockwave-flash
1356897592.272292	Cxvzhq1IckwWeU1Jd9	192.168.82.10	1072	198.144.99.191	80	1	GET	fpdownload2.macromedia.com	/get/flashplayer/update/current/xml/version_en_win_ax.xml	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	598	200	OK	-	-	-	(empty)	-	-	-	-	-	FCqiin7d1e74vSf54	text/plain
1356897592.293811	CBQ7ZS1dSXK4qVeNa	192.168.82.10	1075	74.125.131.104	80	1	GET	www.google.com	/s2/favicons?domain=technobuffalo.com	http://cdn.ip.netshelter.net/att/nokia_lumia/2012_q4/1/billboard.html?site=ns.i4unews	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	667	200	OK	-	-	-	(empty)	-	-	-	-	-	FJFqUh4NFDNIOlenHe	image/png
1356897592.332742	CiRzCa1O1mTKWQ8wN9	192.168.82.10	1079	74.125.131.104	80	1	GET	www.google.com	/s2/favicons?domain=technobuffalo.com	http://cdn.ip.netshelter.net/att/nokia_lumia/2012_q4/1/billboard.html?site=ns.i4unews	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	667	200	OK	-	-	-	(empty)	-	-	-	-	-	F9xtHOrG1TC8HfaLe	image/png
1356897592.367347	CiRzCa1O1mTKWQ8wN9	192.168.82.10	1079	74.125.131.104	80	2	GET	www.google.com	/s2/favicons?domain=wpcentral.com	http://cdn.ip.netshelter.net/att/nokia_lumia/2012_q4/1/billboard.html?site=ns.i4unews	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	708	200	OK	-	-	-	(empty)	-	-	-	-	-	FPrlQz1z6O5xiafwNf	image/png
1356897592.398591	CVdhdrHykMXvoXJJ7	192.168.82.10	1087	74.125.131.104	80	1	GET	www.google.com	/s2/favicons?domain=wpcentral.com	http://cdn.ip.netshelter.net/att/nokia_lumia/2012_q4/1/billboard.html?site=ns.i4unews	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	708	200	OK	-	-	-	(empty)	-	-	-	-	-	FtCg6C1kegUB4JPDz6	image/png
1356897592.420238	CVdhdrHykMXvoXJJ7	192.168.82.10	1087	74.125.131.104	80	2	GET	www.google.com	/s2/favicons?domain=wpcentral.com	http://cdn.ip.netshelter.net/att/nokia_lumia/2012_q4/1/billboard.html?site=ns.i4unews	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	708	200	OK	-	-	-	(empty)	-	-	-	-	-	FQYZKTgFUcDEia6Vl	image/png
