#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-11-50
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1333652397.556979	CppZc64IVwBeBFijNc	192.168.4.10	1031	188.92.41.197	80	13	GET	www.livescore.in	/res/_in/image/yellow_free_livescore.jpg	http://www.livescore.in/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	24660	200	OK	-	-	-	(empty)	-	-	-	-	-	FK5C6gU6kG7jABWRl	image/jpeg
1333652397.761193	CblXAM3Vqu7ZhYaLIk	192.168.4.10	1032	188.92.41.197	80	11	GET	www.livescore.in	/res/_in/image/yellow-button.gif	http://www.livescore.in/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	960	200	OK	-	-	-	(empty)	-	-	-	-	-	FHMgR3FDolACsi0H2	image/gif
1333652397.794469	CppZc64IVwBeBFijNc	192.168.4.10	1031	188.92.41.197	80	14	GET	www.livescore.in	/res/_in/image/right_head.gif	http://www.livescore.in/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	102	200	OK	-	-	-	(empty)	-	-	-	-	-	FhoBnQ1Tat0g0ZYb	image/gif
1333652397.880241	CblXAM3Vqu7ZhYaLIk	192.168.4.10	1032	188.92.41.197	80	12	GET	www.livescore.in	/res/_in/image/right_menu_arrow.gif	http://www.livescore.in/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	132	200	OK	-	-	-	(empty)	-	-	-	-	-	FniNqD385Gihdggd2d	image/gif
1333652397.909529	CppZc64IVwBeBFijNc	192.168.4.10	1031	188.92.41.197	80	15	GET	www.livescore.in	/res/_in/image/menu_corners.gif	http://www.livescore.in/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2369	200	OK	-	-	-	(empty)	-	-	-	-	-	FWwFwVu6oJLzHgRZj	image/gif
1333652397.995934	CblXAM3Vqu7ZhYaLIk	192.168.4.10	1032	188.92.41.197	80	13	GET	www.livescore.in	/res/_in/image/menu_active.gif	http://www.livescore.in/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	100	200	OK	-	-	-	(empty)	-	-	-	-	-	F0EwIy4DxFjvNCa96a	image/gif
1333652398.025481	CppZc64IVwBeBFijNc	192.168.4.10	1031	188.92.41.197	80	16	GET	www.livescore.in	/res/_in/image/menu_top_green.gif	http://www.livescore.in/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	152	200	OK	-	-	-	(empty)	-	-	-	-	-	Fapkrp46tP1AxPflra	image/gif
1333652398.110769	CblXAM3Vqu7ZhYaLIk	192.168.4.10	1032	188.92.41.197	80	14	GET	www.livescore.in	/res/_in/image/lang-list.gif	http://www.livescore.in/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4855	200	OK	-	-	-	(empty)	-	-	-	-	-	FOPG6x4LIe40CFgKr1	image/gif
1333652398.141366	CppZc64IVwBeBFijNc	192.168.4.10	1031	188.92.41.197	80	17	GET	www.livescore.in	/res/_in/image/shadows.jpg	http://www.livescore.in/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4238	200	OK	-	-	-	(empty)	-	-	-	-	-	FzjcDG2AUh7i9aMcdb	image/jpeg
1333652398.226789	CblXAM3Vqu7ZhYaLIk	192.168.4.10	1032	188.92.41.197	80	15	GET	www.livescore.in	/x/css/iframe_50_360.css	http://www.livescore.in/iframe/sport.php?sport=soccer&category=0&serial=361	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	49588	200	Status Ok	-	-	-	(empty)	-	-	-	-	-	FpNU1t4lPO44z4r0W9	text/plain
