#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-41-56
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1331340577.543498	Cvzf6u3MUpwTQhOwpa	192.168.64.10	1031	69.164.10.161	80	3	GET	www.miaminewtimes.com	/img/button-srSearch.png	http://www.miaminewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1314	200	OK	-	-	-	(empty)	-	-	-	-	-	FjGRKYp844mCumuN4	image/png
1331340577.474235	Ch0NYJgVz5rTM3mPa	192.168.64.10	1042	69.164.9.55	80	5	GET	blogs.miaminewtimes.com	/cultist/feature_artopia_2012_1.jpg	http://www.miaminewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	31256	200	OK	-	-	-	(empty)	-	-	-	-	-	FRh97y92nqCM4Pvaa	image/jpeg
1331340577.642615	CNn97o3WNXY503KX03	192.168.64.10	1044	69.164.10.161	80	1	GET	www.miaminewtimes.com	/img/vp-pb-logo-lg.png	http://www.miaminewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6127	200	OK	-	-	-	(empty)	-	-	-	-	-	FI4mpMMWG0Jxt1Nl8	image/png
1331340577.650123	CNhip92yyVyILqquyk	192.168.64.10	1040	69.164.10.161	80	6	GET	media.miaminewtimes.com	/7687613.96.jpg	http://www.miaminewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1592	200	OK	-	-	-	(empty)	-	-	-	-	-	F8T24z10bds9Fg4NUi	image/jpeg
1331340577.650407	Ce3kE81MK3C1jtEgol	192.168.64.10	1039	69.164.10.161	80	5	GET	media.miaminewtimes.com	/7695130.96.jpg	http://www.miaminewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1982	200	OK	-	-	-	(empty)	-	-	-	-	-	FoiBu64HkdNDICZkMk	image/jpeg
1331340577.561605	CcXPEO1eaZrbYJtO5e	192.168.64.10	1041	69.164.9.55	80	5	GET	blogs.miaminewtimes.com	/cultist/feature_calle_ocho.jpg	http://www.miaminewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	30260	200	OK	-	-	-	(empty)	-	-	-	-	-	FMSoGp2IDvAPO0l53j	image/jpeg
1331340577.760923	CNhip92yyVyILqquyk	192.168.64.10	1040	69.164.10.161	80	7	GET	media.miaminewtimes.com	/7687603.96.jpg	http://www.miaminewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1987	200	OK	-	-	-	(empty)	-	-	-	-	-	FcStAV27W7OkG20tra	image/jpeg
1331340577.659004	Ch0NYJgVz5rTM3mPa	192.168.64.10	1042	69.164.9.55	80	6	GET	blogs.miaminewtimes.com	/shortorder/feature_shing_wang.jpg	http://www.miaminewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	23365	200	OK	-	-	-	(empty)	-	-	-	-	-	FCoCzM1iFRMWaoktcd	image/jpeg
1331340577.821285	CcXPEO1eaZrbYJtO5e	192.168.64.10	1041	69.164.9.55	80	6	GET	blogs.miaminewtimes.com	/crossfade/MileyCyrusBralessSmall.jpg	http://www.miaminewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4474	200	OK	-	-	-	(empty)	-	-	-	-	-	F7F5xp3U127ybOM3G6	image/jpeg
1331340577.821568	Ch0NYJgVz5rTM3mPa	192.168.64.10	1042	69.164.9.55	80	7	GET	blogs.miaminewtimes.com	/riptide/feature_hacker_mug.jpg	http://www.miaminewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	21777	200	OK	-	-	-	(empty)	-	-	-	-	-	Fjdfht66l8y8NKJ5c	image/jpeg
1331340577.935099	CcXPEO1eaZrbYJtO5e	192.168.64.10	1041	69.164.9.55	80	7	GET	blogs.miaminewtimes.com	/crossfade/LeboPurdySmall.jpg	http://www.miaminewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7748	200	OK	-	-	-	(empty)	-	-	-	-	-	Frrphx4i3ZW6Ohz6lf	image/jpeg
1331340578.011446	CcXPEO1eaZrbYJtO5e	192.168.64.10	1041	69.164.9.55	80	8	GET	blogs.miaminewtimes.com	/crossfade/surfcomber_babe.jpg	http://www.miaminewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	42576	200	OK	-	-	-	(empty)	-	-	-	-	-	FmBmQ63IPcGhJI1AYh	image/jpeg
1331340578.011769	Ch0NYJgVz5rTM3mPa	192.168.64.10	1042	69.164.9.55	80	8	GET	blogs.miaminewtimes.com	/riptide/jayztalla.jpg	http://www.miaminewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	16363	200	OK	-	-	-	(empty)	-	-	-	-	-	FeX5q01KBaPmoUJOtf	image/jpeg
1331340577.761975	CIn31d32vzymQT1sX8	192.168.64.10	1045	91.200.176.24	80	1	GET	jnejbvcs.nl.ai	/google.php?gmpid=2a4baa7030106862	http://www.miaminewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	48226	200	OK	-	-	-	(empty)	-	-	-	-	-	FZqdNz2Zo0OW4oLCw4	text/html
1331340585.144135	CIn31d32vzymQT1sX8	192.168.64.10	1045	91.200.176.24	80	2	GET	jnejbvcs.nl.ai	/w.php?f=00f49&e=2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	344064	200	OK	-	-	-	(empty)	-	-	-	-	-	FkPtGx3NCFbyCPprB5	application/x-dosexec
1331340587.312102	CKaYx51u9ULLLqNDFl	192.168.64.10	1050	91.200.176.24	80	1	GET	jnejbvcs.nl.ai	/content/field.swf	http://www.miaminewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1541	200	OK	-	-	-	(empty)	-	-	-	-	-	F2kXOg47fmpbZFh7mj	application/x-shockwave-flash
1331340587.141019	CIn31d32vzymQT1sX8	192.168.64.10	1045	91.200.176.24	80	3	GET	jnejbvcs.nl.ai	/content/ap2.php?f=00f49	http://jnejbvcs.nl.ai/google.php?gmpid=2a4baa7030106862	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	12922	200	OK	-	-	-	(empty)	-	-	-	-	-	FBUcaoiik06d7wOya	application/pdf
1331340615.28626	C33Kq320tWH6KR0s6k	192.168.64.10	1051	91.200.176.24	80	1	GET	jnejbvcs.nl.ai	/content/jav2.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8434	200	OK	-	-	-	(empty)	-	-	-	-	-	FfxDqY3sZ5PtfAHIK4	application/zip
#close	2014-04-03-10-41-56
