#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-19-25
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1331339897.144739	CmTbRe40PTMIfRsFt5	192.168.89.10	1040	69.164.10.161	80	4	GET	media.phoenixnewtimes.com	/7696413.0.jpg	http://www.phoenixnewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	14087	200	OK	-	-	-	(empty)	-	-	-	-	-	FzjUnS1Kvd9UVy4js	image/jpeg
1331339897.180232	CGtMyg4FIzYnJ8Oax4	192.168.89.10	1035	74.125.47.101	80	2	GET	www.google-analytics.com	/__utm.gif?utmwv=5.2.5&utms=1&utmn=1972831600&utmhn=www.phoenixnewtimes.com&utmcs=iso-8859-1&utmsr=800x600&utmvp=784x463&utmsc=24-bit&utmul=en-us&utmje=1&utmfl=10.0 r32&utmdt=Phoenix News, Events, Restaurants, Music&utmhid=1731641419&utmr=-&utmp=/&utmac=UA-395255-1&utmcc=__utma=161466876.1809948560.1331354177.1331354177.1331354177.1;+__utmz=161466876.1331354177.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none);&utmu=qRAAAAAAAAAAAAAAAAAAAAB~	http://www.phoenixnewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	35	200	OK	-	-	-	(empty)	-	-	-	-	-	FXJXea22JakKj5iBK2	image/gif
1331339897.217512	CGtMyg4FIzYnJ8Oax4	192.168.89.10	1035	74.125.47.101	80	3	GET	www.google-analytics.com	/__utm.gif?utmwv=5.2.5&utms=2&utmn=466676862&utmhn=www.phoenixnewtimes.com&utmcs=iso-8859-1&utmsr=800x600&utmvp=784x463&utmsc=24-bit&utmul=en-us&utmje=1&utmfl=10.0 r32&utmdt=Phoenix News, Events, Restaurants, Music&utmhid=1731641419&utmr=-&utmp=/&utmac=UA-28661610-10&utmcc=__utma=161466876.1809948560.1331354177.1331354177.1331354177.1;+__utmz=161466876.1331354177.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none);&utmu=qRAgAAAAAAAAAAAAAAAAAAB~	http://www.phoenixnewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	35	200	OK	-	-	-	(empty)	-	-	-	-	-	FFsQWb1v0Nm9mIdkg3	image/gif
1331339897.117313	CyfYqE3LzRvY1QPmi2	192.168.89.10	1041	208.111.185.209	80	2	GET	blogs.phoenixnewtimes.com	/bella/AALemon Tiramisu.jpg	http://www.phoenixnewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	30238	200	OK	-	-	-	(empty)	-	-	-	-	-	FW6j0b4kxCCKh0WhKd	image/jpeg
1331339897.145048	C0iYJ84fLnEjDaMhlj	192.168.89.10	1042	208.111.185.209	80	2	GET	blogs.phoenixnewtimes.com	/jackalope/00pantydropper.jpg	http://www.phoenixnewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	31467	200	OK	-	-	-	(empty)	-	-	-	-	-	FYcl4J3INKQlKD4y6i	image/jpeg
1331339897.302493	CIEp8K3dZ1SWkqzLJ1	192.168.89.10	1036	192.204.3.26	80	3	GET	imagec12.247realmedia.com	/RealMedia/ads/Creatives/TheVoice/all_VMG-GAPOutletClothing_030912_300_ROS_NatRem/vmgGAP300.jpg/1331309946	http://www.phoenixnewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	36810	200	OK	-	-	-	(empty)	-	-	-	-	-	FuyOj01yffKrikXJ95	image/jpeg
1331339897.242504	CyfYqE3LzRvY1QPmi2	192.168.89.10	1041	208.111.185.209	80	3	GET	blogs.phoenixnewtimes.com	/valleyfever/french hunter small crop.JPG	http://www.phoenixnewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	10393	200	OK	-	-	-	(empty)	-	-	-	-	-	F1b6Lb1Ez7yUck6Kcb	image/jpeg
1331339897.289303	C0iYJ84fLnEjDaMhlj	192.168.89.10	1042	208.111.185.209	80	3	GET	blogs.phoenixnewtimes.com	/valleyfever/i-have-friends-feature.jpg	http://www.phoenixnewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6071	200	OK	-	-	-	(empty)	-	-	-	-	-	F80k3S3nvnv1wIEax	image/jpeg
1331339897.381668	CyfYqE3LzRvY1QPmi2	192.168.89.10	1041	208.111.185.209	80	4	GET	blogs.phoenixnewtimes.com	/jackalope/00cris kirkwood.jpg	http://www.phoenixnewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	39844	200	OK	-	-	-	(empty)	-	-	-	-	-	FSJsiD2ClMgFTG0jli	image/jpeg
1331339897.413446	C0iYJ84fLnEjDaMhlj	192.168.89.10	1042	208.111.185.209	80	4	GET	blogs.phoenixnewtimes.com	/valleyfever/busstrike.jpg	http://www.phoenixnewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	65323	200	OK	-	-	-	(empty)	-	-	-	-	-	FuoTrYYGyBlVcVHoi	image/jpeg
