#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-05-16
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1339325660.461934	CfsaJH23w9v78vkxYb	192.168.126.10	1032	74.208.54.219	80	14	GET	www.regencypointeretirement.com	/wp-content/themes/fallseason/images/header01.jpg	http://www.regencypointeretirement.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	40799	200	OK	-	-	-	(empty)	-	-	-	-	-	FAntf43v978aIr0rdd	image/jpeg
1339325660.566407	C8oCqI1AMq5YT8Q4b6	192.168.126.10	1031	74.208.54.219	80	10	GET	www.regencypointeretirement.com	/wp-content/themes/fallseason/images/button_bg.gif	http://www.regencypointeretirement.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	70	200	OK	-	-	-	(empty)	-	-	-	-	-	F0u7lkpfKkU6sYgwk	image/gif
1339325660.603024	CfsaJH23w9v78vkxYb	192.168.126.10	1032	74.208.54.219	80	15	GET	www.regencypointeretirement.com	/wp-content/themes/fallseason/images/menuactive.gif	http://www.regencypointeretirement.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	313	200	OK	-	-	-	(empty)	-	-	-	-	-	F58FLh2GPNrBDKnDb4	image/gif
1339325660.720617	C8oCqI1AMq5YT8Q4b6	192.168.126.10	1031	74.208.54.219	80	11	GET	www.regencypointeretirement.com	/wp-content/themes/fallseason/images/border1.gif	http://www.regencypointeretirement.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	171	200	OK	-	-	-	(empty)	-	-	-	-	-	F3Ul811Rwo6UGJlnS7	image/gif
1339325660.722498	CfsaJH23w9v78vkxYb	192.168.126.10	1032	74.208.54.219	80	16	GET	www.regencypointeretirement.com	/wp-content/themes/fallseason/images/db1.gif	http://www.regencypointeretirement.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1174	200	OK	-	-	-	(empty)	-	-	-	-	-	FyxQ3g40UIzBc2uYT6	image/gif
1339325660.79125	C8oCqI1AMq5YT8Q4b6	192.168.126.10	1031	74.208.54.219	80	12	GET	www.regencypointeretirement.com	/wp-content/themes/fallseason/images/border2.gif	http://www.regencypointeretirement.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	168	200	OK	-	-	-	(empty)	-	-	-	-	-	Fm7gZTAgYBzGtQB9	image/gif
1339325660.805426	CfsaJH23w9v78vkxYb	192.168.126.10	1032	74.208.54.219	80	17	GET	www.regencypointeretirement.com	/wp-content/themes/fallseason/images/db2.gif	http://www.regencypointeretirement.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	594	200	OK	-	-	-	(empty)	-	-	-	-	-	FDLtpM2mZyLc5xhZN9	image/gif
1339325660.874407	CfsaJH23w9v78vkxYb	192.168.126.10	1032	74.208.54.219	80	18	GET	www.regencypointeretirement.com	/wp-content/themes/fallseason/images/date.gif	http://www.regencypointeretirement.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	144	200	OK	-	-	-	(empty)	-	-	-	-	-	FBvG81Gk5CloyHtM2	image/gif
1339325660.870421	C8oCqI1AMq5YT8Q4b6	192.168.126.10	1031	74.208.54.219	80	13	GET	www.regencypointeretirement.com	/wp-content/themes/fallseason/images/user.png	http://www.regencypointeretirement.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	104	200	OK	-	-	-	(empty)	-	-	-	-	-	FTnWoH27YKIIXRDknd	image/png
1339325660.943986	CfsaJH23w9v78vkxYb	192.168.126.10	1032	74.208.54.219	80	19	GET	www.regencypointeretirement.com	/wp-includes/js/thickbox/loadingAnimation.gif	http://www.regencypointeretirement.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5886	200	OK	-	-	-	(empty)	-	-	-	-	-	Ftlfnk4QDf7E4KtImj	image/gif
1339325661.834079	CfyaGF4PlEo5H1rbHj	192.168.126.10	1038	46.37.185.230	80	1	GET	edrf.in	/www/show.php?s=457c938812	http://www.regencypointeretirement.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	418	200	OK	-	-	-	(empty)	-	-	-	-	-	FZ9lC59INCtmJ6cd1	text/html
1339325663.454867	CaxxNTO2nBAsqIWA3	192.168.126.10	1039	46.37.185.230	80	1	GET	edrf.in	/www/p_.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	23454	200	OK	-	-	-	(empty)	-	-	-	-	-	Fd5gtl2t7PO8S8yu4a	application/jar
1339325665.120991	C4Hr1E4SRHyymYTpUj	192.168.126.10	1040	46.37.185.230	80	1	GET	edrf.in	/www/w.php?f=182b5&e=0	-	Java/1.6.0_10	0	359424	200	OK	-	-	-	(empty)	-	-	-	-	-	FxI9rt4iyGWtGCaZV2	application/x-dosexec
#close	2014-04-03-11-05-16
