#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-18-52
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1328298454.644342	CD2DMZ5p9AHOLIPI3	192.168.72.10	1035	4.27.10.125	80	7	GET	cdn1.pics.gaytube.com	/thumbs/2012-01-24/eb396c98fef21.jpg	http://www.gaytube.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4208	200	OK	-	-	-	(empty)	-	-	-	-	-	FXjYXy4COiaGp2Zgec	image/jpeg
1328298454.630611	CRAqgc3SrnDa4BY1Pc	192.168.72.10	1042	146.82.205.41	80	1	GET	ads.trafficjunky.net	/ads?zone_id=2838&site_id=37&cache=28435885&millis=1328312734625	http://www.gaytube.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	695	200	OK	-	-	-	(empty)	-	-	-	-	-	FrqlPd2RQyTNSnYYb6	text/html
1328298454.641265	CzYS5P2JKy3Kz9Rkqf	192.168.72.10	1040	173.45.161.166	80	2	GET	cdn2.adrocketmedia.com	/ads/misc/tam/iframe/160x700/01/a/overlay.css	http://cdn2.adrocketmedia.com/ads/misc/tam/iframe/160x700/01/a/index.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	623	200	OK	-	-	-	(empty)	-	-	-	-	-	FX3uBSIqj1Oz7ybU7	text/plain
1328298454.677487	CbSwTu23cZM4mPp3Ud	192.168.72.10	1044	74.125.157.95	80	1	GET	ajax.googleapis.com	/ajax/libs/jquery/1.4.0/jquery.min.js	http://cdn2.adrocketmedia.com/ads/misc/tam/iframe/160x700/01/a/index.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	69838	200	OK	-	-	-	(empty)	-	-	-	-	-	FlaIAB1yZIR05hxGij	text/plain
1328298454.689163	C7C9C25Mgb2I8Rv0l	192.168.72.10	1034	4.27.10.125	80	7	GET	cdn1.pics.gaytube.com	/thumbs/2012-02-02/4bc7884d33d21.jpg	http://www.gaytube.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6983	200	OK	-	-	-	(empty)	-	-	-	-	-	FjilHb3KJkTEyMNaTg	image/jpeg
1328298454.690574	CD2DMZ5p9AHOLIPI3	192.168.72.10	1035	4.27.10.125	80	8	GET	cdn1.pics.gaytube.com	/thumbs/2012-02-02/d7d841371c031.jpg	http://www.gaytube.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6393	200	OK	-	-	-	(empty)	-	-	-	-	-	F6gsX7oVfILAX2f44	image/jpeg
1328298454.572861	CbvQN42h5NACVtHli9	192.168.72.10	1041	99.192.180.10	80	1	GET	images1.gayadpros.com	/ad_files/1327860302ppc_img_ad2254.jpg	http://www.gaytube.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	57413	200	OK	-	-	-	(empty)	-	-	-	-	-	FcQSIP2KRPLtBQioVe	image/jpeg
1328298454.908387	C7C9C25Mgb2I8Rv0l	192.168.72.10	1034	4.27.10.125	80	8	GET	cdn1.pics.gaytube.com	/thumbs/2012-02-02/66c07ceceecd1.jpg	http://www.gaytube.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6347	200	OK	-	-	-	(empty)	-	-	-	-	-	FKjgA21kCA6q3UO0wg	image/jpeg
1328298454.908894	CD2DMZ5p9AHOLIPI3	192.168.72.10	1035	4.27.10.125	80	9	GET	cdn1.pics.gaytube.com	/thumbs/2012-01-25/5be1867bcceb1.jpg	http://www.gaytube.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6624	200	OK	-	-	-	(empty)	-	-	-	-	-	F1EJ1F3o3XMRLPcVo8	image/jpeg
1328298454.908068	CXt0BO1DH9GR07piPa	192.168.72.10	1045	66.152.88.27	80	1	GET	ad2.gammae.com	/delivery/fl.js	http://ad2.gammae.com/delivery/afr.php?zoneid=11&cb=INSERT_RANDOM_NUMBER_HERE	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6707	200	OK	-	-	-	(empty)	-	-	-	-	-	FdHYUV2ZhQ1sYLTbX4	text/plain
