#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-08-15
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1348782819.622049	Cj8JHFlFQsufmKae7	192.168.69.10	1039	146.82.152.226	80	2	GET	c3352932.r32.cf0.rackcdn.com	/company_logo/47001_1331629292.jpg	http://www.forexpros.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7579	200	OK	-	-	-	(empty)	-	-	-	-	-	FBUWpM1yejdZFjpRa	image/jpeg
1348782819.621183	CvJw7014jwdOdZrV16	192.168.69.10	1033	146.82.152.235	80	7	GET	c1308342.cdn.cloudfiles.rackspacecloud.com	/flags/flags_germany.png	http://www.forexpros.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	391	200	OK	-	-	-	(empty)	-	-	-	-	-	FFXfiM3BAZreBdMjEj	image/png
1348782819.561311	CBbIUg1rpTxld1Sjy4	192.168.69.10	1037	146.82.152.217	80	2	GET	c1308342.r42.cf0.rackcdn.com	/newSiteIconsSprite_v25c.png	http://www.forexpros.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	78354	200	OK	-	-	-	(empty)	-	-	-	-	-	FKt7fF4IncyemnRHy7	image/png
1348782819.681928	CcYU212tB6x5HWmj83	192.168.69.10	1032	146.82.152.235	80	6	GET	c1308342.cdn.cloudfiles.rackspacecloud.com	/flags/flags_turkey.png	http://www.forexpros.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	575	200	OK	-	-	-	(empty)	-	-	-	-	-	F940Qr4VNXsp9I4jMc	image/png
1348782819.681692	CiTcXk2xtJuWJHvAi1	192.168.69.10	1035	146.82.152.235	80	4	GET	c1601132.cdn.cloudfiles.rackspacecloud.com	/Broker Buttons/Easy Forex/EF_100X33.jpg	http://www.forexpros.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5636	200	OK	-	-	-	(empty)	-	-	-	-	-	FSbxc230TKydtkWcof	image/jpeg
1348782819.682128	CvJw7014jwdOdZrV16	192.168.69.10	1033	146.82.152.235	80	8	GET	c1308342.cdn.cloudfiles.rackspacecloud.com	/flags/flags_russia.png	http://www.forexpros.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	350	200	OK	-	-	-	(empty)	-	-	-	-	-	FbdCo92ivnXOokscel	image/png
1348782819.717902	CiTcXk2xtJuWJHvAi1	192.168.69.10	1035	146.82.152.235	80	5	GET	c1601132.cdn.cloudfiles.rackspacecloud.com	/Broker Buttons/ForexYard/NEW/free_signals_100x33_en_yellow.jpg	http://www.forexpros.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4172	200	OK	-	-	-	(empty)	-	-	-	-	-	FEkMZVqLU9BH6xG7c	image/jpeg
1348782819.717656	CcYU212tB6x5HWmj83	192.168.69.10	1032	146.82.152.235	80	7	GET	c1308342.cdn.cloudfiles.rackspacecloud.com	/flags/flags_japan.png	http://www.forexpros.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	471	200	OK	-	-	-	(empty)	-	-	-	-	-	Fsq4Hy4b6lQfdjthN5	image/png
1348782819.723192	CvJw7014jwdOdZrV16	192.168.69.10	1033	146.82.152.235	80	9	GET	c1308342.cdn.cloudfiles.rackspacecloud.com	/flags/flags_portuguese.png	http://www.forexpros.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	591	200	OK	-	-	-	(empty)	-	-	-	-	-	Fk3DyR3WcxnfNJiYQ5	image/png
1348782819.748084	CiTcXk2xtJuWJHvAi1	192.168.69.10	1035	146.82.152.235	80	6	GET	c1601132.cdn.cloudfiles.rackspacecloud.com	/Tadawulfx_100x33_new.png	http://www.forexpros.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4418	200	OK	-	-	-	(empty)	-	-	-	-	-	Fc46gE3XEptaKOxyTe	image/png
