#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-22-58
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1337207627.379077	CgYdOq4xCpqqxNINUe	192.168.127.10	1041	62.210.160.193	80	3	GET	www.easyvols.org	/base/js/rjs.js	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	9973	200	OK	-	-	-	(empty)	-	-	-	-	-	F0Ogzw3xtYuujy2XSj	text/plain
1337207627.380017	CuHfaQ3OKB1SnA88nl	192.168.127.10	1032	46.20.229.2	80	5	GET	www.toytowngermany.com	/xtra/frontpages2/images/1666229.jpg	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3918	200	OK	-	-	-	(empty)	-	-	-	-	-	F6ZBN23zyXGQt7zioa	image/jpeg
1337207627.403218	CWEtJ33apgP3LMFJll	192.168.127.10	1031	46.20.229.2	80	6	GET	www.toytowngermany.com	/xtra/frontpages2/images/2749641.jpg	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2905	200	OK	-	-	-	(empty)	-	-	-	-	-	FKt637l8TvTd3RwXc	image/jpeg
1337207627.487245	CuHfaQ3OKB1SnA88nl	192.168.127.10	1032	46.20.229.2	80	6	GET	www.toytowngermany.com	/xtra/frontpages2/images/287494.jpg	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3024	200	OK	-	-	-	(empty)	-	-	-	-	-	Fn8AQXSU5elC6T9A4	image/jpeg
1337207627.508832	CWEtJ33apgP3LMFJll	192.168.127.10	1031	46.20.229.2	80	7	GET	www.toytowngermany.com	/xtra/frontpages2/images/1877149.jpg	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3004	200	OK	-	-	-	(empty)	-	-	-	-	-	Fqq2Bk2LIjxTOvep9l	image/jpeg
1337207627.402935	C2iCNq2VPjHCfuXnwe	192.168.127.10	1042	27.121.104.59	80	1	GET	www.ukforex.co.uk	/partner-tools/CurrencyConverter/UK/w	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7260	200	OK	-	-	-	(empty)	-	-	-	-	-	FgU77F3Grg26C0lyu2	text/html
1337207627.4765	CgYdOq4xCpqqxNINUe	192.168.127.10	1041	62.210.160.193	80	4	GET	www.easyvols.org	/base/js/formMEV.js	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	44867	200	OK	-	-	-	(empty)	-	-	-	-	-	F5WZxB2vc8wz4bITHd	text/plain
1337207627.597789	CuHfaQ3OKB1SnA88nl	192.168.127.10	1032	46.20.229.2	80	7	GET	www.toytowngermany.com	/xtra/images/the_local_logo.gif	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2968	200	OK	-	-	-	(empty)	-	-	-	-	-	FAxWLf1opnGLsf6iW1	image/gif
1337207627.675314	CEEnus1fMWHEOyNjn1	192.168.127.10	1050	93.184.216.119	80	1	GET	use.typekit.com	/kmf0idu.js	http://www.ukforex.co.uk/partner-tools/CurrencyConverter/UK/w	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	9	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FVO7Hl1OgulGcPOMu7	text/plain
1337207627.612851	CWEtJ33apgP3LMFJll	192.168.127.10	1031	46.20.229.2	80	8	GET	www.toytowngermany.com	/xtra/frontpages2/images_gallery/21568.jpg	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7434	200	OK	-	-	-	(empty)	-	-	-	-	-	FQtku22mvYCkyMJoo4	image/jpeg
